Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE02.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.02073e+08
A0A075B6H9	A0A075B6H9				6.19642e+06
A0A075B6I0	A0A075B6I0				1.30145e+07
A0A075B6I1	A0A075B6I1				5.65952e+06
A0A075B6I9	A0A075B6I9				5.73495e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				406625
A0A075B6J9	A0A075B6J9				9.78722e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.38147e+06
A0A075B6K5	A0A075B6K5				4.8934e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.45878e+07
A0A075B6Q5	A0A075B6Q5				234666
A0A075B6R2	A0A075B6R2				6.72274e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.84767e+07
A0A075B6S2	A0A075B6S2				2.86409e+06
A0A075B6S5	A0A075B6S5				762450
A0A075B6S6	A0A075B6S6				324147
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.55922e+06
A0A087WSY6	A0A087WSY6				2.68285e+07
A0A087WW87;P01614	P01614;A0A087WW87				90774.5
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.53285e+08
A0A0A0MS15	A0A0A0MS15				9.29927e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				4.01653e+06
A0A0A0MT89	A0A0A0MT89				8.73271e+06
A0A0B4J1U7	A0A0B4J1U7				2.13738e+07
A0A0B4J1V0	A0A0B4J1V0				9.51392e+07
A0A0B4J1V2	A0A0B4J1V2				3.65279e+06
A0A0B4J1V6	A0A0B4J1V6				882759
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.44269e+07
A0A0B4J1Y8	A0A0B4J1Y8				3.87452e+06
A0A0B4J1Y9	A0A0B4J1Y9				763098
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.98363e+06
A0A0C4DH24	A0A0C4DH24				1.21665e+06
A0A0C4DH25	A0A0C4DH25				5.91135e+07
A0A0C4DH30	A0A0C4DH30				94547.7
A0A0C4DH31	A0A0C4DH31				2.13449e+06
A0A0C4DH33	A0A0C4DH33				476964
A0A0C4DH34	A0A0C4DH34				9.4077e+06
A0A0C4DH35	A0A0C4DH35				1.6294e+06
A0A0C4DH36	A0A0C4DH36				2.99956e+06
A0A0C4DH38	A0A0C4DH38				2.24062e+07
A0A0C4DH43	A0A0C4DH43				291986
A0A0C4DH67	A0A0C4DH67				3.46577e+07
A0A0G2JS06	A0A0G2JS06				2.25318e+06
A0A0J9YX35	A0A0J9YX35				5.53496e+06
A0A0J9YXX1	A0A0J9YXX1				1.38597e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.56304e+08
A1L4H1	A1L4H1;A1L4H1-2				1.32565e+06
A2NJV5	A0A075B6S2;A2NJV5				1.60261e+08
A5D6W6	A5D6W6				2.31079e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				94220.9
A6NGN9	A6NGN9				2.0216e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				541850
A6NL88	A6NL88				292559
A6NLU5	A6NLU5				6.07738e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				374196
C9JVW0	C9JVW0				2.97561e+06
I3L3R5	I3L3R5				134249
O00115;O00115-2	O00115;O00115-2				709836
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				8.8862e+06
O00187;O00187-2	O00187;O00187-2				2.27311e+06
O00244	O00244				161335
O00264	O00264;O15173;O15173-2				782229
O00299	O00299				226458
O00339;O00339-2	O00339;O00339-2;O00339-3				309877
O00391	O00391;O00391-2				2.77773e+06
O00451	O00451;O00451-2;O00451-3				1.99285e+06
O00461	O00461				3.95032e+06
O00462	O00462				1.77153e+06
O00468-6	O00468-6;O00468-7				2.59966e+06
O00533	O00533;O00533-2				1.17032e+07
O00584	O00584				1.95972e+06
O00754;O00754-2	O00754;O00754-2				317615
O14498	O14498				1.32278e+07
O14514	O14514				98517
O14522;O14522-1	O14522;O14522-1				257629
O14594	O14594				4.7585e+06
O14668;O14668-2	O14668;O14668-2				284660
O14672	O14672				1.47846e+06
O14773	O14773				1.52971e+06
O14786	O14786;O14786-2;O14786-3				1.94824e+06
O14791-2	O14791;O14791-2;O14791-3				7.10718e+06
O14793	O14793				852558
O14810;Q6PUV4	O14810;Q6PUV4				25067
O14917;O14917-2	O14917;O14917-2				1.68197e+06
O15031	O15031				2.74882e+06
O15197;O15197-3	O15197;O15197-3				103671
O15230	O15230				2.66034e+06
O15240	O15240				1.86447e+07
O15335	O15335				449727
O15354	O15354				4.8716e+06
O15389;Q08ET2	O15389;Q08ET2				2.29496e+06
O15394	O15394;O15394-2				8.06215e+06
O15466;O15466-2	O15466;O15466-2				208777
O15540;O15540-2	O15540;O15540-2				619142
O43155	O43155				108569
O43157	O43157				620524
O43173	O43173				225764
O43240	O43240				150718
O43278;O43278-2	O43278;O43278-2				1.5454e+06
O43286	O43286				550806
O43291	O43291				1.05476e+06
O43300	O43300				360607
O43405;O43405-2	O43405;O43405-2				1.77824e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				3.696e+06
O43505	O43505				1.29179e+08
O43506	O43506				722449
O43508	O43508				135590
O43529	O43529				1.52515e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				2.26113e+06
O43567	O43567				811588
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				21760.8
O43827	O43827				1.98841e+06
