Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				593404
O43612	O43612				2.18395e+06
O43707;Q9H254;Q9H254-2;Q9H254-4	O43707;Q9H254;Q9H254-2;Q9H254-4				101248
O43827	O43827				6.21575e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9				408284
O43854;O43854-2	O43854;O43854-2				197517
O43866	O43866				5.22137e+06
O43897;O43897-2	O43897;O43897-2				586859
O43909	O43909				151882
O43916	O43916				310815
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				9.72325e+06
O60242	O60242				1.25272e+06
O60243	O60243				1.70355e+06
O60245;O60245-2	O60245;O60245-2				2.09628e+06
O60279	O60279				1.19559e+07
O60312	O60312				2.42663e+06
O60361	P22392;O60361;P22392-2				325229
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				568258
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.82361e+06
O60476	O60476				1.46176e+06
O60477;O60477-3;Q76B58;Q76B58-2	O60477;Q76B58;O60477-3;Q76B58-2				74256
O60512	O60512				1.051e+06
O60565	O60565				375098
O60568	O60568				2.82051e+06
O60609;O60609-2	O60609;O60609-2				287766
O60613	O60613				713171
O60883	O60883				4.66589e+07
O60888-3	O60888;O60888-2;O60888-3				3.70566e+06
O60939	O60939				1.76343e+06
O75063	O75063				1.48495e+06
O75071	O75071				9.60182e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				6.01966e+06
O75078	O75078;O75078-2				2.23054e+06
O75083	O75083;O75083-3				1.39196e+06
O75084;Q14332	O75084;Q14332				711721
O75093;O75093-2;O94813;O94813-2;O94813-3	O75093;O94813;O75093-2;O94813-2;O94813-3				426099
O75144;O75144-2	O75144;O75144-2				1.06938e+07
O75173;O75173-2	O75173;O75173-2				7.28546e+06
O75223	O75223				2.30916e+06
O75326	O75326;O75326-2				2.62414e+07
O75339	O75339				1.01012e+06
O75347	O75347;O75347-2				7.0379e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				438599
O75368	O75368				2.04167e+06
O75487	O75487				593272
O75493	O75493				4.13025e+06
O75503	O75503				3.70338e+06
O75509	O75509				8.80959e+06
O75629	O75629				662179
O75636;O75636-2	O75636;O75636-2				1.76267e+06
O75711	O75711				2.1283e+08
O75752	O75752				3.56571e+06
O75781;O75781-2	O75781;O75781-2				1.98136e+06
O75787;O75787-2	O75787;O75787-2				3.19282e+06
O75874	O75874				611011
O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.24112e+07
O75884;O75884-2	O75884;O75884-2				4.33012e+06
O75973	O75973				1.02327e+06
O75976	O75976				982993
O76031	O76031				1.32166e+06
O76061	O76061				2.18187e+06
O76070	O76070;Q16143				1.20186e+06
O94760	O94760;O94760-2				5.63489e+06
O94766;O94766-2	O94766;O94766-2				454251
O94769	O94769;O94769-2				1.0292e+07
O94772;O94772-2	O94772;O94772-2				7.37479e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				598300
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.66322e+07
O94898	O94898				737847
O94910;O94910-2	O94910;O94910-2				4.98583e+06
O94919	O94919				2.11918e+07
O94933	O94933				827543
O94973;O94973-2	O94973;O94973-2				70314.1
O94985	O94985				754399
O94985-2	O94985;O94985-2				1.12212e+08
O94991	O94991;O94991-2				2.95115e+06
O95084;O95084-2	O95084;O95084-2				836227
O95157	O95157				709948
O95158	O95158				1.69691e+07
O95159	O95159				672077
O95185;O95185-2	O95185;O95185-2				2.10684e+06
O95196;O95196-2	O95196;O95196-2				3.48921e+06
O95206;O95206-2	O95206;O95206-2				1.63116e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				2.22614e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				642039
O95390	O95390				1.47013e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				4.21031e+06
O95445	O95445;O95445-2				5.72119e+07
O95445-2	O95445-2				278155
O95450;O95450-2	O95450;O95450-2				2.10002e+06
O95467	O95467				1.71429e+06
O95477	O95477				9.29553e+06
O95479;O95479-2	O95479;O95479-2				515717
