Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B4_190223925.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.96216e+08
A0A075B6H9	A0A075B6H9				2.11624e+07
A0A075B6I0	A0A075B6I0				4.87961e+07
A0A075B6I1	A0A075B6I1				4.58684e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.75365e+06
A0A075B6J9	A0A075B6J9				3.04182e+06
A0A075B6K2	A0A075B6K2				3.24499e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				9.39065e+06
A0A075B6K5	A0A075B6K5				6.20285e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.77178e+08
A0A075B6R2	A0A075B6R2				6.81747e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.48259e+07
A0A075B6S2	A0A075B6S2				950831
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.24173e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.97467e+07
A0A087WSY6	A0A087WSY6				2.64117e+08
A0A087WSZ0	A0A087WSZ0				5.89528e+06
A0A087WW87;P01614	P01614;A0A087WW87				128589
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.14779e+08
A0A0A0MS15	A0A0A0MS15				3.12856e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.12463e+06
A0A0A0MT89	A0A0A0MT89				9.05458e+06
A0A0B4J1U7	A0A0B4J1U7				5.27656e+07
A0A0B4J1V0	A0A0B4J1V0				4.75869e+08
A0A0B4J1V6	A0A0B4J1V6				2.24965e+06
A0A0B4J1X5	A0A0B4J1X5				1.72016e+08
A0A0B4J1Y8	A0A0B4J1Y8				2.02704e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.06308e+06
A0A0C4DH24	A0A0C4DH24				1.67059e+07
A0A0C4DH25	A0A0C4DH25				6.14404e+07
A0A0C4DH33	A0A0C4DH33				2.30715e+06
A0A0C4DH34	A0A0C4DH34				1.04196e+07
A0A0C4DH35	A0A0C4DH35				4.56244e+06
A0A0C4DH36	A0A0C4DH36				8.38759e+06
A0A0C4DH38	A0A0C4DH38				2.11673e+07
A0A0C4DH39	A0A0C4DH39				3.03951e+06
A0A0C4DH43	A0A0C4DH43				3.99268e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.22648e+07
A0A0G2JMI3	A0A0G2JMI3				9.2984e+06
A0A0J9YX35	A0A0J9YX35				1.45385e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				2.34498e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				670965
A0M8Q6	A0M8Q6				1.13702e+08
A1L4H1	A1L4H1				7.07123e+06
A2NJV5	A0A075B6S2;A2NJV5				7.25968e+08
A2RU67	A2RU67				256386
A5D6W6	A5D6W6				3.60388e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.41385e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.18003e+06
A6NGN9	A6NGN9				8.81077e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.55752e+06
A6NL88	A6NL88				3.40151e+06
A6NLU5	A6NLU5				3.12286e+07
A6NML5	A6NML5				3.63883e+06
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				1.16562e+06
A8MTW9	A8MTW9				4.11517e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				715402
C9JVW0	C9JVW0				6.80723e+06
I3L3R5	I3L3R5				661447
O00115;O00115-2	O00115;O00115-2				6.07834e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				6.96691e+07
O00187;O00187-2	O00187;O00187-2				2.56565e+06
O00230	O00230				363376
O00264	O00264;O00264-2				4.39437e+06
O00292;O00292-2;O75610	O00292;O75610;O00292-2				362566
O00299	O00299				2.44403e+06
O00339-2	O00339;O00339-2;O00339-3				3.13874e+06
O00391	O00391;O00391-2				3.26256e+07
O00451	O00451;O00451-2;O00451-3				2.35579e+07
O00461	O00461				1.62419e+07
O00462	O00462				9.25369e+06
O00468-6	O00468-6;O00468-7				1.11402e+07
