Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07.mzML
Q16627;Q16627-2	Q16627;Q16627-2				5.91231e+06
Q16651	Q16651;Q16651-2				524727
Q16653;Q16653-10;Q16653-11;Q16653-13;Q16653-2;Q16653-3;Q16653-5;Q16653-6;Q16653-7;Q16653-8;Q16653-9	Q16653;Q16653-10;Q16653-11;Q16653-13;Q16653-2;Q16653-3;Q16653-5;Q16653-6;Q16653-7;Q16653-8;Q16653-9				7.65671e+06
Q16658	Q16658				1.28811e+06
Q16674	Q16674				6.44789e+06
Q16706	Q16706				8.55854e+06
Q16769	Q16769				1.2891e+07
Q16775;Q16775-2	Q16775;Q16775-2				956892
Q16799	Q16799				645481
Q16849;Q16849-3	Q16849;Q16849-3;Q16849-2				1.89785e+07
Q16853;Q16853-2	Q16853;Q16853-2				792340
Q16880	Q16880				1.0778e+07
Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6;Q16881-7	Q16881;Q16881-4;Q16881-5;Q16881-2;Q16881-3;Q16881-6;Q16881-7				719374
Q17RC7	Q17RC7				1.45865e+07
Q24JP5;Q24JP5-2	Q24JP5;Q24JP5-2;Q24JP5-3				2.22534e+07
Q2TAL6	Q2TAL6				723336
Q2TBF2;Q2TBF2-2	Q2TBF2;Q2TBF2-2				815702
Q2UY09	Q2UY09;Q2UY09-2;Q2UY09-3				790647
Q495W5	Q495W5;Q495W5-2				1.96962e+06
Q496H8	Q496H8				164607
Q4G0I0	Q4G0I0				205167
Q4G0P3	Q4G0P3;Q4G0P3-10;Q4G0P3-5;Q4G0P3-6;Q4G0P3-8				3.47475e+07
Q4G148;Q4G148-2	Q4G148;Q4G148-2				727430
Q4KWH8;Q4KWH8-3;Q4KWH8-4	Q4KWH8;Q4KWH8-3;Q4KWH8-4				2.56228e+07
Q4LDE5	Q4LDE5				564865
Q504Y0;Q504Y0-4;Q504Y0-5	Q504Y0;Q504Y0-4;Q504Y0-5				499563
Q53EL9;Q53EL9-3	Q53EL9;Q53EL9-2;Q53EL9-3				1.45542e+07
Q53FZ2	Q53FZ2				6.31271e+06
Q53RD9;Q53RD9-2;Q53RD9-3;Q53RD9-4	Q53RD9;Q53RD9-2;Q53RD9-3;Q53RD9-4				6.1967e+06
Q53RT3;Q53RT3-2	Q53RT3;Q53RT3-2				218753
Q562R1	Q562R1				1.94466e+07
Q58EX2;Q58EX2-2;Q58EX2-3;Q58EX2-4	Q58EX2;Q58EX2-2;Q58EX2-3;Q58EX2-4				164610
Q58FF6	Q58FF6				770491
Q59EK9;Q59EK9-2;Q59EK9-3;Q59EK9-4	Q59EK9;Q59EK9-3;Q59EK9-2;Q59EK9-4				5.08688e+06
Q5BLP8;Q5BLP8-2;Q5BLP8-3	Q5BLP8;Q5BLP8-2;Q5BLP8-3				2.21158e+07
