Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R1.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.17829e+08
A0A075B6H9	A0A075B6H9				1.81071e+07
A0A075B6I0	A0A075B6I0				1.37932e+07
A0A075B6I1	A0A075B6I1				4.03239e+06
A0A075B6I9	A0A075B6I9				4.59637e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.06663e+06
A0A075B6J9	A0A075B6J9				615274
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.62034e+06
A0A075B6K5	A0A075B6K5				1.21467e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.78175e+07
A0A075B6R2	A0A075B6R2				9.90333e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.63612e+07
A0A075B6S2	A0A075B6S2;A2NJV5				9.97343e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.14706e+06
A0A087WSY6	A0A087WSY6				1.14222e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.98719e+07
A0A0A0MS15	A0A0A0MS15				2.54088e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				467570
A0A0A0MT89	A0A0A0MT89				5.47508e+06
A0A0B4J1U7	A0A0B4J1U7				1.09955e+07
A0A0B4J1V0	A0A0B4J1V0				2.28179e+06
A0A0B4J1V2	A0A0B4J1V2				1.42312e+06
A0A0B4J1V6	A0A0B4J1V6				533198
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				4.13203e+07
A0A0B4J1Y8	A0A0B4J1Y8				899105
A0A0B4J1Y9	A0A0B4J1Y9				8.92792e+07
A0A0C4DH24	A0A0C4DH24				1.55591e+06
A0A0C4DH25	A0A0C4DH25				4.69336e+07
A0A0C4DH33	A0A0C4DH33				435634
A0A0C4DH34	A0A0C4DH34				8.35962e+06
A0A0C4DH35	A0A0C4DH35				900086
A0A0C4DH36	A0A0C4DH36				2.52633e+06
A0A0C4DH38	A0A0C4DH38				1.52676e+07
A0A0C4DH43	A0A0C4DH43				1.07374e+07
A0A0C4DH67	A0A0C4DH67				8.00068e+06
A0A0C4DH72	P01599;A0A0C4DH72				1.18643e+07
A0A0J9YX35	A0A0J9YX35				3.41064e+06
A0A0J9YXX1	A0A0J9YXX1				2.16277e+07
