Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA09.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.33144e+08
A0A075B6H9	A0A075B6H9				3.45754e+06
A0A075B6I0	A0A075B6I0				5.6085e+06
A0A075B6I1	A0A075B6I1				2.34153e+06
A0A075B6I9	A0A075B6I9				2.05016e+07
A0A075B6J1	A0A075B6J1				925392
A0A075B6J9	A0A075B6J9				121375
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.46014e+06
A0A075B6K5	A0A075B6K5				2.23612e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.00729e+08
A0A075B6Q5	A0A075B6Q5				1.28821e+06
A0A075B6R2	A0A075B6R2				4.39917e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.09136e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.76201e+07
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.25703e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.07938e+06
A0A087WSY4	A0A087WSY4				7.0748e+06
A0A087WSY6	A0A087WSY6				5.29864e+06
A0A087WW87;P01614	P01614;A0A087WW87				40713.1
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				7.96966e+07
A0A0A0MS15	A0A0A0MS15				3.80106e+06
A0A0A0MT89	A0A0A0MT89				6.64243e+06
A0A0B4J1U7	A0A0B4J1U7				7.89726e+06
A0A0B4J1V0	A0A0B4J1V0				3.22362e+07
A0A0B4J1V2	A0A0B4J1V2				1.58262e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				4.83832e+07
A0A0C4DH24	A0A0C4DH24				657629
A0A0C4DH25	A0A0C4DH25				2.78742e+07
A0A0C4DH33	A0A0C4DH33				116703
A0A0C4DH34	A0A0C4DH34				5.4422e+06
A0A0C4DH35	A0A0C4DH35				785202
A0A0C4DH36	A0A0C4DH36				1.53457e+06
A0A0C4DH38	A0A0C4DH38				6.70004e+06
A0A0C4DH43	A0A0C4DH43				2.14451e+07
A0A0C4DH67	A0A0C4DH67				370424
A0A0C4DH72	P01599;A0A0C4DH72				1.03989e+07
A0A0G2JS06	A0A0G2JS06				3.43175e+06
A0A0J9YX35	A0A0J9YX35				1.52785e+06
A0A0J9YXX1	A0A0J9YXX1				1.28999e+07
