Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC12.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.20649e+08
A0A075B6H9	A0A075B6H9				7.35591e+06
A0A075B6I0	A0A075B6I0				1.61008e+07
A0A075B6I1	A0A075B6I1				761641
A0A075B6I9	A0A075B6I9				2.76834e+07
A0A075B6J1	A0A075B6J1				805262
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				7.23566e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.12879e+06
A0A075B6K5	A0A075B6K5				6.28021e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				6.79784e+07
A0A075B6R2	A0A075B6R2				6.13935e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				8.42544e+06
A0A075B6S2	A0A075B6S2;A2NJV5				4.21219e+07
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.20221e+07
A0A087WSX0	A0A087WSX0				1.25952e+06
A0A087WSY6	A0A087WSY6				1.86454e+07
A0A087WW87;P01614	P01614;A0A087WW87				175261
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.82732e+08
A0A0A0MS15	A0A0A0MS15				3.76257e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				471242
A0A0A0MT89	A0A0A0MT89				3.6574e+06
A0A0B4J1U7	A0A0B4J1U7				6.90565e+06
A0A0B4J1V0	A0A0B4J1V0				3.53847e+07
A0A0B4J1V2	A0A0B4J1V2				2.48374e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.44323e+07
A0A0B4J1Y8	A0A0B4J1Y8				245322
A0A0B4J1Y9	A0A0B4J1Y9				454849
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.77107e+06
A0A0C4DH24	A0A0C4DH24				1.0871e+06
A0A0C4DH25	A0A0C4DH25				4.37255e+07
A0A0C4DH31	A0A0C4DH31				200625
A0A0C4DH33	A0A0C4DH33				173929
A0A0C4DH34	A0A0C4DH34				4.42429e+06
A0A0C4DH35	A0A0C4DH35				383923
A0A0C4DH36	A0A0C4DH36				1.78805e+06
A0A0C4DH38	A0A0C4DH38				2.77819e+07
A0A0C4DH43	A0A0C4DH43				5.64918e+06
A0A0C4DH67	A0A0C4DH67				333631
A0A0G2JS06	A0A0G2JS06				1.42561e+06
A0A0J9YX35	A0A0J9YX35				2.04734e+06
A0A0J9YXX1	A0A0J9YXX1				1.10526e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.50785e+08
A1L4H1	A1L4H1				1.84923e+06
A5D6W6	A5D6W6				5.03102e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				533151
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				137599
A6NGN9	A6NGN9				2.00595e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				682789
A6NL88	A6NL88				296426
A6NLU5	A6NLU5				1.00934e+07
A8MTW9	A8MTW9				1.42143e+06
C9JVW0	C9JVW0				2.31744e+06
I3L3R5	I3L3R5				264449
O00115;O00115-2	O00115;O00115-2				1.10509e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.88966e+06
O00187;O00187-2	O00187;O00187-2				1.28129e+06
O00264	O00264;O00264-2				1.07398e+06
O00299	O00299				333502
O00339;O00339-2	O00339;O00339-2;O00339-3				520875
O00391	O00391;O00391-2				4.89575e+06
O00451	O00451;O00451-2;O00451-3				3.65593e+06
O00461	O00461				1.41049e+07
O00462	O00462				2.28632e+06
O00468-6	O00468-6;O00468-7				4.52383e+06
O00533	O00533				1.90341e+06
O00533-2	O00533;O00533-2				4.56297e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				246368
O00584	O00584				3.36351e+06
O00754;O00754-2	O00754;O00754-2				410465
O14498	O14498				9.61027e+06
O14514	O14514				678494
O14522;O14522-1	O14522;O14522-1				837610
O14594	O14594				9.04419e+06
O14668;O14668-2	O14668;O14668-2				239072
O14672	O14672				2.89386e+06
O14773	O14773				2.79315e+06
O14786	O14786;O14786-2;O14786-3				3.05979e+06
