Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F9_CSF_420.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.98265e+08
A0A075B6H9	A0A075B6H9				3.63071e+07
A0A075B6I0	A0A075B6I0				1.34705e+07
A0A075B6I1	A0A075B6I1				3.92292e+06
A0A075B6I9	A0A075B6I9				2.09173e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.65582e+06
A0A075B6J9	A0A075B6J9				3.36825e+07
A0A075B6K2	A0A075B6K2				846701
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.33676e+06
A0A075B6K5	A0A075B6K5				1.4001e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.96972e+08
A0A075B6Q5	A0A075B6Q5				3.66862e+06
A0A075B6R2	A0A075B6R2				2.42368e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.51133e+07
A0A075B6S2	A0A075B6S2				3.09062e+06
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				4.30701e+07
A0A075B6S6	A0A075B6S6				600687
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.30214e+06
A0A087WSY6	A0A087WSY6				1.53828e+08
A0A087WW87;P01614	P01614;A0A087WW87				548042
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.50548e+08
A0A0A0MS15	A0A0A0MS15				4.37487e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.07685e+07
A0A0A0MT89	A0A0A0MT89				9.65336e+06
A0A0B4J1U7	A0A0B4J1U7				9.73646e+06
A0A0B4J1V0	A0A0B4J1V0				6.61605e+06
A0A0B4J1V2	A0A0B4J1V2				8.80032e+06
A0A0B4J1V6	A0A0B4J1V6				1.52787e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.09687e+08
A0A0B4J1Y8	A0A0B4J1Y8				7.00797e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.8655e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				6.3854e+06
A0A0B4J2H0	A0A0B4J2H0				280992
A0A0C4DH24	A0A0C4DH24				4.74798e+06
A0A0C4DH25	A0A0C4DH25				3.62066e+07
A0A0C4DH29	A0A0C4DH29				281424
A0A0C4DH31	A0A0C4DH31				1.41773e+06
A0A0C4DH33	A0A0C4DH33				817620
A0A0C4DH34	A0A0C4DH34				1.37131e+07
A0A0C4DH35	A0A0C4DH35				1.02341e+06
A0A0C4DH36	A0A0C4DH36				1.40774e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				3.09331e+08
A0A0C4DH43	A0A0C4DH43				1.98245e+07
A0A0C4DH67	A0A0C4DH67				1.60878e+06
A0A0G2JS06	A0A0G2JS06				2.43699e+06
A0A0J9YX35	A0A0J9YX35				1.73489e+07
A0A0J9YXX1	A0A0J9YXX1				8.3358e+07
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				6.02147e+08
A1L4H1	A1L4H1				1.97009e+06
A2NJV5	A0A075B6S2;A2NJV5				2.71277e+08
A5D6W6	A5D6W6				542430
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				829278
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				121281
A6NGN9	A6NGN9				7.30613e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.62944e+06
A6NL88	A6NL88				2.54952e+06
A6NLU5	A6NLU5				8.2051e+06
A6NML5	A6NML5				1.76481e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				1.07194e+06
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				532019
A8MTW9	A8MTW9				2.47177e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				441751
B4DS77;B4DS77-2	B4DS77;B4DS77-2				221916
C9JVW0	C9JVW0				4.57694e+06
I3L3R5	I3L3R5				651502
O00115;O00115-2	O00115;O00115-2				3.72953e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.48683e+07
O00187;O00187-2	O00187;O00187-2				457405
O00264	O00264;O00264-2				1.51714e+06
O00299	O00299				374063
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.26031e+06
O00391	O00391;O00391-2				1.24083e+07
O00451	O00451;O00451-2;O00451-3				1.09137e+07
O00461	O00461				3.76821e+06
O00462	O00462				2.65172e+06
O00468-6	O00468-6;O00468-7				7.45219e+06
O00533	O00533;O00533-2				9.06925e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.60842e+06
O00567	O00567				173739
O00584	O00584				2.03311e+07
O00754;O00754-2	O00754;O00754-2				2.00778e+06
O14498	O14498				6.5001e+06
O14514	O14514				1.12676e+06
O14522	O14522;O14522-1				272703
O14525;O14525-2	O14525;O14525-2;O14525-3				816730
O14594	O14594				1.14794e+08
O14668	O14668				1.69822e+06
O14672	O14672				3.05231e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				1.68023e+07
O14737;O14737-2	O14737;O14737-2				36649.9
O14745	O14745;O14745-2				249948
O14773	O14773				6.75931e+06
O14786	O14786;O14786-2;O14786-3				5.47083e+06
O14791-2	O14791;O14791-2;O14791-3				8.92064e+06
O14793	O14793				1.41777e+06
O14917;O14917-2	O14917;O14917-2				4.62059e+06
O14960	O14960				532430
O15031	O15031				6.51967e+06
O15041;O15041-2	O15041;O15041-2				384573
O15197;O15197-3	O15197;O15197-3				3.72092e+06
O15204;O15204-2	O15204;O15204-2				582707
O15230	O15230				1.35818e+06
O15232;O15232-2	O15232;O15232-2				1.09827e+06
O15240	O15240				1.44091e+08
O15335	O15335				1.53535e+06
O15354	O15354				1.94625e+07
O15394	O15394;O15394-2				1.87118e+07
O15466;O15466-2	O15466;O15466-2				255292
O15498;O15498-2	O15498;O15498-2				107585
O15540;O15540-2	O15540;O15540-2				1.44767e+06
O43155	O43155				244928
O43157	O43157;O43157-2;O43157-3				1.85197e+06
O43173	O43173				1.30212e+06
O43240	O43240				408977
O43278;O43278-2	O43278;O43278-2				817753
O43286	O43286				8340.51
O43291	O43291				7.61385e+06
O43300	O43300				1.45612e+06
O43323	O43323				495666
O43396	O43396				38489.7
O43405;O43405-2	O43405;O43405-2				2.59641e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.82679e+07
O43505	O43505				3.41192e+08
O43508	O43508				442893
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				709300
O43529	O43529				3.21483e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				6.43187e+06
O43567	O43567				4.81888e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				470759
O43707;O43707-2;O43707-3	O43707;O43707-2;O43707-3				174455
O43827	O43827				1.85009e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.04928e+06
O43854;O43854-2	O43854;O43854-2				1.3419e+06
O43866	O43866				3.97459e+06
O43897;O43897-2	O43897;O43897-2				1.39462e+06
O43909	O43909				118524
O43916	O43916				349308
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.91827e+06
O60242	O60242				1.13006e+06
O60243	O60243				1.13784e+06
O60245;O60245-2	O60245;O60245-2				1.93174e+06
O60279	O60279				8.84485e+06
