Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A6_82545313.mzML
Q13554;Q13554-2;Q13554-3;Q13554-4;Q13554-5;Q13554-7;Q13554-8	Q13554;Q13554-3;Q13554-2;Q13554-4;Q13554-5;Q13554-6;Q13554-7;Q13554-8				8.42363e+06
Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9	Q13555;Q13555-5;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-6;Q13555-7;Q13555-8;Q13555-9				1.69753e+06
Q13557;Q13557-10;Q13557-11;Q13557-12;Q13557-3;Q13557-4;Q13557-5;Q13557-6;Q13557-8;Q13557-9	Q13557;Q13557-8;Q13557-10;Q13557-11;Q13557-12;Q13557-3;Q13557-4;Q13557-5;Q13557-6;Q13557-9				2.21951e+06
Q13591	Q13591				169589
Q13634;Q13634-2	Q13634;Q13634-2				1.39232e+07
Q13641	Q13641				730890
Q13683;Q13683-10;Q13683-13;Q13683-3;Q13683-7;Q13683-9	Q13683;Q13683-10;Q13683-13;Q13683-3;Q13683-7;Q13683-9				749433
Q13740;Q13740-2	Q13740;Q13740-2;Q13740-3				2.29901e+07
Q13790	Q13790				2.91753e+06
Q13822-3	Q13822;Q13822-3				3.12634e+08
Q13867	Q13867				955966
Q14019	Q14019				2.47029e+06
Q14112;Q14112-2	Q14112;Q14112-2				1.43439e+07
Q14114;Q14114-2;Q14114-3;Q14114-4	Q14114;Q14114-3;Q14114-2;Q14114-4				920947
Q14118	Q14118				7.32897e+07
Q14126	Q14126				5.99057e+06
Q14165	Q14165				7.00633e+06
Q14213	Q14213				2.01162e+06
Q14242;Q14242-2	Q14242;Q14242-2				841608
Q14257;Q14257-2	Q14257;Q14257-2				1.59837e+06
Q14314	Q14314				8.18304e+06
Q14315;Q14315-2	Q14315;Q14315-2				1.5029e+06
Q14393;Q14393-1;Q14393-3;Q14393-4;Q14393-5	Q14393;Q14393-1;Q14393-3;Q14393-4;Q14393-5				6.92556e+06
Q14515	Q14515;Q14515-2				3.46101e+08
Q14517	Q14517				778499
Q14520;Q14520-2	Q14520;Q14520-2				2.35394e+07
Q14563	Q14563				958119
Q14566	Q14566				6.69891e+06
Q14574;Q14574-2	Q14574;Q14574-2				2.22785e+06
Q14596;Q14596-2	Q14596;Q14596-2				481617
Q14624	Q14624				1.57077e+08
Q14624-2;Q14624-3;Q14624-4	Q14624-2;Q14624-3;Q14624-4				2.30308e+07
Q14696	Q14696				1.95713e+06
Q14697;Q14697-2	Q14697;Q14697-2				1.03327e+07
Q14766	Q14766;Q14766-4				6.60368e+06
Q14767	Q14767				5.65543e+06
Q14894	Q14894				1.25962e+06
Q14956;Q14956-2	Q14956;Q14956-2				761366
Q14982;Q14982-2;Q14982-3;Q14982-4	Q14982;Q14982-2;Q14982-3;Q14982-4				2.61815e+07
Q14C87	Q14C87;Q14C87-2				8.25446e+06
Q14CZ8	Q14CZ8				3.73147e+06
Q14DG7	Q14DG7;Q14DG7-2				2.78499e+06
Q15063;Q15063-3;Q15063-5	Q15063;Q15063-2;Q15063-3;Q15063-4;Q15063-5;Q15063-6;Q15063-7				550642
Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5	Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5				2.09086e+06
