Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D12_168744796_repeat2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				6.50745e+08
A0A075B6I0	A0A075B6I0				5.92157e+06
A0A075B6I1	A0A075B6I1				2.20166e+06
A0A075B6I9	A0A075B6I9				5.48903e+07
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				3.82714e+07
A0A075B6K0	A0A075B6K0				4.65292e+07
A0A075B6K2	A0A075B6K2				308836
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.82595e+07
A0A075B6K5	A0A075B6K5				7.76799e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.3666e+08
A0A075B6Q5	A0A075B6Q5				8.79098e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.76485e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.76768e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				6.69876e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.58398e+06
A0A087WSY6	A0A087WSY6				3.09862e+08
A0A087WW87;P01614	P01614;A0A087WW87				372335
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.53638e+08
A0A0A0MS15	A0A0A0MS15				1.52625e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.80184e+06
A0A0B4J1U7	A0A0B4J1U7				5.32922e+06
A0A0B4J1V0	A0A0B4J1V0				1.16054e+08
A0A0B4J1V2	A0A0B4J1V2				7.22387e+06
A0A0B4J1V6	A0A0B4J1V6				2.63565e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.17497e+08
A0A0B4J1Y8	A0A0B4J1Y8				4.99544e+06
A0A0B4J1Y9	A0A0B4J1Y9				4.43065e+06
A0A0B4J2H0	A0A0B4J2H0				494713
A0A0C4DH24	A0A0C4DH24				1.1841e+07
A0A0C4DH25	A0A0C4DH25				3.44858e+07
A0A0C4DH33	A0A0C4DH33				6.09869e+06
A0A0C4DH34	A0A0C4DH34				2.60392e+07
A0A0C4DH36	A0A0C4DH36				7.32617e+06
A0A0C4DH38	A0A0C4DH38				2.26131e+07
A0A0C4DH39	A0A0C4DH39				4.5034e+06
A0A0C4DH43	A0A0C4DH43				1.94457e+07
A0A0C4DH67	A0A0C4DH67				2.2698e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.14246e+07
A0A0J9YX35	A0A0J9YX35				1.07026e+07
