Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C10_79069292.mzML
O15041;O15041-2	O15041;O15041-2				508932
O15197;O15197-3	O15197;O15197-3				1.51778e+07
O15230	O15230				3.6136e+06
O15232;O15232-2	O15232;O15232-2				881431
O15240	O15240				2.66398e+08
O15335	O15335				2.97035e+06
O15354	O15354				1.15151e+07
O15394	O15394;O15394-2				5.91268e+07
O15466;O15466-2	O15466;O15466-2				1.79244e+06
O43155	O43155				501768
O43157	O43157;O43157-2;O43157-3				9.9485e+06
O43173	O43173				4.41159e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				605470
O43240	O43240				3.13424e+06
O43278;O43278-2	O43278;O43278-2				5.74318e+06
O43291	O43291				1.4445e+07
O43300	O43300				5.58625e+06
O43323	O43323				1.09553e+06
O43405	O43405;O43405-2				2.27432e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.52295e+07
O43504	O43504				1.21845e+06
O43505	O43505				7.55167e+08
O43508	O43508				1.24027e+06
O43529	O43529				1.27294e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.45393e+07
O43567	O43567				4.39861e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				516264
O43707;Q9H254;Q9H254-2;Q9H254-4	O43707;Q9H254;Q9H254-2;Q9H254-4				63604.2
O43736;O43736-2	O43736;O43736-2				720389
O43827	O43827				6.94297e+06
O43837;O43837-2;O43837-3	O43837;O43837-2;O43837-3				7.11462e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				3.6132e+06
O43854;O43854-2	O43854;O43854-2				565786
O43866	O43866				8.56998e+06
O43897;O43897-2	O43897;O43897-2				1.83855e+06
O43909	O43909				669704
O43916	O43916				1.62658e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.74269e+07
O60242	O60242				4.23746e+06
O60243	O60243;O60243-2				6.07242e+06
O60245;O60245-2	O60245;O60245-2				1.56325e+07
O60279	O60279				5.43893e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.69784e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				727004
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				841816
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				9.578e+06
O60476	O60476				6.36702e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				716752
O60486	O60486				382905
O60512	O60512				2.2999e+06
O60565	O60565				426149
O60568	O60568				1.69006e+07
O60613	O60613				3.03969e+06
O60883	O60883				1.31272e+08
O60888-3	O60888;O60888-2;O60888-3				1.53322e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				6.6459e+06
O75015	O75015				4.48306e+06
O75022;O75022-2;O75022-3;Q6PI73	O75022;P59901;Q8N423;Q8N6C8;Q6PI73;O75022-2;O75022-3;P59901-2;Q8N423-1;Q8N423-3;Q8N423-4;Q8N6C8-2;Q8N6C8-3				1.84084e+06
O75051;O75051-2	O75051;O75051-2				509339
O75063	O75063				4.18554e+06
O75071	O75071				1.79597e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.07524e+06
O75078	O75078;O75078-2				9.53377e+06
O75083	O75083;O75083-3				4.86817e+06
O75084;Q14332	O75084;Q14332				1.60174e+06
O75096	O75096				136995
O75144;O75144-2	O75144;O75144-2;O75144-3				5.21302e+07
O75173;O75173-2	O75173;O75173-2				1.40895e+07
O75223	O75223				690224
O75326	O75326;O75326-2				6.18693e+07
O75339	O75339				295638
