Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A7_CSF_531-12_column_clog_repeat.mzML
O15204;O15204-2	O15204;O15204-2				2.23996e+06
O15230	O15230				1.81124e+06
O15232;O15232-2	O15232;O15232-2				2.13846e+06
O15240	O15240				8.12754e+07
O15335	O15335				3.13171e+06
O15354	O15354				1.6049e+07
O15394	O15394;O15394-2				2.58556e+07
O15400;O15400-2	O15400;O15400-2				1.26421e+06
O15466;O15466-2	O15466;O15466-2				996140
O15540;O15540-2	O15540;O15540-2				3.37144e+06
O43155	O43155				349455
O43157	O43157;O43157-2;O43157-3				5.75629e+06
O43173	O43173				4.04375e+06
O43240	O43240				1.08688e+06
O43278;O43278-2	O43278;O43278-2				3.92189e+06
O43286	O43286				66738.1
O43291	O43291				4.15897e+06
O43300	O43300				2.05225e+06
O43323	O43323				933203
O43405	O43405;O43405-2				2.87247e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.36e+07
O43505	O43505				4.79826e+08
O43508	O43508				770820
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				615375
O43529	O43529				5.51515e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.16751e+07
O43567	O43567				4.30552e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				367164
O43736;O43736-2	O43736;O43736-2				874570
O43827	O43827				7.02658e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				702224
O43854;O43854-2	O43854;O43854-2				1.34201e+06
O43866	O43866				3.85528e+06
O43897;O43897-2	O43897;O43897-2				1.05286e+06
O43909	O43909				411452
O43916	O43916				2.22036e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				7.76526e+06
O60242	O60242				2.26189e+06
O60243	O60243;O60243-2				2.62002e+06
O60245;O60245-2	O60245;O60245-2				8.15762e+06
O60279	O60279				1.58841e+07
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.07261e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.83366e+06
O60476	O60476				2.23157e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				745797
O60512	O60512				1.35836e+06
O60565	O60565				695710
O60568	O60568				2.63856e+06
O60613	O60613				2.31015e+06
O60641;O60641-3;O60641-4	O60641;O60641-3;O60641-4				260038
O60883	O60883				7.20496e+07
O60888-3	O60888;O60888-2;O60888-3				9.4044e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				605559
O60939	O60939				2.96792e+06
O75051;O75051-2	O75051;O75051-2				529968
O75063	O75063				3.0319e+06
O75071	O75071				5.2582e+06
