Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A6_CSF_1081-12.mzML
O14786	O14786;O14786-2;O14786-3				4.7315e+06
O14791-2	O14791;O14791-2;O14791-3				8.47132e+06
O14793	O14793				1.21435e+06
O14917;O14917-2	O14917;O14917-2				3.27706e+06
O15031	O15031				1.07997e+07
O15041;O15041-2	O15041;O15041-2				280604
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				199803
O15197;O15197-3	O15197;O15197-3				4.12473e+06
O15204;O15204-2	O15204;O15204-2				1.80698e+06
O15230	O15230				7.46479e+06
O15232;O15232-2	O15232;O15232-2				1.28774e+06
O15240	O15240				1.34064e+08
O15335	O15335				4.28709e+06
O15354	O15354				1.32891e+07
O15394	O15394;O15394-2				2.20352e+07
O15400;O15400-2	O15400;O15400-2				900509
O15466;O15466-2	O15466;O15466-2				1.14762e+06
O15498;O15498-2	O15498;O15498-2				173708
O15540;O15540-2	O15540;O15540-2				2.2056e+06
O43155	O43155				697494
O43157	O43157;O43157-2;O43157-3				3.13853e+06
O43173	O43173				2.58106e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				246491
O43240	O43240				874700
O43278;O43278-2	O43278;O43278-2				2.67959e+06
O43291	O43291				5.18728e+06
O43300	O43300				2.52489e+06
O43323	O43323				462011
O43405	O43405;O43405-2				1.52479e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.93748e+07
O43504	O43504				746393
O43505	O43505				3.04512e+08
O43508	O43508				752139
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.29901e+06
O43529	O43529				3.32979e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.05336e+07
O43567	O43567				5.62437e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				894389
O43707	O43707;O43707-2;O43707-3				71260.8
O43736;O43736-2	O43736;O43736-2				1.67663e+06
O43827	O43827				7.85829e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.21379e+06
O43854;O43854-2	O43854;O43854-2				686325
O43866	O43866				2.37263e+06
O43897;O43897-2	O43897;O43897-2				1.02646e+06
O43909	O43909				317041
O43916	O43916				963365
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				9.42067e+06
O60242	O60242				1.40685e+06
O60243	O60243;O60243-2				1.85209e+06
O60245;O60245-2	O60245;O60245-2				3.07542e+06
O60279	O60279				1.21402e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.6869e+06
O60330	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				989387
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				826673
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				3.03173e+06
O60476	O60476				1.27919e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				361059
O60486	O60486				598539
O60512	O60512				831466
O60565	O60565				328288
O60568	O60568				1.47644e+06
O60613	O60613				1.70446e+06
O60741	O60741				142472
O60883	O60883				1.24392e+08
O60888-3	O60888;O60888-2;O60888-3				3.75383e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				405988
O60938	O60938				507828
O60939	O60939				1.86267e+06
O75051;O75051-2	O75051;O75051-2				622893
O75063	O75063				2.16606e+06
O75071	O75071				4.43454e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				6.76822e+06
O75078	O75078;O75078-2				3.82754e+06
O75083	O75083;O75083-3				1.72069e+06
O75084;Q14332	O75084;Q14332				345794
O75093	O75093;O94813;O75093-2;O94813-2;O94813-3				354900
O75096	O75096				95977.4
O75144;O75144-2	O75144;O75144-2;O75144-3				1.4457e+07
O75173;O75173-2	O75173;O75173-2				7.18318e+06
O75223	O75223;O75223-3				849139
O75326	O75326;O75326-2				2.29158e+07
O75339	O75339				247833
O75347;O75347-2	O75347;O75347-2				1.22725e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.07231e+06
O75363-2	O75363;O75363-2				135928
O75368	O75368				2.05441e+06
O75487;O75487-2	O75487;O75487-2				1.06657e+06
O75493	O75493				4.60994e+06
O75503	O75503				3.1026e+06
O75509	O75509				1.81518e+07
O75594	O75594				331826
O75629	O75629				664862
O75636;O75636-2	O75636;O75636-2				584197
O75711	O75711				1.62559e+08
O75752	O75752				4.59213e+06
O75781;O75781-2	O75781;O75781-2				2.55139e+06
O75787;O75787-2	O75787;O75787-2				2.03734e+07
O75874	O75874				606071
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				7.79516e+06
O75973	O75973				549968
O75976	O75976				1.7829e+06
O76061	O76061				2.37356e+06
O76070	O76070				1.30086e+06
O94760	O94760				4.69871e+06
O94766	O94766;Q9NPZ5				1.01687e+06
O94769	O94769;O94769-2				1.15625e+07
O94772;O94772-2	O94772;O94772-2				8.41227e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				534835
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.8476e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.46502e+06
O94898	O94898				864662
O94910	O94910;O94910-2				4.56466e+06
O94919	O94919				2.5814e+07
O94933	O94933				599290
O94973;O94973-2	O94973;O94973-2				204453
O94985	O94985				2.69119e+06
O94985-2	O94985;O94985-2				2.01711e+08
O94991	O94991;O94991-2				4.78731e+06
O95025	O95025				355771
O95084;O95084-2	O95084;O95084-2				1.80738e+06
O95156	O95156				318269
O95157	O95157				971497
O95158	O95158				9.73416e+06
O95159	O95159				1.17492e+06
O95185;O95185-2	O95185;O95185-2				2.37722e+06
O95196;O95196-2	O95196;O95196-2				6.35596e+06
O95206;O95206-2	O95206;O95206-2				2.86033e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				815071
O95336	O95336				1.09751e+06
O95390	O95390				1.72222e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				3.13069e+06
O95445	O95445;O95445-2				1.09019e+07
O95450;O95450-2	O95450;O95450-2				801994
O95467	O95467				1.25245e+06
O95477	O95477				2.27864e+06
O95479;O95479-2	O95479;O95479-2				62940.1
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				478304
O95497	O95497				427726
O95502	O95502				9.44721e+07
O95633;O95633-2	O95633;O95633-2				818691
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-3;Q9H3R1-2				1.90881e+06
O95841	O95841				343571
O95865	O95865				1.24652e+06
O95881	O95881				152234
O95897	O95897				1.00143e+06
O95967	O95967				7.13773e+06
O95970	O95970;O95970-2				408572
O95980	O95980				4.91918e+06
O95998	O95998;O95998-4				1.09178e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				7.43677e+06
P00352	P00352				1.64371e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.50656e+06
P00441	P00441				3.44212e+08
P00450	P00450				1.28628e+08
P00488	P00488				969035
P00492	P00492				1.86795e+06
P00505	P00505;P00505-2				6.13128e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.28636e+06
P00558	P00558;P00558-2				5.28801e+06
P00568	P00568				1.07667e+06
P00734	P00734				3.45053e+07
P00736	P00736				5.08227e+07
P00738	P00738;P00738-2				1.49091e+08
P00739	P00739;P00739-2				7.18781e+07
P00740;P00740-2	P00740;P00740-2				2.89537e+06
P00742	P00742				9.36625e+06
P00746	P00746				1.32085e+07
P00747	P00747				5.8997e+07
P00748	P00748				3.33509e+07
P00751	P00751;P00751-2				1.12287e+08
P00915	P00915				4.53327e+06
P00918	P00918				1.03382e+06
P01008	P01008				2.53843e+08
P01009	P01009;P01009-2;P01009-3				1.71869e+09
P01011	P01011				8.07016e+08
