Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE04.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.96685e+08
A0A075B6H9	A0A075B6H9				5.50933e+06
A0A075B6I0	A0A075B6I0				1.02271e+07
A0A075B6I1	A0A075B6I1				6.28447e+06
A0A075B6I9	A0A075B6I9				2.45807e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				564000
A0A075B6J9	A0A075B6J9				4.90161e+06
A0A075B6K4	A0A075B6K4				525374
A0A075B6K5	A0A075B6K5				3.61962e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				9.13544e+07
A0A075B6Q5	A0A075B6Q5				735008
A0A075B6R2	A0A075B6R2				2.84132e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.22474e+07
A0A075B6S2	A0A075B6S2;A2NJV5				6.22528e+07
A0A075B6S5	A0A075B6S5				891824
A0A075B6S6	A0A075B6S6				209082
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.59845e+06
A0A087WSY6	A0A087WSY6				1.10645e+07
A0A087WW87;P01614	P01614;A0A087WW87				108255
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.43545e+07
A0A0A0MS15	A0A0A0MS15				3.39568e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				776124
A0A0A0MT89	A0A0A0MT89				4.65403e+06
A0A0B4J1U7	A0A0B4J1U7				7.3477e+06
A0A0B4J1V0	A0A0B4J1V0				3.12384e+07
A0A0B4J1V2	A0A0B4J1V2				2.6102e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.11726e+07
A0A0B4J1Y8	A0A0B4J1Y8				148076
A0A0C4DH24	A0A0C4DH24				1.03256e+06
A0A0C4DH25	A0A0C4DH25				3.09835e+07
A0A0C4DH33	A0A0C4DH33				254079
A0A0C4DH34	A0A0C4DH34				7.06532e+06
A0A0C4DH35	A0A0C4DH35				388205
A0A0C4DH36	A0A0C4DH36				2.63941e+06
A0A0C4DH38	A0A0C4DH38				6.47216e+06
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				1.8821e+07
A0A0C4DH43	A0A0C4DH43				3.2867e+07
A0A0C4DH67	A0A0C4DH67				2.44289e+07
A0A0J9YX35	A0A0J9YX35				3.01914e+06
A0A0J9YXX1	A0A0J9YXX1				2.26711e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.45813e+08
A1L4H1	A1L4H1				1.3683e+06
A2RU67	A2RU67				91867.8
A5D6W6	A5D6W6				4.2646e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				462713
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				106321
A6NGN9	A6NGN9				2.09894e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				815143
A6NL88	A6NL88				821939
A6NLU5	A6NLU5				3.80461e+06
A6NML5	A6NML5				1.8323e+06
A8MTW9	A8MTW9				890110
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				76984.5
B9A064;P0DOX8	B9A064;P0DOX8				2.22439e+07
C9JVW0	C9JVW0				7.19343e+06
I3L3R5	I3L3R5				147875
O00115;O00115-2	O00115;O00115-2				1.46099e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.20059e+07
