Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB11.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.30302e+08
A0A075B6H9	A0A075B6H9				6.80458e+06
A0A075B6I0	A0A075B6I0				8.18905e+06
A0A075B6I1	A0A075B6I1				757604
A0A075B6I9	A0A075B6I9				2.00412e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				449120
A0A075B6J9	A0A075B6J9				115162
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.5212e+06
A0A075B6K5	A0A075B6K5				1.71682e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				5.70883e+07
A0A075B6R2	A0A075B6R2				3.90651e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.45337e+06
A0A075B6S2	A0A075B6S2;A2NJV5				3.14331e+07
A0A075B6S5	A0A075B6S5				1.54627e+06
A0A087WSX0;A0A0G2JS06	A0A087WSX0;A0A0G2JS06				419906
A0A087WSY6	A0A087WSY6				1.83269e+07
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.34232e+07
A0A0A0MS15	A0A0A0MS15				1.74808e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				122773
A0A0A0MT89	A0A0A0MT89				3.45665e+06
A0A0B4J1U7	A0A0B4J1U7				5.30591e+06
A0A0B4J1V0	A0A0B4J1V0				4.4153e+07
A0A0B4J1V2	A0A0B4J1V2				904862
A0A0B4J1V6	A0A0B4J1V6				163407
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.61724e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.90901e+06
A0A0C4DH24	A0A0C4DH24				475486
A0A0C4DH25	A0A0C4DH25				1.41552e+07
A0A0C4DH31	A0A0C4DH31				882932
A0A0C4DH34	A0A0C4DH34				3.37668e+06
A0A0C4DH35	A0A0C4DH35				445071
A0A0C4DH36	A0A0C4DH36				1.146e+06
A0A0C4DH38	A0A0C4DH38				2.71538e+06
A0A0C4DH43	A0A0C4DH43				1.07568e+07
A0A0C4DH67	A0A0C4DH67				1.15558e+07
A0A0C4DH72	P01599;A0A0C4DH72				2.94126e+06
