Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA11.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.52021e+08
A0A075B6H9	A0A075B6H9				3.51663e+06
A0A075B6I0	A0A075B6I0				2.67495e+07
A0A075B6I1	A0A075B6I1				3.07716e+06
A0A075B6J9	A0A075B6J9				1.02484e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.62793e+06
A0A075B6K5	A0A075B6K5				5.55915e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.82828e+07
A0A075B6Q5	A0A075B6Q5				380578
A0A075B6R2	A0A075B6R2				1.67094e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				9.85751e+06
A0A075B6S2	A0A075B6S2				2.57542e+06
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.5092e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.33774e+06
A0A087WSY4	A0A087WSY4				1.34687e+07
A0A087WSY6	A0A087WSY6				1.08043e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.17207e+07
A0A0A0MS15	A0A0A0MS15				1.801e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.4672e+06
A0A0A0MT89	A0A0A0MT89				8.7996e+06
A0A0B4J1U7	A0A0B4J1U7				4.86115e+07
A0A0B4J1V0	A0A0B4J1V0				5.85957e+07
A0A0B4J1V2	A0A0B4J1V2				3.1739e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.40688e+07
A0A0B4J1Y8	A0A0B4J1Y8				3.47452e+06
A0A0B4J1Y9	A0A0B4J1Y9				691214
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				636083
A0A0C4DH24	A0A0C4DH24				929570
A0A0C4DH25	A0A0C4DH25				4.78874e+07
A0A0C4DH33	A0A0C4DH33				182300
A0A0C4DH34	A0A0C4DH34				9.44202e+06
A0A0C4DH35	A0A0C4DH35				1.402e+06
A0A0C4DH36	A0A0C4DH36				2.75059e+06
A0A0C4DH38	A0A0C4DH38				2.3708e+07
A0A0C4DH43	P01814;A0A0C4DH43				1.81351e+06
A0A0C4DH67	A0A0C4DH67				508220
A0A0C4DH72	P01599;A0A0C4DH72				4.09404e+06
A0A0J9YX35	A0A0J9YX35				2.96043e+06
A0A0J9YXX1	A0A0J9YXX1				5.16559e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.96633e+08
A1L4H1	A1L4H1				2.07052e+06
A2NJV5	A0A075B6S2;A2NJV5				1.24786e+08
A2RU67	A2RU67				306590
A5D6W6	A5D6W6				1.37419e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.53237e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				381050
A6NGN9	A6NGN9				4.88594e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.44841e+06
A6NL88	A6NL88				999385
A6NLU5	A6NLU5				3.36142e+07
A6NML5	A6NML5				3.94156e+06
A8MTW9	A8MTW9				2.32345e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				110416
B9A064;P0DOX8	B9A064;P0DOX8				7.69028e+07
C9JVW0	C9JVW0				2.10133e+07
I3L3R5	I3L3R5				735065
O00115;O00115-2	O00115;O00115-2				2.90156e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.85831e+07
O00187;O00187-2	O00187;O00187-2				432369
O00244	O00244				1.03175e+08
O00264	O00264;O00264-2				3.54603e+06
O00299	O00299				1.08728e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				1.14244e+06
O00391	O00391;O00391-2				1.57413e+07
O00451	O00451;O00451-2;O00451-3				1.01832e+07
O00461	O00461				5.54817e+06
O00462	O00462				4.45585e+06
O00468-6	O00468-6;O00468-7				1.2751e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				926500
O00533	O00533				7.61125e+06
O00533-2	O00533;O00533-2				7.80286e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				618952
O00567	O00567				357663
O00584	O00584				8.24472e+06
O00754;O00754-2	O00754;O00754-2				916243
O14498	O14498				4.74481e+07
O14514	O14514				1.19358e+06
O14522	O14522;O14522-1				1.21815e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.00914e+06
O14594	O14594				3.0585e+07
O14668;O14668-2	O14668;O14668-2				1.43267e+06
O14672	O14672				3.0556e+06
O14737;O14737-2	O14737;O14737-2				82062.2
O14773	O14773				6.40505e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				4.46168e+06
O14791-2	O14791;O14791-2;O14791-3				5.99248e+06
O14793	O14793				1.12002e+06
O14810	O14810;Q6PUV4				1.2888e+06
O14917;O14917-2	O14917;O14917-2				4.12196e+06
O14960	O14960				668991
O15031	O15031				1.17961e+07
O15041;O15041-2	O15041;O15041-2				227270
O15197;O15197-3	O15197;O15197-3				1.88576e+06
O15230	O15230				6.94745e+06
O15232;O15232-2	O15232;O15232-2				984064
O15240	O15240				1.11971e+08
O15335	O15335				2.20093e+06
O15354	O15354				2.95689e+07
O15394	O15394;O15394-2				2.11133e+07
O15400;O15400-2	O15400;O15400-2				1.15078e+06
O15466;O15466-2	O15466;O15466-2				837211
O15540;O15540-2	O15540;O15540-2				2.37496e+06
O43155	O43155				485500
O43157	O43157;O43157-2;O43157-3				2.83414e+06
O43173	O43173				2.23451e+06
O43240	O43240				743068
O43278;O43278-2	O43278;O43278-2				1.53711e+06
O43286	O43286				1.60653e+06
O43291	O43291				2.9741e+06
O43300	O43300				2.17403e+06
O43323	O43323				159153
O43405;O43405-2	O43405;O43405-2				6.96829e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				3.22655e+07
O43505	O43505				4.82732e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				996408
O43529	O43529				4.51499e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.58845e+06
O43567	O43567				5.36962e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				146481
O43827	O43827				2.64794e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				431467
O43854;O43854-2	O43854;O43854-2				168796
O43866	O43866				1.01943e+06
