Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC06.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.25752e+08
A0A075B6H9	A0A075B6H9				1.15898e+07
A0A075B6I1	A0A075B6I1				6.86325e+06
A0A075B6I9	A0A075B6I9				7.51918e+07
A0A075B6J1	A0A075B6J1				4.88827e+06
A0A075B6J9	A0A075B6J9				8.00933e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.62755e+06
A0A075B6K5	A0A075B6K5				1.01386e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				5.89405e+07
A0A075B6Q5	A0A075B6Q5				625448
A0A075B6R2	A0A075B6R2				2.77997e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.92234e+07
A0A075B6S2	A0A075B6S2				480553
A0A087WSX0	A0A087WSX0;A0A0G2JS06				7.18004e+06
A0A087WSY6	A0A087WSY6				1.04127e+08
A0A087WW87;P01614	P01614;A0A087WW87				680701
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.37e+08
A0A0A0MS15	A0A0A0MS15				2.58366e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				5.08527e+06
A0A0A0MT89	A0A0A0MT89				2.07681e+07
A0A0B4J1U7	A0A0B4J1U7				3.99832e+07
A0A0B4J1V0	A0A0B4J1V0				3.23205e+06
A0A0B4J1V2	A0A0B4J1V2				9.83145e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.74953e+07
A0A0B4J1Y8	A0A0B4J1Y8				4.04573e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.72752e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.61993e+08
A0A0C4DH24	A0A0C4DH24				3.97739e+06
A0A0C4DH25	A0A0C4DH25				2.46087e+07
A0A0C4DH31	A0A0C4DH31				2.81618e+06
A0A0C4DH33	A0A0C4DH33				675698
A0A0C4DH34	A0A0C4DH34				1.92367e+07
A0A0C4DH35	A0A0C4DH35				2.47716e+06
A0A0C4DH36	A0A0C4DH36				9.73268e+06
A0A0C4DH38	A0A0C4DH38				1.77212e+07
A0A0C4DH43	A0A0C4DH43				2.38819e+06
A0A0C4DH67	A0A0C4DH67				1.54045e+07
A0A0J9YX35	A0A0J9YX35				9.33372e+06
A0A0J9YXX1	A0A0J9YXX1				1.92314e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.04275e+08
A1L4H1	A1L4H1				2.89981e+06
A2NJV5	A0A075B6S2;A2NJV5				2.30996e+08
A2RU67	A2RU67				999850
A5D6W6	A5D6W6				3.38192e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				975862
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				607416
A6NGN9	A6NGN9				9.22634e+06
A6NL88	A6NL88				1.86479e+06
A6NLU5	A6NLU5				2.63249e+07
A6NML5	A6NML5				5.51886e+06
A6NNZ2;P04350;P07437;P68371;Q13509;Q13509-2;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7;Q13509-2				175275
A8MTW9	A8MTW9				2.52997e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				238003
B9A064;P0DOX8	B9A064;P0DOX8				1.78858e+08
C9JVW0	C9JVW0				9.58925e+06
I3L3R5	I3L3R5				1.51002e+06
O00115;O00115-2	O00115;O00115-2				7.71329e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.93295e+07
O00187;O00187-2	O00187;O00187-2				2.50747e+06
O00244	O00244				1.34686e+08
O00264	O00264;O00264-2				5.74021e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				2.39329e+06
O00391	O00391;O00391-2				1.68291e+07
O00451	O00451;O00451-2;O00451-3				2.01082e+07
O00461	O00461				5.54403e+06
O00462	O00462				1.5984e+09
O00468-6	O00468-6;O00468-7				1.4342e+07
O00533	O00533				1.31611e+07
O00533-2	O00533;O00533-2				1.18823e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				636997
O00584	O00584				1.5122e+07
O00754;O00754-2	O00754;O00754-2				4.89315e+06
O14498	O14498				7.96675e+07
O14514	O14514				3.00374e+06
O14522	O14522;O14522-1				3.83439e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				609922
O14594	O14594				5.72236e+07
O14657	O14657				318799
O14668;O14668-2	O14668;O14668-2				1.80676e+06
O14672	O14672				5.6302e+06
O14745	O14745				192928
O14773	O14773				1.64696e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				8.32134e+06
O14791-2	O14791;O14791-2;O14791-3				9.68897e+06
O14793	O14793				2.57826e+06
O14810;Q6PUV4	O14810;Q6PUV4				1.38415e+06
O14917;O14917-2	O14917;O14917-2				5.52645e+06
O14960	O14960				519206
O15031	O15031				9.87048e+06
O15041;O15041-2	O15041;O15041-2				760406
O15197;O15197-3	O15197;O15197-3				2.83988e+06
O15204;O15204-2	O15204;O15204-2				1.59305e+06
O15230	O15230				1.64472e+07
O15232;O15232-2	O15232;O15232-2				2.35438e+06
O15240	O15240				1.3266e+08
O15335	O15335				3.77155e+06
O15354	O15354				2.31803e+07
O15389;Q08ET2	O15389;Q08ET2				404611
O15394	O15394;O15394-2				2.43419e+07
O15400;O15400-2	O15400;O15400-2				823377
O15466;O15466-2	O15466;O15466-2				1.3851e+06
O43155	O43155				481600
O43157	O43157;O43157-2;O43157-3				5.99551e+06
O43173	O43173				4.11792e+06
O43240	O43240				1.35576e+06
O43278;O43278-2	O43278;O43278-2				2.20986e+06
O43286	O43286				3.13318e+06
O43291	O43291				6.17326e+06
O43300	O43300				1.23809e+07
O43323	O43323				682984
O43405;O43405-2	O43405;O43405-2				7.0599e+06
O43491;O43491-4	O43491;O43491-2;O43491-3;O43491-4				121193
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				3.22413e+07
O43505	O43505				1.42962e+09
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				2.01352e+06
O43529	O43529				6.63132e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				7.46798e+06
O43567	O43567				8.50951e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.08892e+06
O43736;O43736-2	O43736;O43736-2				418466
O43827	O43827				8.9494e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				199269
O43854;O43854-2	O43854;O43854-2				387631
O43866	O43866				5.11411e+06
O43897;O43897-2	O43897;O43897-2				1.169e+06
O43909	O43909				700045
O43916	O43916				4.93811e+07
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.63301e+07
O60242	O60242				3.9746e+06
O60243	O60243				1.04639e+06
O60245;O60245-2	O60245;O60245-2				6.3957e+06
O60279	O60279				9.06129e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				272475
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				579174
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				947704
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				6.42121e+06
O60476	O60476				7.15909e+06
