Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML
O15240	O15240				1.0068e+08
O15335	O15335				1.80947e+06
O15354	O15354				1.60532e+07
O15394	O15394;O15394-2				2.11054e+07
O15400;O15400-2	O15400;O15400-2				971427
O15466;O15466-2	O15466;O15466-2				1.31661e+06
O15498;O15498-2	O15498;O15498-2				413700
O15540;O15540-2	O15540;O15540-2				3.04248e+06
O43155	O43155				444976
O43157	O43157;O43157-2;O43157-3				1.61732e+06
O43169	O43169				233353
O43173	O43173				7.10211e+06
O43240	O43240				1.28482e+06
O43278;O43278-2	O43278;O43278-2				2.48311e+06
O43291;O43291-2	O43291;O43291-2				5.44327e+06
O43300	O43300				7.40214e+06
O43323	O43323				223566
O43396	O43396				315972
O43405;O43405-2	O43405;O43405-2				8.8211e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				2.77839e+07
O43504	O43504				798751
O43505	O43505				4.61993e+08
O43508	O43508				1.12064e+06
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				397131
O43529	O43529				6.78742e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				7.32575e+06
O43567	O43567				2.80492e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.11578e+06
O43736;O43736-2	O43736;O43736-2				1.42781e+06
O43827	O43827				2.99369e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				512472
O43854;O43854-2	O43854;O43854-2				1.89399e+06
O43866	O43866				3.32728e+07
O43897;O43897-2	O43897;O43897-2				828784
O43909	O43909				557215
