Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G12_190225664.mzML
O15041;O15041-2	O15041;O15041-2				721884
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				485674
O15145	O15145				128186
O15197;O15197-3	O15197;O15197-3				8.92434e+06
O15204;O15204-2	O15204;O15204-2				4.07126e+06
O15230	O15230				4.05815e+06
O15232;O15232-2	O15232;O15232-2				3.85287e+06
O15240	O15240				1.68661e+08
O15335	O15335				7.46477e+06
O15354	O15354				4.0372e+07
O15394	O15394;O15394-2				5.26892e+07
O15466;O15466-2	O15466;O15466-2				2.61395e+06
O15498;O15498-2	O15498;O15498-2				458685
O15540;O15540-2	O15540;O15540-2				8.97508e+06
O43155	O43155				886626
O43157	O43157;O43157-2;O43157-3				7.6878e+06
O43173	O43173				4.70471e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				1.49958e+06
O43240	O43240				2.42371e+06
O43278;O43278-2	O43278;O43278-2				4.95967e+06
O43286	O43286				213940
O43291	O43291				1.19509e+07
O43300	O43300				2.90998e+06
O43323	O43323				1.17784e+06
O43396	O43396				510741
O43405	O43405;O43405-2				3.85253e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				7.48192e+07
O43505	O43505				9.61649e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				3.04789e+06
O43529	O43529				1.24534e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				2.67576e+07
O43567	O43567				2.18397e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.16848e+06
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				793438
O43736;O43736-2	O43736;O43736-2				2.71443e+06
O43827	O43827				1.13591e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.57671e+07
O43854;O43854-2	O43854;O43854-2				1.38846e+06
O43866	O43866				1.449e+07
O43897;O43897-2	O43897;O43897-2				1.88735e+06
O43909	O43909				527836
O43916	O43916				1.78706e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.79904e+07
O60242	O60242				2.75149e+06
O60243	O60243;O60243-2				3.90762e+06
O60245;O60245-2	O60245;O60245-2				3.05429e+06
O60279	O60279				2.83299e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.0756e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.7431e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				696359
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				9.87613e+06
O60476	O60476				4.62585e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.14405e+06
O60512	O60512				3.25085e+06
O60565	O60565				947319
O60568	O60568				5.58943e+06
O60613	O60613				4.07721e+06
O60883	O60883				1.35842e+08
O60888-3	O60888;O60888-2;O60888-3				1.16997e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				2.20301e+06
O60939	O60939				1.01358e+07
O75051;O75051-2	O75051;O75051-2				344421
O75063	O75063				5.4979e+06
O75071	O75071				1.63455e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.72599e+06
O75078	O75078;O75078-2				8.74747e+06
O75083	O75083;O75083-3				3.10342e+06
O75084;Q14332	O75084;Q14332				688972
O75144;O75144-2	O75144;O75144-2;O75144-3				4.06172e+07
O75173;O75173-2	O75173;O75173-2				2.16444e+07
O75223	O75223				792276
O75326	O75326;O75326-2				4.04674e+07
O75339	O75339				722661
O75347;O75347-2	O75347;O75347-2				2.88749e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.14492e+06
O75363-2	O75363-2				254040
O75368	O75368				2.60993e+06
O75487	O75487;O75487-2				2.92808e+06
O75493	O75493				8.12692e+06
O75503	O75503				8.02231e+06
O75509	O75509				2.90324e+07
O75629	O75629				1.26757e+06
O75636;O75636-2	O75636;O75636-2				1.2521e+06
O75711	O75711				5.37846e+08
O75752	O75752				1.30598e+07
O75787;O75787-2	O75787;O75787-2				4.34067e+07
O75828	O75828				3.76728e+06
O75874	O75874				1.37569e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				3.26711e+07
O75973	O75973				1.45594e+06
O75976	O75976				2.40691e+06
O76061	O76061				8.22967e+06
O76070	O76070				3.57652e+06
O94760	O94760				1.46347e+07
O94766	O94766;Q9NPZ5				5.4251e+06
O94769	O94769;O94769-2				2.59186e+07
O94772;O94772-2	O94772;O94772-2				3.81254e+07
O94779;O94779-2	O94779;O94779-2				1.34491e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.45753e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.84914e+06
O94898	O94898				1.17546e+06
