Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD02.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.54074e+08
A0A075B6H9	A0A075B6H9				1.26219e+07
A0A075B6I0	A0A075B6I0				1.7208e+07
A0A075B6I1	A0A075B6I1				4.95951e+06
A0A075B6I9	A0A075B6I9				4.4538e+07
A0A075B6J1	A0A075B6J1;A0A0A0MRZ9				1.35912e+06
A0A075B6J9	A0A075B6J9				1.32343e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				635502
A0A075B6K5	A0A075B6K5				1.62259e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.25132e+07
A0A075B6Q5	A0A075B6Q5				1.55142e+06
A0A075B6R2	A0A075B6R2				6.31971e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.68799e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.30617e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.34868e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.06089e+06
A0A087WSY6	A0A087WSY6				1.23841e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.5837e+07
A0A0A0MS15	A0A0A0MS15				6.74094e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				201462
A0A0A0MT89	A0A0A0MT89				6.47721e+06
A0A0B4J1U7	A0A0B4J1U7				1.05186e+07
A0A0B4J1V0	A0A0B4J1V0				1.19824e+08
A0A0B4J1V2	A0A0B4J1V2				1.52693e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.82857e+07
A0A0B4J1Y8	A0A0B4J1Y8				254255
A0A0B4J1Y9	A0A0B4J1Y9				4.23574e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				216716
A0A0C4DH24	A0A0C4DH24				2.58916e+06
A0A0C4DH25	A0A0C4DH25				4.27875e+07
A0A0C4DH33	A0A0C4DH33				1.78284e+06
A0A0C4DH34	A0A0C4DH34				4.9063e+06
A0A0C4DH35	A0A0C4DH35				2.96198e+06
A0A0C4DH36	A0A0C4DH36				2.27712e+06
A0A0C4DH38	A0A0C4DH38				1.06407e+07
A0A0C4DH43	A0A0C4DH43				1.70487e+07
A0A0C4DH67	A0A0C4DH67				893660
A0A0G2JS06	A0A0G2JS06				773883
A0A0J9YX35	A0A0J9YX35				1.34621e+06
A0A0J9YXX1	A0A0J9YXX1				4.77087e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.81055e+08
A1L4H1	A1L4H1;A1L4H1-2				1.41904e+06
A2RU67	A2RU67				119854
A5D6W6	A5D6W6				3.59098e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				556172
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				148203
A6NGN9	A6NGN9				1.53404e+06
A6NL88	A6NL88				250630
A6NLU5	A6NLU5				2.72185e+06
A6NML5	A6NML5				1.13238e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				54565.8
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				699288
C9JVW0	C9JVW0				2.24144e+06
I3L3R5	I3L3R5				179695
O00115;O00115-2	O00115;O00115-2				1.3598e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.01699e+06
O00187;O00187-2	O00187;O00187-2				796988
O00264	O00264;O15173;O15173-2				1.22291e+06
O00299	O00299				343290
O00339;O00339-2	O00339;O00339-2;O00339-3				475130
O00391	O00391;O00391-2				5.76353e+06
O00451	O00451;O00451-2;O00451-3				2.94892e+06
O00461	O00461				1.34471e+06
O00462	O00462				2.71627e+06
O00468-6	O00468-6;O00468-7				3.49253e+06
O00533	O00533;O00533-2				3.78976e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				186238
O00567	O00567				66649.7
O00584	O00584				2.37767e+06
O00754;O00754-2	O00754;O00754-2				367967
O14498	O14498				7.57823e+06
O14514	O14514				479266
O14522;O14522-1	O14522;O14522-1				414147
O14594	O14594				1.11137e+07
O14668;O14668-2	O14668;O14668-2				493263
O14672	O14672				1.26088e+06
O14773	O14773				3.12855e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				2.18655e+06
O14791-2	O14791;O14791-2;O14791-3				9.35358e+06
O14917;O14917-2	O14917;O14917-2				1.36056e+06
O14960	O14960				217229
O15031	O15031				3.42721e+06
O15041;O15041-2	O15041;O15041-2				118277
O15197;O15197-3	O15197;O15197-3				728281
O15230	O15230				3.36697e+06
O15240	O15240				4.09373e+07
O15335	O15335				764380
O15354	O15354				4.70053e+06
O15389;Q08ET2	O15389;Q08ET2				2.17229e+06
