Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML
O43300	O43300				6.2908e+06
O43323	O43323				271761
O43405;O43405-2	O43405;O43405-2				7.67555e+06
O43491;O43491-4	O43491;O43491-2;O43491-3;O43491-4				100387
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.87992e+07
O43505	O43505				5.90623e+08
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				845693
O43529	O43529				4.47846e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				4.60836e+06
O43567	O43567				4.03819e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				885922
O43707	O43707;O43707-2;O43707-3				190302
O43827	O43827				5.83418e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.24961e+06
O43866	O43866				2.10059e+06
O43897;O43897-2	O43897;O43897-2				699307
O43909	O43909				367297
O43916	O43916				3.22621e+07
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.4235e+07
O60242	O60242				1.41347e+06
O60243	O60243				744245
O60245;O60245-2	O60245;O60245-2				4.25711e+06
O60279	O60279				8.74918e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.50366e+06
O60361	P22392;O60361;P22392-2				335034
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				465929
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.27349e+06
O60476	O60476				1.5225e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				439237
O60512;O60512-2	O60512;O60512-2				649574
O60565	O60565				614627
O60568	O60568				2.06201e+06
O60609;O60609-2	O60609;O60609-2				387061
O60613	O60613				403902
O60883	O60883				5.42599e+07
O60888-3	O60888;O60888-2;O60888-3				1.63142e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				298811
O60939	O60939				2.02137e+06
O75051;O75051-2	O75051;O75051-2				242243
O75063	O75063				3.00602e+06
O75071	O75071				1.00034e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				1.01963e+07
O75078	O75078;O75078-2				3.16663e+06
O75083	O75083;O75083-3				2.95666e+06
O75084;Q14332	O75084;Q14332				549193
O75096	O75096				428306
O75144;O75144-2	O75144;O75144-2;O75144-3				1.63275e+07
O75173;O75173-2	O75173;O75173-2				6.42023e+06
O75223	O75223				453455
O75326	O75326;O75326-2				2.07055e+07
O75340;O75340-2	O75340;O75340-2				181628
O75347	O75347;O75347-2				2.91605e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				755892
