Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D3_CSF_863-13.mzML
O15232;O15232-2	O15232;O15232-2				2.14061e+06
O15240	O15240				1.96097e+08
O15335	O15335				3.28016e+06
O15354	O15354				2.78677e+07
O15394	O15394;O15394-2				4.79818e+07
O15400;O15400-2	O15400;O15400-2				749129
O15466;O15466-2	O15466;O15466-2				962506
O15498;O15498-2	O15498;O15498-2				232738
O15540;O15540-2	O15540;O15540-2				3.06249e+06
O43155	O43155				831237
O43157	O43157;O43157-2;O43157-3				3.34867e+06
O43173	O43173				2.81425e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				377076
O43240	O43240				1.48089e+06
O43278;O43278-2	O43278;O43278-2				2.40035e+06
O43291	O43291				8.5443e+06
O43300	O43300				1.42706e+06
O43323	O43323				751490
O43396	O43396				94633.4
O43405	O43405;O43405-2				2.88418e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				3.56894e+07
O43504	O43504				624724
O43505	O43505				6.13111e+08
O43508	O43508				877252
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				2.30775e+06
O43529	O43529				8.31672e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.47085e+07
O43567	O43567				6.83414e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				712341
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				312201
O43736;O43736-2	O43736;O43736-2				1.03215e+06
O43827	O43827				3.5574e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				962093
O43854;O43854-2	O43854;O43854-2				1.54079e+06
O43866	O43866				4.28385e+06
O43897;O43897-2	O43897;O43897-2				1.71077e+06
O43909	O43909				313227
O43916	O43916				2.25247e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				6.50442e+06
O60242	O60242				895340
O60243	O60243;O60243-2				2.97542e+06
O60245;O60245-2	O60245;O60245-2				3.17987e+06
O60279	O60279				1.92535e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				3.49778e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				810693
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				320199
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.49544e+06
O60476	O60476				2.38087e+06
O60477	O60477;O60477-3				884857
O60512	O60512				1.35326e+06
O60565	O60565				331620
O60568	O60568				9.1379e+06
O60613	O60613				1.53811e+06
O60883	O60883				1.93672e+08
O60888-3	O60888;O60888-2;O60888-3				8.2039e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				909732
O60939	O60939				4.38596e+06
O75019;O75019-2	O75019;O75019-2				2.16217e+06
O75051;O75051-2	O75051;O75051-2				906181
O75063	O75063				2.30514e+06
O75071	O75071				7.68963e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.78781e+06
O75078	O75078;O75078-2				3.1005e+06
O75083	O75083;O75083-3				3.14074e+07
O75084;Q14332	O75084;Q14332				831804
O75144;O75144-2	O75144;O75144-2;O75144-3				1.03176e+07
O75173;O75173-2	O75173;O75173-2				1.32418e+07
O75223	O75223				1.21254e+06
O75326	O75326;O75326-2				1.91184e+07
O75339	O75339				425905
O75347	O75347;O75347-2				1.79594e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.14171e+06
O75363-2	O75363;O75363-2				259770
O75368	O75368				3.01298e+06
O75467;Q6AW86	O75467;Q6AW86				6.18027e+06
O75493	O75493				2.99167e+06
O75503	O75503				3.15189e+06
O75509	O75509				2.48664e+07
O75629	O75629				1.11168e+06
O75636;O75636-2	O75636;O75636-2				1.26553e+06
O75711	O75711				1.5966e+08
O75752	O75752				1.29139e+07
O75787;O75787-2	O75787;O75787-2				2.32542e+07
O75828	O75828				1.55211e+06
O75874	O75874				982687
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.06885e+07
O75884;O75884-2	O75884;O75884-2				1.57115e+06
O75973	O75973				474546
O75976	O75976				1.92575e+06
O76061	O76061				7.88936e+06
O76070	O76070				2.68717e+06
O94760	O94760;O94760-2				9.96856e+06
O94766	O94766;Q9NPZ5				1.32455e+06
O94769	O94769;O94769-2				1.1448e+07
O94772;O94772-2	O94772;O94772-2				9.84784e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				137822
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.45204e+07
O94898	O94898				1.27579e+06
O94910;O94910-2	O94910;O94910-2				6.24636e+06
O94919	O94919				3.74777e+07
O94933	O94933				582563
O94973;O94973-2	O94973;O94973-2				345156
O94985	O94985				3.29127e+06
O94985-2	O94985;O94985-2				2.44862e+08
O94991	O94991;O94991-2				2.68521e+06
O95084;O95084-2	O95084;O95084-2				2.40723e+06
O95156	O95156				645223
O95157	O95157				4.10561e+06
O95158	O95158				1.86652e+07
O95159	O95159				1.27991e+06
O95185;O95185-2	O95185;O95185-2				3.11796e+06
O95196;O95196-2	O95196;O95196-2				1.15241e+07
O95206;O95206-2	O95206;O95206-2				5.48863e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				3.02659e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.0108e+06
O95336	O95336				2.08481e+06
O95390	O95390				3.70456e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				8.42479e+06
O95445	O95445;O95445-2				5.4018e+06
O95450;O95450-2	O95450;O95450-2				2.12838e+06
O95461;O95461-2	O95461;O95461-2				548190
O95467	O95467				3.87596e+06
O95477	O95477				2.30101e+06
O95479;O95479-2	O95479;O95479-2				81563.6
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				420081
O95497	O95497				170708
O95502	O95502				6.36777e+07
O95633;O95633-2	O95633;O95633-2				2.38143e+06
O95782;O95782-2	O95782;O95782-2				846407
O95841	O95841				1.55703e+06
O95865	O95865				1.03769e+06
O95881	O95881				156985
O95897	O95897				1.19316e+06
O95967	O95967				1.19396e+07
O95970	O95970;O95970-2				631782
O95980	O95980				7.99146e+06
O95998	O95998;O95998-4				8.29928e+06
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				196427
P00338;P00338-3	P00338;P00338-3;P00338-4				1.81204e+07
P00352	P00352				1.72308e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.55852e+06
P00441	P00441				3.39209e+08
P00450	P00450				2.10985e+08
P00488	P00488				1.00701e+06
P00492	P00492				2.31358e+06
P00505	P00505;P00505-2				1.224e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.51562e+06
P00558	P00558;P00558-2				5.23487e+06
P00568	P00568				824609
P00734	P00734				4.55327e+07
P00736	P00736				1.05852e+08
P00738;P00738-2	P00738;P00738-2				2.04147e+08
P00739	P00739;P00739-2				1.06346e+08
P00740;P00740-2	P00740;P00740-2				3.43264e+06
P00742	P00742				1.11155e+07
P00746	P00746				4.53359e+07
P00747	P00747				7.10295e+07
P00748	P00748				4.61774e+07
P00751	P00751;P00751-2				1.83689e+08
P00915	P00915				1.68252e+06
P00995	P00995				1.16436e+06
P01008	P01008				4.21312e+08
P01009	P01009;P01009-2;P01009-3				2.8935e+09
P01011	P01011				1.51784e+09
P01019	P01019				1.07656e+09
P01023	P01023				4.75773e+08
P01024	P01024				1.23704e+09
P01031	P01031				2.04909e+07
P01033	P01033				8.77803e+07
P01034	P01034				2.17186e+09
P01037	P01037				720668
P01040	P01040				3.37482e+06
P01042	P01042;P01042-2;P01042-3				1.20923e+08
P01042-2;P01042-3	P01042-2;P01042-3				6.02271e+07
P01127;P01127-2	P01127;P01127-2				3.35792e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				546715
P01178	P01178				1.15595e+06
P01210	P01210				7.9266e+07
P01213	P01213				6.16873e+06
P01236	P01236				268721
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.07614e+06
P01282;P01282-2	P01282;P01282-2				920133
P01303	P01303				1.30332e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.1075e+07
P01591	P01591				8.61119e+06
P01593;P01594	P01593;P01594				1.68756e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.83018e+07
P01599	P01599;A0A0C4DH72				9.78517e+06
P01601	P01601				525025
P01602	P01602				1.19316e+07
P01619	P01619				2.17354e+08
P01700	P01700				3.83306e+07
P01701	P01701				1.63719e+07
P01703	P01703				1.7835e+06
P01705	P01705				4.50055e+06
P01706	P01706				4.18849e+06
P01709	P01706;P01709;P0DOX8				7.08406e+06
P01714	P01714				4.95717e+06
P01717	P01717				3.48794e+07
P01721	P01721				2.22175e+06
P01742	P01742				7.20263e+06
P01743	P01743				344330
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				1.18442e+07
P01780	P01780				7.42835e+07
P01817	P01817				3.13639e+06
P01833	P01833				2.05099e+06
P01834	P01834				2.64997e+07
P01859;P01859-1	P01859;P01859-1				4.37295e+08
P01860;P01860-1	P01860;P01860-1				9.20637e+07
P01861;P01861-1	P01861;P01861-1				2.17119e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				9.59656e+06
P01876;P01876-1	P01876;P01876-1				3.58711e+08
