Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B12_82872039.mzML
O15204;O15204-2	O15204;O15204-2				3.52269e+06
O15230	O15230				1.41175e+06
O15232;O15232-2	O15232;O15232-2				1.11297e+06
O15240	O15240				1.06359e+08
O15335	O15335				2.38173e+06
O15354	O15354				1.7462e+07
O15394	O15394;O15394-2				2.313e+07
O15466;O15466-2	O15466;O15466-2				822115
O15534	O15534				628775
O15540;O15540-2	O15540;O15540-2				1.90349e+06
O43155	O43155				703906
O43157	O43157;O43157-2;O43157-3				2.80411e+06
O43173	O43173				1.79086e+06
O43240	O43240				1.14499e+06
O43278;O43278-2	O43278;O43278-2				1.68824e+06
O43291	O43291				3.87132e+06
O43300	O43300				646611
O43405	O43405;O43405-2				1.39394e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.05504e+07
O43505	O43505				3.96399e+08
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				867599
O43529	O43529				2.5751e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.42276e+06
O43567	O43567				2.47279e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				184762
O43707;O43707-2;O43707-3	O43707;O43707-2;O43707-3				122867
O43776;O43776-2	O43776;O43776-2				2.83986e+06
O43827	O43827				3.19429e+06
O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9				63751.9
O43854;O43854-2	O43854;O43854-2				1.89976e+06
O43866	O43866				3.69563e+06
O43897;O43897-2	O43897;O43897-2				650027
O43909	O43909				128940
O43916	O43916				1.00625e+06
O60238;O60238-2	O60238;O60238-2				264148
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.69736e+06
O60242	O60242				2.38075e+06
O60243	O60243;O60243-2				1.01783e+06
O60245;O60245-2	O60245;O60245-2				1.51324e+06
O60279	O60279				5.2761e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				72408.7
O60312	O60312				2.80021e+07
O60330;O60330-2;Q9Y5G5;Q9Y5G5-2;Q9Y5G8;Q9Y5G8-2;Q9Y5G9;Q9Y5G9-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				474374
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				195514
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.0682e+06
O60476	O60476				2.08571e+06
O60512	O60512				916043
O60568	O60568				6.98481e+06
O60613	O60613				1.02726e+06
O60741	O60741				174346
O60883	O60883				7.80486e+07
O60888-3	O60888-3				3.04084e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				753919
O60939	O60939				1.74608e+06
O75019;O75019-2	O75019;O75019-2				978047
O75051;O75051-2	O75051;O75051-2				35983.8
O75063	O75063				1.87208e+06
O75071	O75071				2.86116e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.94017e+06
O75078	O75078;O75078-2				2.4232e+06
O75083	O75083;O75083-3				1.76447e+06
O75084;Q14332	O75084;Q14332				274518
O75144;O75144-2	O75144;O75144-2;O75144-3				1.75534e+07
O75173;O75173-2	O75173;O75173-2				1.1012e+07
O75223	O75223				99031.2
O75326	O75326;O75326-2				1.98435e+07
O75339	O75339				271812
O75340;O75340-2	O75340;O75340-2				88242.1
O75347	O75347;O75347-2				924790
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				731420
O75363-2	O75363-2				86258.4
O75368	O75368				1.0758e+06
O75487;O75487-2	O75487;O75487-2				1.09368e+06
O75493	O75493				1.06991e+07
O75503	O75503				2.11342e+06
O75509	O75509				1.19434e+07
O75629	O75629				1.07213e+06
O75636;O75636-2	O75636;O75636-2				312529
O75711	O75711				1.09846e+08
O75752	O75752				3.60678e+06
O75787;O75787-2	O75787;O75787-2				1.31787e+07
O75874	O75874				402258
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				9.82472e+06
O75884;O75884-2	O75884;O75884-2				1.27821e+06
O75973	O75973				354630
O75976	O75976				5.70363e+06
O76061	O76061				5.5463e+06
O76070	O76070				1.14157e+06
O94760	O94760;O94760-2				6.53683e+06
O94766	O94766;Q9NPZ5				1.54049e+06
O94769	O94769;O94769-2				8.71519e+06
O94772;O94772-2	O94772;O94772-2				3.9115e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				424522
O94856-11;O94856-3;O94856-8	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.66436e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				556670
O94898	O94898				806678
O94910;O94910-2	O94910;O94910-2				4.21717e+06
O94919	O94919				3.46115e+07
O94933	O94933				790740
O94985	O94985				1.30471e+06
O94985-2	O94985;O94985-2				1.65071e+08
O94991	O94991;O94991-2				9.00038e+06
O95084;O95084-2	O95084;O95084-2				1.35124e+06
O95156	O95156				369270
O95157	O95157				332515
O95158	O95158				9.2833e+06
O95159	O95159				839291
O95185;O95185-2	O95185;O95185-2				2.18623e+06
O95196;O95196-2	O95196;O95196-2				3.74857e+06
O95206;O95206-2	O95206;O95206-2				3.05165e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				690848
O95336	O95336				1.47689e+06
O95390	O95390				2.09736e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				5.14032e+06
O95445	O95445;O95445-2				7.63318e+06
O95445-2	O95445-2				255462
O95450;O95450-2	O95450;O95450-2				4.44235e+06
O95467	O95467				1.61272e+06
O95477	O95477				964272
O95479;O95479-2	O95479;O95479-2				115579
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				307870
O95497	O95497				453125
O95502	O95502				6.07741e+07
O95633;O95633-2	O95633;O95633-2				2.10803e+06
O95841	O95841				286302
O95865	O95865				884890
O95897	O95897				1.17804e+06
O95967	O95967				8.94973e+06
O95970	O95970;O95970-2				410649
O95998	O95998;O95998-4				9.03967e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				5.38557e+06
P00352	P00352				1.12555e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.52608e+06
P00441	P00441				1.07979e+08
P00450	P00450				1.3134e+08
P00488	P00488				1.27937e+06
P00492	P00492				1.15549e+06
P00505;P00505-2	P00505;P00505-2				4.31192e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				765664
P00558	P00558;P00558-2				5.46912e+06
P00568	P00568				552074
P00734	P00734				4.24874e+07
P00736	P00736				9.21475e+07
P00738	P00738;P00738-2				2.43828e+08
P00739	P00739;P00739-2				3.73103e+08
P00740;P00740-2	P00740;P00740-2				2.70934e+06
P00742	P00742				9.45552e+06
P00746	P00746				2.6426e+07
P00747	P00747				8.8431e+07
P00748	P00748				1.29173e+07
P00751	P00751;P00751-2				1.34623e+08
P00915	P00915				103493
P00918	P00918				896018
P01008	P01008				5.02887e+08
P01009	P01009;P01009-2;P01009-3				3.69894e+09
P01011	P01011				1.00584e+09
P01019	P01019				2.32562e+08
P01023	P01023				2.77998e+08
P01024	P01024				7.80226e+08
P01031	P01031				2.32482e+07
P01033	P01033				4.28893e+07
P01034	P01034				2.29049e+09
P01036;P01037	P01036;P01037				269253
P01042	P01042;P01042-2;P01042-3				1.61144e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.59637e+08
P01127;P01127-2	P01127;P01127-2				1.5111e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				539064
P01178	P01178				835206
P01210	P01210				4.62828e+07
P01213	P01213				4.53016e+06
P01236	P01236				2.75923e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.50617e+06
P01282;P01282-2	P01282;P01282-2				926104
P01303	P01303				4.66267e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				9.9767e+06
P01591	P01591				3.93671e+06
P01593;P01594	P01593;P01594				3.05248e+07
P01597;P04432	P01597;P04432				1.53144e+07
P01599	P01599				3.10325e+06
P01601	P01601				1.34313e+06
P01602	P01602				3.60432e+06
P01619	P01619				4.37491e+08
P01700	P01700				3.83861e+07
P01701	P01701				3.21574e+06
P01703	P01703				1.49103e+06
P01704	P01704				2.3316e+06
P01705	P01705				2.51044e+06
P01706	P01706				1.65517e+06
P01709	P01706;P01709;P0DOX8				1.46967e+07
P01714	P01714				5.85968e+06
P01715	P01715				1.58493e+06
P01717	P01717				9.8134e+07
P01721	P01721				3.23014e+06
P01742	P01742				8.80821e+06
P01743	P01743				397689
P01768;P0DP02;P0DP03	P01768;P01772;P0DP02;P0DP03				2.08899e+07
P01780	P01780				8.43903e+07
P01814	P01814				4.40451e+06
P01817	P01817				4.61746e+06
P01833	P01833				879424
P01834	P01834				2.01342e+07
P01859;P01859-1	P01859;P01859-1				8.8681e+08
P01860;P01860-1	P01860;P01860-1				4.66753e+07
P01861;P01861-1	P01861;P01861-1				7.64554e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				3.3884e+07
P01876;P01876-1	P01876;P01876-1				3.39635e+08
P01889	P01889;P13747				4.17311e+06
P01903	P01903;P01906				600132
P01911	P01911				1.54682e+06
P02144	P02144				905162
P02452	P02452				4.61651e+07
P02461	P02461;P02461-2				7.61602e+06
P02511	P02511				3.32381e+06
P02647	P02647				2.88746e+09
P02649	P02649				4.37037e+09
P02652	P02652				4.69708e+08
P02654	P02654				1.20554e+08
P02655	P02655				1.57249e+07
P02656	P02656				5.92461e+07
P02671	P02671;P02671-2				1.32746e+08
P02675	P02675				4.33316e+07
P02679;P02679-2	P02679;P02679-2				9.04867e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				646630
P02743	P02743				3.55804e+06
P02745	P02745				5.50829e+07
P02746	P02746				1.76378e+08
P02747	P02747				1.26378e+08
P02748	P02748				3.40792e+07
P02749	P02749				1.37871e+08
P02750	P02750				7.41236e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.53287e+08
P02753	P02753				2.1893e+07
P02760	P02760				6.65924e+07
P02763	P02763				4.89248e+08
P02765	P02765				4.74111e+08
P02766	P02766				2.52653e+09
P02768	P02768				2.30073e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				3.78646e+08
P02776;P10720	P02776;P10720				453433
P02786	P02786				1.22973e+06
P02787	P02787				6.41367e+09
P02788;P02788-2	P02788;P02788-2				3.84432e+06
P02790	P02790				1.13933e+09
P02792	P02792				1.08782e+06
P02794	P02794				4.34068e+06
P02810	P02810				797239
P03950	P03950				2.40826e+06
P03951;P03951-2	P03951;P03951-2				4.89356e+06
P03952	P03952				1.1442e+07
P04003	P04003				2.21489e+06
P04004	P04004				2.15318e+08
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.47281e+06
P04066	P04066				3.54319e+06
P04070;P04070-2	P04070;P04070-2				5.95404e+06
P04075;P04075-2	P04075;P04075-2				2.43849e+07
P04080	P04080				2.85397e+06
P04085;P04085-2	P04085;P04085-2				3.80477e+06
P04114	P04114				5.55163e+06
P04156	P04156				4.18355e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				9.22507e+06
P04180	P04180				2.57978e+07
P04196	P04196				1.35404e+08
P04211	P04211				640258
P04216	P04216				1.6202e+08
P04217	P04217;P04217-2				2.42588e+08
