Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F3_129190664.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.72527e+08
A0A075B6H9	A0A075B6H9				1.5273e+07
A0A075B6I9;P04211	P04211;A0A075B6I9				1.24047e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				9.9624e+06
A0A075B6J9	A0A075B6J9				2.23917e+06
A0A075B6K4	A0A075B6K4				9.06488e+06
A0A075B6K5	A0A075B6K5				1.91801e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.15552e+08
A0A075B6R2	A0A075B6R2				7.69502e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.66756e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.58929e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				8.17507e+06
A0A087WSX0	A0A087WSX0				1.32476e+07
A0A087WSY4	A0A087WSY4				2.30345e+07
A0A087WSY6	A0A087WSY6				2.94037e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.30112e+08
A0A0A0MS15	A0A0A0MS15				3.05203e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				938724
A0A0B4J1U7	A0A0B4J1U7				1.03066e+07
A0A0B4J1V6	A0A0B4J1V6				4.66021e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				5.1311e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.83645e+07
A0A0B4J1Y9	A0A0B4J1Y9				7.35611e+06
A0A0C4DH25	A0A0C4DH25				2.19977e+07
A0A0C4DH33	A0A0C4DH33				1.54542e+06
A0A0C4DH34	A0A0C4DH34				1.05131e+07
A0A0C4DH35	A0A0C4DH35				324832
A0A0C4DH36	A0A0C4DH36				5.07877e+06
A0A0C4DH38	A0A0C4DH38				7.07557e+06
A0A0C4DH39	A0A0C4DH39				1.16393e+06
A0A0C4DH43	P01814;A0A0C4DH43				1.08364e+07
A0A0C4DH72	P01599;A0A0C4DH72				2.19135e+07
A0A0G2JS06	A0A0G2JS06				1.59459e+07
A0A0J9YX35	A0A0J9YX35				1.02838e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				6.05889e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				6.44502e+07
A1L4H1	A1L4H1				5.51308e+06
A2RU67	A2RU67				1.12495e+06
A5D6W6	A5D6W6				3.31563e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				4.21925e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				2.08944e+06
A6NGN9	A6NGN9				1.27964e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				5.86099e+06
A6NL88	A6NL88				6.04205e+06
A6NLU5	A6NLU5				2.09549e+07
A6NML5	A6NML5				6.85141e+06
A8MTW9	A8MTW9				5.73385e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				864391
B9A064;P0DOX8	B9A064;P0DOX8				2.9647e+08
C9JVW0	C9JVW0				1.4005e+07
E2RYF7	E2RYF7				7.91469e+06
I3L3R5	I3L3R5				1.54658e+06
O00115;O00115-2	O00115;O00115-2				9.13293e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				8.76244e+07
O00230	O00230				259562
O00244	O00244				1.54369e+06
O00264	O00264;O00264-2				1.19792e+07
O00292;O00292-2	O00292;O00292-2				2.87318e+06
O00299	O00299				2.86843e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				4.21015e+06
O00391	O00391;O00391-2				4.55559e+07
O00451	O00451;O00451-2;O00451-3				4.27615e+07
O00461	O00461				2.80927e+07
O00462	O00462				1.58003e+07
O00468-6	O00468-6;O00468-7				2.81512e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				2.46258e+06
O00533	O00533				1.22679e+07
O00533-2	O00533;O00533-2				4.04153e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.6133e+06
O00584	O00584				3.92534e+07
O00754;O00754-2	O00754;O00754-2				4.49204e+06
