Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H3_129190521_repeat.mzML
Q6UXI7;Q6UXI7-2;Q6UXI7-4;Q6UXI7-5	Q6UXI7;Q6UXI7-2;Q6UXI7-3;Q6UXI7-4;Q6UXI7-5				8.32729e+06
Q6UXI9;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6	Q6UXI9;Q6UXI9-2;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6				2.13254e+06
Q6UXK2	Q6UXK2				2.63672e+06
Q6UXK5	Q6UXK5				4.8581e+06
Q6UXZ4;Q6UXZ4-2	Q6UXZ4;Q6UXZ4-2				5.28667e+06
Q6UY14;Q6UY14-2;Q6UY14-3	Q6UY14;Q6UY14-3;Q6UY14-2				912903
Q6YHK3	Q6YHK3;Q6YHK3-2;Q6YHK3-4				5.80219e+06
Q6ZMI3	Q6ZMI3;Q6ZMI3-2				1.69553e+07
Q6ZMP0	Q6ZMP0;Q6ZMP0-2;Q6ZMP0-3;Q6ZMP0-4				5.90163e+06
Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2				5.57484e+06
Q6ZRI8;Q6ZRI8-2;Q6ZRI8-3;Q6ZRI8-4;Q6ZRI8-5	Q6ZRI8;Q6ZRI8-2;Q6ZRI8-3;Q6ZRI8-4;Q6ZRI8-5				1.66172e+06
Q6ZRP7	Q6ZRP7				9.08669e+06
Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3	Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3				8.04299e+07
Q6ZVL6	Q6ZVL6;Q6ZVL6-2				7.98435e+06
Q70JA7	Q70JA7				744959
Q71H61	Q71H61				467915
Q76KP1	Q76KP1				1.21483e+06
Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4	Q76LX8;Q76LX8-2;Q76LX8-3;Q76LX8-4				130834
Q7KYR7;Q7KYR7-1;Q7KYR7-4;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3	Q7KYR7;Q8WVV5;Q7KYR7-4;Q7KYR7-1;Q7KYR7-5;Q7KYR7-6;Q8WVV5-2;Q8WVV5-3				1.82561e+06
Q7L014	Q7L014				6.51438e+07
Q7L0X0	Q7L0X0				4.53475e+06
Q7L266;Q7L266-2	Q7L266;Q7L266-2				509161
