Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G3_79069638.mzML
O15041;O15041-2	O15041;O15041-2				980442
O15204;O15204-2	O15204;O15204-2				4.211e+06
O15230	O15230				7.45791e+06
O15232;O15232-2	O15232;O15232-2				3.78943e+06
O15240	O15240				1.75974e+08
O15335	O15335				6.93089e+06
O15354	O15354				4.0719e+07
O15394	O15394;O15394-2				3.38141e+07
O15466;O15466-2	O15466;O15466-2				4.47713e+06
O43157	O43157;O43157-2;O43157-3				7.09241e+06
O43173	O43173				8.83494e+06
O43240	O43240				3.48184e+06
O43291	O43291				1.46708e+07
O43300	O43300				5.98166e+06
O43323	O43323				1.30596e+06
O43405;O43405-2	O43405;O43405-2				4.14412e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				8.81323e+07
O43505	O43505				1.34767e+09
O43508	O43508				2.38216e+06
O43529	O43529				1.14878e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.787e+07
O43567	O43567;O43567-2				6.70802e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				4.94664e+06
O43707	O43707;Q9H254;Q9H254-2;Q9H254-4				50188.1
O43736;O43736-2	O43736;O43736-2				3.92032e+06
O43827	O43827				1.52427e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.15057e+06
O43854;O43854-2	O43854;O43854-2				3.37298e+06
O43866	O43866				1.70534e+07
O43897;O43897-2	O43897;O43897-2				2.70689e+06
O43909	O43909				1.33045e+06
O43916	O43916				1.56519e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.87922e+07
O60242	O60242				5.24117e+06
O60243	O60243;O60243-2				6.03663e+06
O60245;O60245-2	O60245;O60245-2				1.30141e+07
O60279	O60279				4.70251e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				241817
O60330;O60330-2	O60330;O60330-2				533332
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				3.94564e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.07035e+07
O60476	O60476				3.8909e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.84352e+06
O60512	O60512				3.04406e+06
O60565	O60565				575003
O60568	O60568				6.22137e+06
O60613	O60613				5.04588e+06
O60883	O60883				2.05704e+08
O60888-3	O60888;O60888-2;O60888-3				8.41341e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				1.80331e+06
O60939	O60939				3.98423e+06
O75015	O75015				2.03101e+06
O75051;O75051-2	O75051;O75051-2				1.44821e+06
O75063	O75063				4.72823e+06
O75071	O75071				1.59852e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				1.45671e+07
O75078	O75078;O75078-2				1.1897e+07
O75083	O75083;O75083-3				1.56385e+06
O75144;O75144-2	O75144;O75144-2;O75144-3				4.9693e+07
O75173;O75173-2	O75173;O75173-2				2.49695e+07
O75326	O75326;O75326-2				6.20009e+07
O75347;O75347-2	O75347;O75347-2				3.24916e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.37696e+06
O75368	O75368				3.72138e+06
O75487	O75487				653494
O75493	O75493				1.39348e+07
O75503	O75503				1.28946e+07
O75509	O75509				2.30918e+07
O75592;O75592-2	O75592;O75592-2				5.33241e+06
O75629	O75629				798310
O75636;O75636-2	O75636;O75636-2				3.28076e+06
O75711	O75711				9.97705e+08
O75752	O75752				1.11572e+07
O75781;O75781-2	O75781;O75781-2				1.69377e+06
O75787;O75787-2	O75787;O75787-2				7.45893e+07
O75874	O75874				1.93259e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.87741e+07
O75976	O75976				2.80907e+06
O76061	O76061				1.91093e+07
O76070	O76070				274840
O94760	O94760;O94760-2				7.1734e+06
O94766	O94766;O94766-2				3.53699e+06
O94769	O94769;O94769-2				3.75002e+07
O94772;O94772-2	O94772;O94772-2				1.11235e+08
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				1.24558e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				9.11066e+07
O94898	O94898				2.01451e+06
O94910;O94910-2	O94910;O94910-2				2.67686e+07
O94919	O94919				6.72236e+07
O94933	O94933				6.56988e+06
O94973;O94973-2	O94973;O94973-2				1.37482e+06
O94985	O94985				1.60601e+06
O94985-2	O94985;O94985-2				7.12272e+08
O94991	O94991;O94991-2				6.80228e+06
O95084	O95084;O95084-2				2.31469e+06
O95157	O95157				5.34922e+06
O95158	O95158				4.38311e+07
O95185;O95185-2	O95185;O95185-2				5.25113e+06
O95196;O95196-2	O95196;O95196-2				7.98151e+06
O95206;O95206-2	O95206;O95206-2				5.32908e+06
O95336	O95336				4.51569e+06
O95390	O95390				8.75708e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.30739e+07
O95445	O95445;O95445-2				1.12373e+08
O95450;O95450-2	O95450;O95450-2				4.15154e+06
O95467	O95467				2.12741e+06
O95477	O95477				2.28842e+07
O95479;O95479-2	O95479;O95479-2				2.34271e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.137e+06
O95497	O95497				2.02922e+06
O95502	O95502				1.20326e+08
O95633;O95633-2	O95633;O95633-2				5.13553e+06
O95841	O95841				875534
O95865	O95865				404134
O95881	O95881				758898
O95897	O95897				2.77993e+06
O95967	O95967				1.9114e+07
O95970	O95970;O95970-2				462935
O95980	O95980				6.02308e+06
O95998	O95998;O95998-4				2.51143e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				1.61455e+07
P00352	P00352				2.07223e+06
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.99353e+06
P00441	P00441				9.8158e+08
P00450	P00450				6.54043e+08
P00488	P00488				4.85438e+06
P00492	P00492				4.49998e+06
P00505	P00505;P00505-2				1.38058e+07
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				3.28378e+06
P00558	P00558;P00558-2				2.04906e+07
P00568	P00568				2.10967e+06
P00734	P00734				1.72921e+08
P00736	P00736				1.41383e+08
P00738	P00738;P00738-2				7.06339e+08
P00739	P00739;P00739-2				3.93404e+08
P00740;P00740-2	P00740;P00740-2				1.4328e+07
P00742	P00742				3.65933e+07
P00746	P00746				1.86253e+08
P00747	P00747				2.91011e+08
P00748	P00748				9.57774e+07
P00751	P00751;P00751-2				2.97434e+08
P00813	P00813				297477
P01008	P01008				1.39433e+09
P01009	P01009;P01009-2;P01009-3				7.54097e+09
P01011	P01011				4.66238e+09
P01019	P01019				4.91508e+08
P01023	P01023;P20742;P20742-2				9.57619e+08
P01024	P01024				1.93087e+09
P01031	P01031				7.26838e+07
P01033	P01033				9.44865e+07
P01034	P01034				2.55348e+10
P01042	P01042;P01042-2;P01042-3				7.46591e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.80522e+08
P01127;P01127-2	P01127;P01127-2				4.76711e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				437355
P01178	P01178				3.44024e+06
P01210	P01210				1.46156e+08
P01213	P01213				6.10938e+06
P01236	P01236				1.72213e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.83733e+06
P01282;P01282-2	P01282;P01282-2				1.10279e+06
P01303	P01303				1.02369e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.51672e+08
P01591	P01591				1.91808e+07
P01593;P01594	P01593;P01594				6.43555e+07
P01599	P01599;A0A0C4DH72				5.64205e+06
P01601	P01601				2.21564e+06
P01602	P01602				4.27931e+06
P01619	P01619				8.55287e+08
P01700	P01700				2.19681e+08
P01701	P01701				2.22313e+07
P01703	P01703				6.65815e+06
