Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G7_79061594.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.53025e+08
A0A075B6H9	A0A075B6H9				2.97936e+06
A0A075B6I0	A0A075B6I0				1.06776e+07
A0A075B6I1	A0A075B6I1				1.08761e+06
A0A075B6I9	A0A075B6I9				3.1628e+07
A0A075B6J9	A0A075B6J9				4.58757e+06
A0A075B6K4	P01715;A0A075B6K4				1.67751e+07
A0A075B6K5	A0A075B6K5				1.06601e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				8.41218e+07
A0A075B6Q5	A0A075B6Q5				622737
A0A075B6R2	A0A075B6R2				9.34495e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.46169e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.02236e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.2375e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.91119e+07
A0A087WSY4	A0A087WSY4				8.47927e+06
A0A087WSY6	A0A087WSY6				3.66772e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.06319e+08
A0A0A0MS15	A0A0A0MS15				3.92988e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				844803
A0A0B4J1U7	A0A0B4J1U7				1.01616e+07
A0A0B4J1V0	A0A0B4J1V0				1.57869e+08
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.23192e+08
A0A0B4J1Y9	A0A0B4J1Y9				2.93195e+06
A0A0C4DH24	A0A0C4DH24				1.12254e+07
A0A0C4DH25	A0A0C4DH25				4.2195e+07
A0A0C4DH33	A0A0C4DH33				3.9679e+08
A0A0C4DH34	A0A0C4DH34				8.20993e+06
A0A0C4DH35	A0A0C4DH35				2.40806e+06
A0A0C4DH36	A0A0C4DH36				2.93057e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.77204e+07
A0A0C4DH43	P01814;A0A0C4DH43				3.06309e+07
A0A0J9YX35	A0A0J9YX35				7.6348e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				184160
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				6.18397e+07
A1L4H1	A1L4H1;A1L4H1-2				1.47157e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.38728e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				833384
A6NGN9	A6NGN9				7.00931e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.66617e+06
A6NL88	A6NL88				4.4704e+06
A6NLU5	A6NLU5				8.22483e+06
A6NML5	A6NML5				5.0286e+06
A6NNZ2;P04350;P07437;P68371;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1	A6NNZ2;P04350;P07437;P68371;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1				171255
A8MTW9	A8MTW9				2.05617e+06
I3L3R5	I3L3R5				830040
O00115;O00115-2	O00115;O00115-2				4.48304e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.70534e+07
O00187;O00187-2	O00187;O00187-2				2.21257e+06
O00264	O00264;O00264-2				3.39295e+06
O00299	O00299				1.0219e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.68301e+06
O00391	O00391;O00391-2				5.17903e+07
O00451	O00451;O00451-2;O00451-3				1.64135e+07
O00461	O00461				1.43079e+07
O00462	O00462				7.58269e+06
O00468-6	O00468-6;O00468-7				1.60374e+07
O00533	O00533;O00533-2				1.2782e+08
O00533-2	O00533-2				1.80722e+07
O00584	O00584				1.21248e+07
O00754;O00754-2	O00754;O00754-2				5.06767e+06
O14498	O14498				2.59511e+07
O14514	O14514				1.94228e+06
O14522;O14522-1	O14522;O14522-1				1.69254e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.24351e+06
O14594	O14594				1.39463e+08
O14672	O14672				8.1234e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				2.16394e+07
O14773	O14773				6.5249e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				9.63506e+06
O14791-2	O14791;O14791-2				6.76454e+06
O14793	O14793				4.75254e+06
O14917;O14917-2	O14917;O14917-2				3.8343e+06
O14960	O14960				94675.9
O15031	O15031				2.67113e+07
O15197;O15197-3	O15197;O15197-3				2.84474e+06
O15230	O15230				1.63608e+06
O15232;O15232-2	O15232;O15232-2				2.3322e+06
O15240	O15240				1.65887e+08
O15335	O15335				2.83533e+06
O15354	O15354				1.13594e+07
O15389;Q08ET2	O15389;Q08ET2				2.8561e+06
O15394	O15394;O15394-2				1.35411e+08
O15466;O15466-2	O15466;O15466-2				2.10728e+06
O15540;O15540-2	O15540;O15540-2				4.98506e+06
O43155	O43155				675252
O43157	O43157;O43157-2;O43157-3				4.66431e+06
O43173	O43173				3.24284e+06
O43240	O43240				4.42111e+06
O43278;O43278-2	O43278;O43278-2				1.28419e+07
O43291	O43291				8.40327e+06
O43300	O43300				4.4437e+06
O43405;O43405-2	O43405;O43405-2				3.01431e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-7				2.17911e+07
O43505	O43505				5.38139e+08
O43508	O43508				1.63893e+06
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				2.1622e+06
O43529	O43529				1.16179e+07
