Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E10_190225272.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.99194e+08
A0A075B6H9	A0A075B6H9				6.27199e+07
A0A075B6I0	A0A075B6I0				7.87394e+07
A0A075B6I1	A0A075B6I1				4.03748e+06
A0A075B6I9	A0A075B6I9				2.16559e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				9.32147e+06
A0A075B6J9	A0A075B6J9				6.18948e+06
A0A075B6K0;A0A075B6K4	A0A075B6K0;A0A075B6K4				1.01091e+06
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				4.11267e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				5.52542e+08
A0A075B6Q5	A0A075B6Q5				4.39956e+06
A0A075B6R2	A0A075B6R2				3.35422e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.41002e+07
A0A075B6S2	A0A075B6S2;A2NJV5				5.66176e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.95059e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.60628e+06
A0A087WSY4	A0A087WSY4				4.33775e+07
A0A087WSY6	A0A087WSY6				5.87019e+08
A0A087WSZ0	A0A087WSZ0				2.91607e+06
A0A087WW87;P01614	P01614;A0A087WW87				4.77907e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.06451e+08
A0A0A0MS15	A0A0A0MS15				2.26044e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.1089e+06
A0A0B4J1U7	A0A0B4J1U7				7.97086e+07
A0A0B4J1V0	A0A0B4J1V0				2.03068e+08
A0A0B4J1V2	A0A0B4J1V2				2.09589e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.61348e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.413e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.72912e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				5.02937e+06
A0A0C4DH24	A0A0C4DH24				1.93857e+07
A0A0C4DH25	A0A0C4DH25				2.97029e+07
A0A0C4DH30	A0A0C4DH30				1.97879e+06
A0A0C4DH33	A0A0C4DH33				3.02399e+06
A0A0C4DH34	A0A0C4DH34				1.52815e+07
A0A0C4DH35	A0A0C4DH35				9.81489e+06
A0A0C4DH36	A0A0C4DH36				1.69313e+07
A0A0C4DH38	A0A0C4DH38				6.86499e+07
A0A0C4DH43	A0A0C4DH43				3.52224e+07
A0A0C4DH67	A0A0C4DH67				1.14437e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.27029e+07
A0A0G2JMI3	A0A0G2JMI3				4.47141e+07
A0A0G2JS06	A0A0G2JS06				4.04824e+06
A0A0J9YX35	A0A0J9YX35				2.05536e+07
