Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G11_79112692_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.52814e+08
A0A075B6H9	A0A075B6H9				2.09071e+07
A0A075B6I0	A0A075B6I0				3.63431e+07
A0A075B6I1	A0A075B6I1				1.29834e+06
A0A075B6I9	A0A075B6I9				8.39648e+07
A0A075B6J1	A0A075B6J1				9.85704e+06
A0A075B6J9	A0A075B6J9				4.58325e+06
A0A075B6K5	A0A075B6K5				6.21745e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.74918e+08
A0A075B6Q5	A0A075B6Q5				2.96988e+06
A0A075B6R2	A0A075B6R2				2.25518e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.37185e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.9971e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				4.88721e+07
A0A087WSX0	A0A087WSX0				6.46583e+06
A0A087WSY4	A0A087WSY4				1.13231e+07
A0A087WSY6	A0A087WSY6				1.22991e+08
A0A087WSZ0	A0A087WSZ0				992757
A0A087WW87;P01614	P01614;A0A087WW87				706726
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.3855e+08
A0A0A0MS15	A0A0A0MS15				1.93317e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				341948
A0A0A0MT89	A0A0A0MT89				8.00616e+06
A0A0B4J1U7	A0A0B4J1U7				1.37914e+07
A0A0B4J1V0	A0A0B4J1V0				3.07471e+08
A0A0B4J1V2	A0A0B4J1V2				6.63459e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.34139e+08
A0A0B4J1Y8	A0A0B4J1Y8				7.75544e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.03963e+07
A0A0C4DH24	A0A0C4DH24				4.13065e+06
A0A0C4DH25	A0A0C4DH25				3.72761e+07
A0A0C4DH30	A0A0C4DH30				84663.5
A0A0C4DH33	A0A0C4DH33				621366
A0A0C4DH34	A0A0C4DH34				1.0177e+07
A0A0C4DH35	A0A0C4DH35				1.1618e+06
A0A0C4DH36	A0A0C4DH36				6.34561e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				8.74987e+06
A0A0C4DH43	A0A0C4DH43				1.00796e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.7911e+07
A0A0G2JMI3	A0A0G2JMI3				6.50202e+06
A0A0G2JS06	A0A0G2JS06				3.79522e+06
A0A0J9YX35	A0A0J9YX35				1.03476e+07
A0A0J9YXX1	A0A0J9YXX1				2.94564e+07
A0A1B0GUS4;P68036	P68036;A0A1B0GUS4;P68036-2;P68036-3				1.70993e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				687602
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				1.88963e+08
A1L4H1	A1L4H1				6.10001e+06
A2RU67	A2RU67				762288
A5D6W6	A5D6W6				7.32127e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.38715e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.13842e+06
A6NGN9	A6NGN9				1.25319e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.23168e+06
A6NJB7;A6NJB7-2	A6NJB7;A6NJB7-2				1.17718e+06
A6NL88	A6NL88				4.96964e+06
A6NLU5	A6NLU5				3.42048e+07
A6NML5	A6NML5				4.77776e+06
A8MTW9	A8MTW9				2.9417e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				852708
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				553800
C9JVW0	C9JVW0				2.26093e+07
E2RYF7	E2RYF7				4.11755e+06
I3L3R5	I3L3R5				1.12277e+06
O00115;O00115-2	O00115;O00115-2				1.03046e+07
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.66169e+07
O00187;O00187-2	O00187;O00187-2				1.64939e+06
O00233;O00233-2	O00233;O00233-2				89937.5
O00244	O00244				1.56111e+06
O00264	O00264;O00264-2				1.98244e+08
