Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E5_129187004_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.38084e+08
A0A075B6H9	A0A075B6H9				1.9743e+07
A0A075B6I0	A0A075B6I0				2.12934e+07
A0A075B6I1	A0A075B6I1				7.30504e+06
A0A075B6I9	A0A075B6I9				1.33363e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.46674e+06
A0A075B6J9	A0A075B6J9				3.16272e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				8.76458e+06
A0A075B6K5	A0A075B6K5				7.293e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.9409e+08
A0A075B6Q5	A0A075B6Q5				2.45526e+06
A0A075B6R2	A0A075B6R2				1.12791e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.1422e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.29018e+08
A0A075B6S5	A0A075B6S5				1.19643e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.52709e+06
A0A087WSY6	A0A087WSY6				1.56519e+08
A0A087WW87;P01614	P01614;A0A087WW87				858312
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.79733e+08
A0A0A0MS15	A0A0A0MS15				1.75047e+07
A0A0A0MT89	A0A0A0MT89				1.29306e+07
A0A0B4J1U7	A0A0B4J1U7				6.6402e+07
A0A0B4J1V2	A0A0B4J1V2				4.57048e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.87717e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.61963e+08
A0A0C4DH24	A0A0C4DH24				5.79599e+06
A0A0C4DH25	A0A0C4DH25				2.02432e+07
A0A0C4DH29	A0A0C4DH29				87671.1
A0A0C4DH33	A0A0C4DH33				2.37731e+06
A0A0C4DH34	A0A0C4DH34				9.87665e+06
A0A0C4DH35	A0A0C4DH35				2.32247e+06
A0A0C4DH36	A0A0C4DH36				5.73724e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				5.12371e+06
A0A0C4DH43	A0A0C4DH43				4.57413e+06
A0A0C4DH67	A0A0C4DH67				5.37245e+07
A0A0G2JS06	A0A0G2JS06				1.73526e+06
A0A0J9YX35	A0A0J9YX35				4.58947e+06
A0A0J9YXX1	A0A0J9YXX1				6.06001e+06
