Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C8_82882588_repeat.mzML
O15204;O15204-2	O15204;O15204-2				3.49424e+06
O15230	O15230				7.75117e+06
O15232;O15232-2	O15232;O15232-2				8.19626e+06
O15240	O15240				5.4393e+08
O15335	O15335				3.41786e+06
O15354	O15354				3.57016e+07
O15394	O15394;O15394-2				6.65576e+07
O15466;O15466-2	O15466;O15466-2				5.38592e+06
O43147;O43147-2	O43147;O43147-2				3.23736e+06
O43155	O43155				2.76018e+06
O43157	O43157;O43157-2;O43157-3				1.08991e+07
O43173	O43173				7.25323e+06
O43240	O43240				5.02264e+06
O43278;O43278-2	O43278;O43278-2				7.53591e+06
O43291	O43291				2.59224e+07
O43300	O43300				1.52452e+07
O43405;O43405-2	O43405;O43405-2				5.84722e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				6.39585e+07
O43504	O43504				2.27746e+06
O43505	O43505				1.76746e+09
O43508-2	O43508;O43508-2				5.54977e+06
O43529	O43529				2.00849e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.80163e+07
O43567	O43567				2.39429e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				2.46991e+06
O43736;O43736-2	O43736;O43736-2				2.93621e+06
O43827	O43827				9.40013e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.92666e+06
O43854;O43854-2	O43854;O43854-2				1.03163e+06
O43866	O43866				5.25885e+06
O43897;O43897-2	O43897;O43897-2				2.21451e+06
O43909	O43909				1.86413e+06
O43916	O43916				9.4664e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				5.32268e+07
O60242	O60242				5.25277e+06
O60243	O60243;O60243-2				6.10569e+06
O60245;O60245-2	O60245;O60245-2				7.73306e+06
O60279	O60279				1.03504e+08
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.54257e+06
O60330;O60330-2	O60330;O60330-2				1.50421e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				3.87247e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				3.45007e+07
O60476	O60476				9.4564e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.58707e+06
O60512	O60512				5.57147e+06
O60565	O60565				374892
O60568	O60568				6.91678e+06
O60609;O60609-2	O60609;O60609-2				336543
O60613	O60613				3.17792e+06
O60704	O60704				528337
O60741	O60741				483358
O60883	O60883				2.43676e+07
O60888-3	O60888;O60888-2;O60888-3				1.18252e+07
O60939	O60939				8.03142e+06
O75051;O75051-2	O75051;O75051-2				3.37927e+06
O75063	O75063				9.82378e+06
O75071	O75071				1.47037e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.74258e+07
O75078	O75078;O75078-2				1.85997e+07
O75083	O75083;O75083-3				3.95187e+06
O75084;Q14332	O75084;Q14332				502051
O75093	O75093;O94813;O75093-2;O94813-2;O94813-3				6.12447e+07
O75096	O75096				669308
O75144;O75144-2	O75144;O75144-2;O75144-3				1.25297e+08
O75173;O75173-2	O75173;O75173-2				1.79214e+07
O75223	O75223				687895
O75326	O75326;O75326-2				1.07226e+08
O75347	O75347;O75347-2				2.47807e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.40969e+06
O75368	O75368				4.16685e+06
O75467;Q6AW86	O75467;Q6AW86				1.82038e+07
O75487	O75487;O75487-2				8.95514e+06
O75493	O75493				2.97166e+07
O75503	O75503				8.18245e+06
O75509	O75509				1.05809e+08
O75629	O75629				2.80094e+06
O75636;O75636-2	O75636;O75636-2				8.73775e+06
O75711	O75711				2.12824e+08
O75752	O75752				1.05177e+07
O75781;O75781-2	O75781;O75781-2				7.59345e+06
O75787;O75787-2	O75787;O75787-2				8.22181e+07
O75874	O75874				5.76124e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.82421e+07
O75973	O75973				2.81988e+06
O75976	O75976				4.65949e+06
O76031	O76031				1.11425e+06
O76061	O76061				1.07845e+07
O76070	O76070				5.64644e+06
O94760	O94760;O94760-2				3.71625e+07
O94766	O94766;Q9NPZ5				6.86294e+06
O94769	O94769;O94769-2				2.23893e+07
O94772;O94772-2	O94772;O94772-2				6.4275e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				3.09251e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				9.1383e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				6.97132e+06
O94898	O94898				3.38127e+06
O94910	O94910;O94910-2				1.32653e+07
O94919	O94919				1.34842e+08
O94933	O94933				3.49355e+06
O94973;O94973-2	O94973;O94973-2				727663
O94985	O94985				3.90087e+06
O94985-2	O94985;O94985-2				9.6913e+08
O94991	O94991;O94991-2				1.61131e+07
O95084	O95084;O95084-2				3.1102e+06
O95157	O95157				2.45652e+06
O95158	O95158				6.32065e+07
O95159	O95159				4.20278e+06
O95164	O95164				1.30899e+06
O95185;O95185-2	O95185;O95185-2				7.48468e+06
O95196;O95196-2	O95196;O95196-2				2.54982e+07
O95206;O95206-2	O95206;O95206-2				2.33012e+07
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				2.20593e+06
O95336	O95336				6.33768e+06
O95390	O95390				1.32529e+07
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.06269e+07
O95445;O95445-2	O95445;O95445-2				3.15353e+07
O95450;O95450-2	O95450;O95450-2				4.2438e+06
O95467	O95467				4.07754e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				2.50002e+06
O95497	O95497				2.36946e+06
O95502	O95502				3.7835e+08
O95633;O95633-2	O95633;O95633-2				3.56304e+06
O95782;O95782-2	O95782;O95782-2				2.01132e+06
O95841	O95841				122780
O95865	O95865				2.15924e+06
O95881	O95881				544764
O95897	O95897				2.47256e+06
O95967	O95967				2.18865e+07
O95970	O95970;O95970-2				1.81983e+06
O95980	O95980				6.75469e+06
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				532756
P00338;P00338-3	P00338;P00338-3;P00338-4				3.99129e+07
P00352	O94788;P00352;P05091;P30837;P47895;O94788-2;O94788-3;O94788-4;P05091-2				3.49067e+06
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				7.85594e+06
P00441	P00441				1.59109e+09
P00450	P00450				2.35803e+08
P00488	P00488				6.19814e+06
P00492	P00492				8.28183e+06
P00505	P00505;P00505-2				1.99735e+07
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				3.49418e+06
P00558	P00558;P00558-2				1.69318e+08
P00568	P00568				1.51187e+06
P00734	P00734				6.31483e+07
P00736	P00736				1.63405e+08
P00738	P00738;P00738-2				1.99551e+08
P00739	P00739;P00739-2				4.29057e+08
P00740;P00740-2	P00740;P00740-2				7.24495e+06
P00742	P00742				6.59995e+07
P00746	P00746				5.59224e+08
P00747	P00747				2.83449e+08
P00748	P00748				1.69541e+08
P00751	P00751;P00751-2				2.60155e+08
P00813	P00813				245227
P01008	P01008				5.23037e+08
P01009	P01009;P01009-2;P01009-3				3.69761e+09
P01011	P01011				5.00167e+09
P01019	P01019				1.83414e+09
P01023	P01023;P20742;P20742-2				8.52675e+08
P01024	P01024				2.16088e+09
P01031	P01031				4.05379e+07
P01033	P01033				1.20599e+08
P01034	P01034				8.1485e+09
P01042	P01042;P01042-2;P01042-3				3.14982e+08
P01042-2;P01042-3	P01042-2;P01042-3				6.27078e+07
P01127;P01127-2	P01127;P01127-2				1.47574e+08
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				2.13699e+06
P01178	P01178				7.27848e+06
P01210	P01210				1.47822e+08
P01213	P01213				1.00676e+07
P01236	P01236				1.82312e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				2.42935e+06
P01282;P01282-2	P01282;P01282-2				3.54968e+06
P01303	P01303				1.52839e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				5.76476e+07
P01591	P01591				1.47522e+07
P01593;P01594	P01593;P01594				1.2927e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.05076e+07
P01599	P01599;A0A0C4DH72				2.53344e+06
P01602	P01602				2.26756e+06
P01619	P01619				3.36239e+08
P01700	P01700				9.25709e+07
P01701	P01701				2.28658e+07
P01703	P01703				4.49255e+06
P01706	P01706				1.57393e+06
P01709	P01706;P01709;P0DOX8				6.0299e+06
P01714	P01714				7.69913e+06
P01717;P01718	P01717;P01718				6.13065e+06
P01721	P01721				1.03295e+07
P01743	P01743				451423
