Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G1_82881418_repeat.mzML
Q8TAB3;Q8TAB3-2;Q8TAB3-3	Q8TAB3;Q8TAB3-2;Q8TAB3-3				965223
Q8TAG5;Q8TAG5-2	Q8TAG5;Q8TAG5-2				1.69515e+07
Q8TBP5	Q8TBP5				8.54151e+06
Q8TCZ2	Q8TCZ2;Q8TCZ2-2;Q8TCZ2-3;Q8TCZ2-5;Q8TCZ2-6				2.60395e+07
Q8TDF5;Q8TDF5-1;Q8TDF5-2	Q8TDF5;Q8TDF5-1;Q8TDF5-2				1.17309e+06
Q8TDQ0;Q8TDQ0-2	Q8TDQ0;Q8TDQ0-2				2.81889e+06
Q8TER0;Q8TER0-5	Q8TER0;Q8TER0-3;Q8TER0-4;Q8TER0-5				1.35042e+07
Q8TEU8	Q8TEU8				2.30852e+07
Q8WUJ3	Q8WUJ3;Q8WUJ3-2				8.49624e+06
Q8WVN6	Q8WVN6				7.30341e+06
Q8WVQ1;Q8WVQ1-3	Q8WVQ1;Q8WVQ1-3				3.84605e+06
Q8WWX9	Q8WWX9				3.98375e+06
Q8WX77	Q8WX77				1.22024e+06
Q8WXB1	Q8WXB1				286324
Q8WXD2	Q8WXD2				1.10136e+08
Q8WXD2-2	Q8WXD2-2				4.7732e+06
Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4	Q8WY21;Q8WY21-2;Q8WY21-3;Q8WY21-4				4.99654e+07
Q8WYK1	Q8WYK1				2.04356e+06
Q8WZ75;Q8WZ75-2;Q8WZ75-3	Q8WZ75;Q8WZ75-2;Q8WZ75-3				5.92898e+06
Q8WZA1	Q8WZA1;Q8WZA1-2				2.12843e+07
Q92484;Q92484-2	Q92484;Q92484-2				3.6684e+06
Q92485	Q92485;Q92485-2				5.54601e+06
Q92520	Q92520				4.36957e+08
Q92542;Q92542-2	Q92542;Q92542-2				3.76516e+06
Q92563	Q92563				1.48467e+07
Q92626	Q92626				528593
Q92673	Q92673				5.9075e+06
Q92692;Q92692-2	Q92692;Q92692-2				1.45906e+06
Q92729;Q92729-2;Q92729-3;Q92729-4	Q92729;Q92729-2;Q92729-3;Q92729-4				751174
Q92743	Q92743				4.91621e+06
Q92752;Q92752-2	Q92752;Q92752-2				4.58213e+06
Q92765	Q92765				1.39221e+07
Q92820	Q92820				8.72642e+06
Q92823;Q92823-2;Q92823-5	Q92823;Q92823-2;Q92823-3;Q92823-4;Q92823-5;Q92823-6				3.06122e+08
Q92832;Q92832-2	Q92832;Q92832-2				1.49074e+06
Q92854	Q92854				1.33817e+06
Q92859;Q92859-2;Q92859-3;Q92859-4	Q92859;Q92859-2;Q92859-3;Q92859-4				1.88927e+07
Q92876	Q92876;Q92876-2				1.66276e+08
Q92896;Q92896-2;Q92896-3	Q92896;Q92896-2;Q92896-3				1.23938e+06
Q92911	Q92911				1.53752e+06
Q92932;Q92932-2;Q92932-3;Q92932-4	Q92932;Q92932-2;Q92932-3;Q92932-4				8.33242e+06
Q92945;Q96AE4;Q96AE4-2	Q92945;Q96AE4;Q96AE4-2				8.46391e+06
Q92954;Q92954-2;Q92954-5;Q92954-6	Q92954;Q92954-2;Q92954-3;Q92954-4;Q92954-5;Q92954-6				8.62036e+06
Q93063;Q93063-3	Q93063;Q93063-2;Q93063-3				4.97046e+06
Q93091	Q93091				3.13626e+06
Q969H8	Q969H8				2.06289e+06
Q969P0;Q969P0-3	Q969P0;Q969P0-3				7.42927e+07
Q969T9	Q969T9				1.12515e+07
Q969Z4	Q969Z4				1.17691e+06
Q96AP7	Q96AP7				9.82281e+06
Q96AQ1;Q96AQ1-2;Q96LY2;Q96LY2-2	Q96LY2;Q96LY2-2;Q96AQ1;Q96AQ1-2				250669
Q96AQ6;Q96AQ6-2	Q96AQ6;Q96AQ6-2				1.49656e+06
Q96B86;Q96B86-3;Q96B86-4	Q96B86;Q96B86-3;Q96B86-4				9.90943e+06
Q96BY9	Q96BY9				1.02775e+06
Q96BZ4	Q96BZ4				8.36662e+06
Q96CG8;Q96CG8-2;Q96CG8-3	Q96CG8;Q96CG8-2;Q96CG8-3				3.1006e+06
Q96CW9;Q96CW9-2	Q96CW9;Q96CW9-2				182620
Q96CX2	Q96CX2;Q68DU8				702032
Q96DD7	Q96DD7				83261.1
Q96DT5	Q96DT5				1.65279e+07
Q96DZ1;Q96DZ1-2;Q96DZ1-3	Q96DZ1;Q96DZ1-2;Q96DZ1-3				141633
Q96EE4	Q96EE4				875501
Q96EU7	Q96EU7				452459
Q96FE5;Q96FE5-2	Q96FE5;Q7L985;Q96FE5-2				4.91949e+06
Q96FE7-4	Q96FE7;Q96FE7-2;Q96FE7-4;Q96FE7-5				3.24649e+07
Q96FJ2	P63167;Q96FJ2				5.24729e+06
Q96GD0	Q96GD0				216129
Q96GW7	Q96GW7;Q96GW7-2				1.35313e+08
Q96HU1;Q96HU1-2	Q96HU1;Q96HU1-2				6.13896e+06
Q96HY6;Q96HY6-2	Q96HY6;Q96HY6-2				568305
Q96ID5	Q96ID5				2.33682e+06
Q96IY4	Q96IY4				5.45153e+07
Q96JA1;Q96JA1-2	Q96JA1;Q96JA1-2				408806
Q96JF0;Q96JF0-2	Q96JF0;Q96JF0-2				1.15036e+07
Q96JQ0	Q96JQ0				990972
Q96KN2	Q96KN2				5.0323e+08
Q96KP4;Q96KP4-2	Q96KP4;Q96KP4-2				269903
Q96MK3	Q96MK3				797225
Q96MU8;Q96MU8-2;Q96MU8-3	Q96MU8;Q96MU8-2;Q96MU8-3				549013
Q96NU0;Q96NU0-2;Q9BZ76;Q9BZ76-2	Q96NU0;Q9BZ76;Q9BZ76-2;Q96NU0-2				198439
Q96NZ9;Q96NZ9-2;Q96NZ9-4	Q96NZ9;Q96NZ9-2;Q96NZ9-4				3.7452e+06
Q96P44;Q96P44-3	Q96P44;Q96P44-3				1.23547e+06
Q96PD2;Q96PD2-2	Q96PD2;Q96PD2-2				523054
Q96PD5	Q96PD5;Q96PD5-2				9.58843e+07
Q96PQ0	Q96PQ0				9.28038e+06
Q96PX8	Q96PX8				4.86081e+07
Q96RP7	Q96RP7				527306
Q96RW7;Q96RW7-2	Q96RW7;Q96RW7-2				511050
Q96S96	Q96S96				1.17833e+08
Q96SM3	Q96SM3				772474
Q96TA2;Q96TA2-2;Q96TA2-3	Q96TA2;Q96TA2-2;Q96TA2-3				1.90148e+07
Q96TC7;Q96TC7-2	Q96TC7;Q96TC7-2				686207
Q99435;Q99435-2;Q99435-3;Q99435-4	Q99435;Q99435-2;Q99435-3;Q99435-4				1.04437e+08
Q99497	Q99497				6.99683e+06
Q99519	Q99519				2.37283e+06
Q99523	Q99523;Q99523-2				5.31812e+06
Q99538;Q99538-2;Q99538-3	Q99538;Q99538-2;Q99538-3				896036
Q99574	Q99574				2.12003e+07
Q99584	Q99584				206728
Q99650;Q99650-2	Q99650;Q99650-2				470821
Q99674	Q99674;Q99674-2				1.47693e+07
Q99715;Q99715-4	Q99715;Q99715-2;Q99715-4				2.04251e+06
Q99784	Q99784;Q99784-3;Q99784-5				8.48819e+06
Q99946	Q99946				1.56056e+06
Q99969	Q99969				2.66496e+07
Q99972	Q99972				4.92976e+06
Q99983	Q99983				1.99477e+07
Q99985	Q99985				2.22341e+06
Q9BQ16	Q9BQ16;Q9BQ16-1;Q9BQ16-4;Q9BQ16-5;Q9BQ16-6;Q9BQ16-7;Q9BQ16-8				6.14163e+06
Q9BQS7;Q9BQS7-2;Q9BQS7-3;Q9BQS7-4	Q9BQS7;Q9BQS7-2;Q9BQS7-3;Q9BQS7-4				318039
Q9BQT9;Q9BQT9-2	Q9BQT9;Q9BQT9-2				7.6149e+07
Q9BRA2	Q9BRA2				2.18488e+06
Q9BRK3;Q9BRK3-2;Q9BRK3-3	Q9BRK3;Q9BRK3-2;Q9BRK3-3				9.57302e+06
Q9BRK5	Q9BRK5;Q9BRK5-2;Q9BRK5-5				9.67964e+06
Q9BRR6;Q9BRR6-2	Q9BRR6;Q9BRR6-2				184178
Q9BS26	Q9BS26				763785
Q9BSG5;Q9BSG5-2;Q9BSG5-3	Q9BSG5;Q9BSG5-2;Q9BSG5-3				1.65108e+06
Q9BTY2	Q9BTY2				2.56516e+07
Q9BU40-3;Q9BU40-4;Q9BU40-5	Q9BU40;Q9BU40-3;Q9BU40-4;Q9BU40-5				1.47419e+07
Q9BUD6	Q9BUD6				1.9523e+06
Q9BUJ0	Q9BUJ0				4.01202e+06
Q9BUN1	Q9BUN1				1.71464e+07
Q9BVK6	Q9BVK6				1.05727e+06
Q9BWD1;Q9BWD1-2	Q9BWD1;Q9BWD1-2				155136
Q9BWQ8	Q9BWQ8				9.07021e+06
Q9BWS9;Q9BWS9-3	Q9BWS9;Q9BWS9-3				4.68214e+06
Q9BX67;Q9BX67-2	Q9BX67;Q9BX67-2				1.88322e+06
Q9BXJ0	Q9BXJ0				1.12484e+07
Q9BXJ1;Q9BXJ1-2	Q9BXJ1;Q9BXJ1-2				1.40206e+06
Q9BXJ3	Q9BXJ3				1.53619e+07
