Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B7_81787765.mzML
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.2511e+06
O75368	O75368				2.25425e+06
O75487	O75487;O75487-2				836476
O75493	O75493				8.95237e+06
O75503	O75503				3.73572e+06
O75509	O75509				1.33077e+07
O75711	O75711				5.93889e+07
O75752	O75752				5.5363e+06
O75781;O75781-2	O75781;O75781-2				2.54705e+06
O75787;O75787-2	O75787;O75787-2				3.33159e+07
O75874	O75874				261827
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				7.76294e+06
O75973	O75973				614708
O75976	O75976				1.59758e+06
O76061	O76061				2.0724e+06
O76070	O76070				1.74404e+06
O94760	O94760;O94760-2				7.27536e+06
O94766	O94766;Q9NPZ5				1.0335e+06
O94769	O94769;O94769-2				1.65151e+07
O94772;O94772-2	O94772;O94772-2				4.41663e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				193939
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.69228e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.40881e+06
O94910;O94910-2	O94910;O94910-2				9.5277e+06
O94919	O94919				3.86422e+07
O94933	O94933				1.55452e+06
O94973;O94973-2	O94973;O94973-2				135278
O94985	O94985				1.68373e+06
O94985-2	O94985;O94985-2				3.16075e+08
O94991	O94991;O94991-2				7.49971e+06
O95084;O95084-2	O95084;O95084-2				2.09969e+06
O95157	O95157				1.10523e+06
O95158	O95158				1.34788e+07
O95185;O95185-2	O95185;O95185-2				2.73638e+06
O95196;O95196-2	O95196;O95196-2				8.75236e+06
O95206;O95206-2	O95206;O95206-2				4.17853e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				1.12067e+06
O95336	O95336				1.39492e+06
O95390	O95390				3.93528e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				4.76188e+06
O95445;O95445-2	O95445;O95445-2				3.51581e+06
O95450;O95450-2	O95450;O95450-2				2.85262e+06
O95467	O95467				1.97236e+06
O95477	O95477				1.1768e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				795776
O95497	O95497				910648
O95502	O95502				8.83028e+07
O95633;O95633-2	O95633;O95633-2				619506
O95865	O95865				226570
O95897	O95897				246845
O95967	O95967				2.01773e+07
O95970	O95970;O95970-2				117724
O95980	O95980				2.53273e+06
O95998	O95998;O95998-4				4.61668e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				9.06096e+06
P00352	O94788;P00352;P05091;P30837;P47895;O94788-2;O94788-3;O94788-4;P05091-2				317802
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.07487e+06
P00441	P00441				3.42573e+08
P00450	P00450				1.69506e+08
P00488	P00488				1.05097e+06
P00492	P00492				2.55182e+06
P00505	P00505;P00505-2				5.55248e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.18998e+06
P00558	P00558;P07205;P00558-2				3.57909e+06
P00734	P00734				3.58581e+07
P00736	P00736				1.1553e+08
P00738;P00738-2	P00738;P00738-2				7.7534e+07
P00739	P00739;P00739-2				1.0628e+08
P00740;P00740-2	P00740;P00740-2				7.89462e+07
P00742	P00742				1.10444e+07
P00746	P00746				1.31018e+08
P00747	P00747				8.43274e+07
P00748	P00748				4.27082e+07
P00751	P00751;P00751-2				6.48442e+07
P01008	P01008				2.95727e+08
P01009	P01009;P01009-2;P01009-3				1.75777e+09
P01011	P01011				8.42267e+08
P01019	P01019				3.78579e+08
P01023	P01023;P20742;P20742-2				2.87795e+08
P01024	P01024				5.76692e+08
P01031	P01031				1.95213e+07
P01033	P01033				3.8645e+07
P01034	P01034				8.84147e+09
P01036;P01037	P01036;P01037				330759
P01040	P01040				2.56353e+06
P01042	P01042;P01042-2;P01042-3				1.20976e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.56011e+08
P01127;P01127-2	P01127;P01127-2				2.79636e+07
P01178	P01178				2.04313e+06
P01210	P01210				6.84481e+07
P01213	P01213				3.88913e+06
P01236	P01236				261950
P01258;P01258-2;P06881	P01258;P06881;P01258-2				144344
P01282;P01282-2	P01282;P01282-2				1.17671e+06
P01303	P01303				4.81293e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				2.36904e+06
P01591	P01591				9.63405e+06
P01593;P01594	P01593;P01594				1.56484e+07
P01601	P01601				1.8402e+06
P01619	P01619				4.44147e+08
P01700	P01700				4.89218e+07
P01701	P01701				5.60721e+07
P01705	P01704;P01705				2.8206e+06
P01709	P01706;P01709;P0DOX8				4.27392e+06
P01717	P01717;P01718				2.1939e+07
P01721	P01721				1.63942e+06
P01768;P01772;P0DP02;P0DP03	P01768;P01772;P0DP02;P0DP03				2.27727e+07
P01780	P01780				7.37718e+07
P01814	P01814				2.79247e+06
P01817	P01817				1.2704e+07
P01833	P01833				384169
P01834	P01834				3.5635e+07
P01859;P01859-1	P01859;P01859-1				1.08735e+09
P01860;P01860-1	P01860;P01860-1				2.73489e+07
P01861;P01861-1	P01861;P01861-1				1.3216e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				4.57091e+07
P01876;P01876-1	P01876;P01876-1				5.34505e+08
P01889	P01889;P10321;P10321-2				3.05139e+06
P01903	P01903;P01906				347898
P01911	P01911				2.03931e+06
P02144	P02144				1.09934e+06
P02452	P02452				2.45732e+07
P02461	P02461;P02461-2				4.97118e+06
P02533	P02533				5.66994e+06
P02647	P02647				3.1897e+09
P02649	P02649				4.91198e+09
P02652	P02652				5.39322e+08
P02654	P02654				6.17763e+07
P02655	P02655				6.46954e+06
P02656	P02656				3.10358e+07
P02671	P02671;P02671-2				1.71864e+08
P02675	P02675				9.12303e+07
P02679;P02679-2	P02679;P02679-2				8.98418e+07
P02743	P02743				3.44031e+06
P02745	P02745				1.08805e+08
P02746	P02746				1.39603e+08
P02747	P02747				5.11037e+07
P02748	P02748				2.25426e+07
P02749	P02749				3.70713e+07
P02750	P02750				6.73652e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				2.31002e+08
P02753	P02753				5.42788e+07
P02760	P02760				5.98952e+07
P02763	P02763				1.52824e+09
P02765	P02765				2.92132e+08
