Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D5_129186580_repeat.mzML
O15498;O15498-2	O15498;O15498-2				555869
O43155	O43155				742623
O43157	O43157;O43157-2;O43157-3				5.8568e+06
O43173	O43173				4.76577e+06
O43240	O43240				3.50544e+06
O43278;O43278-2	O43278;O43278-2				3.32276e+06
O43291	O43291				1.36406e+07
O43300	O43300				5.72303e+06
O43405;O43405-2	O43405;O43405-2				5.72075e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				4.87318e+07
O43504	O43504				1.53778e+06
O43505	O43505				1.2828e+09
O43508	O43508				1.49641e+06
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				2.31373e+06
O43529	O43529				6.81422e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.72261e+07
O43567	O43567				2.11522e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				877406
O43736;O43736-2	O43736;O43736-2				521643
O43827	O43827				4.46909e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.09544e+06
O43854;O43854-2	O43854;O43854-2				1.74706e+06
O43866	O43866				9.47791e+06
O43897;O43897-2	O43897;O43897-2				1.51235e+06
O43909	O43909				894529
O43916	O43916				1.84264e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.12828e+07
O60242	O60242				3.41976e+06
O60243	O60243;O60243-2				4.16536e+06
O60245;O60245-2	O60245;O60245-2				3.73722e+06
O60279	O60279				5.06684e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				6.37265e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.92055e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.54415e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.22911e+07
O60476	O60476				3.82803e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.24341e+06
O60512	O60512				2.50631e+06
O60565	O60565				614720
O60568	O60568				3.80492e+06
O60613	O60613				2.57758e+06
O60883	O60883				9.43475e+07
O60888-3	O60888;O60888-2;O60888-3				8.6158e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				2.4175e+06
O60939	O60939				1.34583e+06
O75051	O75051;O75051-2				1.03175e+06
O75063	O75063				4.75889e+06
O75071	O75071				1.17154e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.13943e+06
O75078	O75078;O75078-2				7.73668e+06
O75083	O75083;O75083-3				1.76455e+06
O75084;Q14332	O75084;Q14332				897020
O75093;O75093-2	O75093;O94813;O75093-2;O94813-2;O94813-3				4.17832e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				2.73605e+07
O75173;O75173-2	O75173;O75173-2				1.40226e+07
O75223	O75223;O75223-3				2.07041e+06
O75326	O75326;O75326-2				7.70743e+07
O75347;O75347-2	O75347;O75347-2				1.65762e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.40894e+06
O75368	O75368				3.14015e+06
O75487	O75487;O75487-2				2.41376e+06
O75493	O75493				7.72136e+06
O75503	O75503				6.81082e+06
O75509	O75509				3.03172e+07
O75629	O75629				1.80124e+06
O75636;O75636-2	O75636;O75636-2				3.49284e+06
O75711	O75711				4.19433e+08
O75752	O75752				9.90491e+06
O75781;O75781-2	O75781;O75781-2				3.83783e+06
O75787;O75787-2	O75787;O75787-2				4.67728e+07
O75874	O75874				3.46183e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.08071e+07
O75973	O75973				823110
O75976	O75976				2.53186e+06
O76061	O76061				6.60147e+06
O76070	O76070				4.20174e+06
O94760	O94760				1.10445e+07
O94766	O94766;Q9NPZ5				3.08459e+06
O94769	O94769;O94769-2				1.78393e+07
O94772;O94772-2	O94772;O94772-2				2.42677e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				1.31389e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				4.09093e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.83902e+06
O94898	O94898				1.54581e+06
O94910;O94910-2	O94910;O94910-2				1.23409e+07
O94919	O94919				3.58781e+07
O94923	O94923				522123
O94933	O94933				2.42763e+06
O94973;O94973-2	O94973;O94973-2				607313
O94985	O94985				1.97867e+06
O94985-2	O94985;O94985-2				3.42189e+08
O94991	O94991;O94991-2				1.75169e+07
O95084	O95084;O95084-2				2.39109e+06
O95157	O95157				2.30142e+06
O95158	O95158				4.37182e+07
O95164	O95164				436824
O95185;O95185-2	O95185;O95185-2				4.15455e+06
O95196;O95196-2	O95196;O95196-2				1.09387e+07
O95206;O95206-2	O95206;O95206-2				1.06374e+07
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.53703e+06
O95336	O95336				2.69333e+06
O95390	O95390				6.48718e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.21191e+07
O95445	O95445;O95445-2				1.30958e+07
O95450;O95450-2	O95450;O95450-2				3.25699e+06
O95467	O95467				3.84702e+06
O95477	O95477				8.74738e+06
O95479;O95479-2	O95479;O95479-2				283999
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.03534e+06
O95497	O95497				1.93234e+06
O95502	O95502				1.55258e+08
O95633;O95633-2	O95633;O95633-2				2.91101e+06
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-2;O95803-3				2.3882e+06
O95841	O95841;Q9UKU9;Q9UKU9-2				1.91823e+06
O95865	O95865				1.976e+06
O95881	O95881				303486
O95897	O95897				2.07519e+06
O95967	O95967				2.64503e+07
O95970	O95970;O95970-2				203523
O95980	O95980				1.20286e+07
O95998	O95998;O95998-4				1.11939e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				1.50987e+07
P00352	P00352				1.15738e+06
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.05062e+06
P00441	P00441				6.47874e+08
P00450	P00450				2.66581e+08
P00488	P00488				3.52275e+06
P00491	P00491				250831
P00492	P00492				2.33653e+06
P00505	P00505;P00505-2				2.49533e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				1.61863e+06
P00558	P00558;P07205;P00558-2				1.54696e+07
P00568	P00568				686054
P00734	P00734				9.92124e+07
P00736	P00736				1.5279e+08
P00738	P00738;P00738-2				7.91556e+08
P00739	P00739;P00739-2				3.64547e+08
P00740;P00740-2	P00740;P00740-2				6.39453e+06
P00742	P00742				2.67783e+07
P00746	P00746				6.01079e+07
P00747	P00747				1.40514e+08
P00748	P00748				3.52868e+07
P00751	P00751;P00751-2				1.97746e+08
P00813	P00813				161978
P01008	P01008				1.14294e+09
P01009	P01009;P01009-2;P01009-3				4.75771e+09
P01011	P01011				2.62672e+09
P01019	P01019				1.42031e+09
P01023	P01023				5.77394e+08
P01024	P01024				1.26494e+09
P01031	P01031				5.09919e+07
P01033	P01033				8.07345e+07
P01034	P01034				5.07832e+09
P01036;P01037	P01036;P01037				2.23313e+06
P01040	P01040				5.34573e+07
P01042	P01042;P01042-2;P01042-3				2.52971e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.10312e+08
P01127;P01127-2	P01127;P01127-2				6.31881e+07
