Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E9_82882320_repeat.mzML
P55290;P55290-4	P55290;P55290-2;P55290-3;P55290-4;P55290-5				5.88633e+07
P55291	P55291				1.06204e+07
P55774	P55774				560824
P55786;P55786-2	P55786;P55786-2				3.79733e+06
P55899	P55899				68948
P56159;P56159-2	P56159;P56159-2				5.78689e+06
P56705;P56705-2	P56705;P56705-2				1.00736e+06
P56817;P56817-2	P56817;P56817-2;P56817-3;P56817-4				2.02515e+06
P57087;P57087-2;P57087-3	P57087;P57087-2;P57087-3				3.34637e+06
P58215	P58215;P58215-2;P58215-3				988078
P58400	P58400;P58400-1				2.06236e+06
P58401	P58401				2.25285e+06
P58417	O95156;P58417				5.49158e+06
P60174;P60174-3	P60174;P60174-3;P60174-4				1.08983e+07
P60520	O95166;P60520;Q9H0R8;Q9H0R8-2				769436
P60660;P60660-2	P60660;P60660-2				1.58562e+06
P60709;P63261	P60709;P63261				7.6297e+07
P60900;P60900-2	P60900;P60900-2				40720.4
P60981;P60981-2	P60981;P60981-2				329150
P60983	P60983				1.05699e+06
P61088	P61088				767678
P61106	P61106				983536
P61204;P61204-2;P84077;P84085	P18085;P61204;P84077;P84085;P61204-2				346888
P61278	P61278				2.95315e+07
P61604	P61604				427702
P61626	P61626				6.48247e+07
P61769	P61769				1.90437e+09
P61916	P61916;P61916-2				1.30109e+08
P61970	P61970				4.59195e+06
P61981	P61981				1.98491e+06
P62258;P62258-2	P62258;P62258-2				7.39007e+06
P62328	P62328;P63313				1.51804e+07
P62873;P62873-2;P62879;P62879-2;Q9HAV0	P62873;P62879;Q9HAV0;P62873-2;P62879-2				1.34851e+06
P62937	P62937				6.0557e+07
P62942	P62942				2.07483e+06
P62993	P62993;P62993-2				987314
P63010;P63010-2;P63010-3	P63010;P63010-2;Q10567;Q10567-3;P63010-3;Q10567-2;Q10567-4				2.77397e+06
P63104	P63104;P63104-2				6.98688e+06
P63208;P63208-2	P63208;P63208-2				1.22071e+06
P63241;P63241-2	P63241;Q9GZV4;Q6IS14;P63241-2				409876
P68032	P62736;P63267;P68032;P68133				4.70703e+06
P68036	P68036;A0A1B0GUS4;P68036-2;P68036-3				2.51542e+06
P68104;Q5VTE0	P68104;Q05639;Q5VTE0				1.09022e+06
P68363;Q71U36;Q71U36-2;Q9BQE3	P0DPH7;P0DPH8;P68363;P68366;Q6PEY2;Q71U36;Q9BQE3;P0DPH7-2;P68363-2;P68366-2;Q71U36-2				806615
P68871	P02042;P68871				5.22064e+06
P69849;Q15155;Q5JPE7;Q5JPE7-2	P69849;Q15155;Q5JPE7;Q5JPE7-2;Q5JPE7-3				614428
P69905	P69905				1.95118e+06
P78310;P78310-2;P78310-5;P78310-6;P78310-7	P78310;P78310-2;P78310-4;P78310-5;P78310-6;P78310-7				1.80293e+06
P78324;P78324-2;P78324-4	P78324;Q5TFQ8;P78324-2;P78324-4				4.06868e+07
P78333	P78333				1.15816e+06
P78417	P78417;P78417-3				3.95705e+06
P78504	P78504;P78504-2				2.03914e+06
P78509;P78509-2	P78509;P78509-2;P78509-3				3.76772e+07
P78536;P78536-2	P78536;P78536-2				1.83801e+06
