Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F4_190100053.mzML
O15031	O15031				1.6854e+07
O15041;O15041-2	O15041;O15041-2				1.24799e+06
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				570714
O15197;O15197-3	O15197;O15197-3				1.25946e+07
O15204;O15204-2	O15204;O15204-2				4.44231e+06
O15230	O15230				6.4756e+06
O15232;O15232-2	O15232;O15232-2				1.93677e+06
O15240	O15240				2.14166e+08
O15335	O15335				1.197e+07
O15354	O15354				4.51193e+07
O15394	O15394;O15394-2				6.20131e+07
O15466;O15466-2	O15466;O15466-2				2.20604e+06
O15540;O15540-2	O15540;O15540-2				8.21686e+06
O43155	O43155				1.33181e+06
O43157	O43157;O43157-2;O43157-3				3.46313e+06
O43173	O43173				1.22284e+08
O43240	O43240				5.23684e+06
O43278;O43278-2	O43278;O43278-2				5.02014e+06
O43291	O43291				1.6395e+07
O43300	O43300				5.85962e+06
O43405;O43405-2	O43405;O43405-2				7.10781e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				7.84673e+07
O43505	O43505				1.22346e+09
O43508	O43508				1.64173e+06
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				2.37714e+06
O43529	O43529				1.57831e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.36081e+07
O43567	O43567				3.42367e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.83047e+06
O43707	O43707;O43707-2;O43707-3				496480
O43736;O43736-2	O43736;O43736-2				2.51062e+06
O43827	O43827				9.46662e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.45075e+06
O43854;O43854-2	O43854;O43854-2				5.09336e+06
O43866	O43866				1.54083e+07
O43897;O43897-2	O43897;O43897-2				2.49105e+06
O43909	O43909				1.43611e+06
O43916	O43916				3.06221e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.7324e+07
O60242	O60242				4.90005e+06
O60243	O60243;O60243-2				6.22054e+06
O60245;O60245-2	O60245;O60245-2				4.91761e+06
O60279	O60279				4.04788e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				933787
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.48109e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				2.21488e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.19268e+07
O60476	O60476				4.73108e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.10058e+06
O60512	O60512				2.78793e+06
O60565	O60565				452605
O60568	O60568				6.72099e+06
O60613	O60613				4.91499e+06
O60883	O60883				1.31218e+08
O60888-3	O60888;O60888-2;O60888-3				5.40521e+06
O60939	O60939				3.42126e+06
O75019;O75019-2	O75019;O75019-2				2.22273e+06
O75051;O75051-2	O75051;O75051-2				2.00827e+06
O75063	O75063				6.90419e+06
O75071	O75071				1.34481e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.94028e+06
O75078	O75078;O75078-2				1.01885e+07
O75083	O75083;O75083-3				5.07428e+06
O75084;Q14332	O75084;Q14332				556550
O75144;O75144-2	O75144;O75144-2;O75144-3				4.13572e+07
O75173;O75173-2	O75173;O75173-2				2.04671e+07
O75223	O75223;O75223-2;O75223-4				1.93452e+06
O75326	O75326;O75326-2				8.68219e+07
O75347;O75347-2	O75347;O75347-2				2.81736e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.52415e+06
O75363-2	O75363;O75363-2				537442
O75368	O75368				4.54811e+06
O75487;O75487-2	O75487;O75487-2				4.41907e+06
O75493	O75493				1.24711e+07
O75503	O75503				7.66609e+06
O75509	O75509				3.79536e+07
O75629	O75629				956642
O75636;O75636-2	O75636;O75636-2				4.6454e+06
O75711	O75711				4.80408e+08
O75752	O75752				7.7905e+06
O75787;O75787-2	O75787;O75787-2				7.87218e+07
O75874	O75874				2.38935e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				3.11228e+07
O75973	O75973				2.51539e+06
O75976	O75976				1.22083e+07
O76061	O76061				9.8057e+06
O76070	O76070;Q16143				6.66595e+06
O94760	O94760;O94760-2				1.10203e+07
O94766	O94766;Q9NPZ5				1.01773e+07
O94769	O94769;O94769-2				3.68719e+07
O94772;O94772-2	O94772;O94772-2				1.43248e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				1.40455e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.31728e+07
O94898	O94898				2.40143e+06
O94910	O94910;O94910-2				2.39319e+07
O94919	O94919				8.434e+07
O94923	O94923				365749
O94933	O94933				3.95305e+06
O94973;O94973-2	O94973;O94973-2				1.04185e+06
O94985-2	O94985;O94985-2				5.65618e+08
O94991	O94991;O94991-2				1.0615e+07
O95157	O95157				1.81712e+06
O95158	O95158				2.9574e+07
O95159	O95159				2.06831e+06
O95164	O95164				568397
O95185;O95185-2	O95185;O95185-2				7.31798e+06
O95196;O95196-2	O95196;O95196-2				6.71278e+06
O95206;O95206-2	O95206;O95206-2				6.14129e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				1.71363e+06
O95336	O95336				4.3771e+06
O95390	O95390				7.08305e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				1.43492e+07
O95445	O95445;O95445-2				3.07895e+07
O95445-2	O95445-2				879361
O95450;O95450-2	O95450;O95450-2				3.92253e+06
O95461;O95461-2	O95461;O95461-2				724945
O95467	O95467				3.35586e+06
O95477	O95477				7.78842e+06
O95479;O95479-2	O95479;O95479-2				345559
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.16697e+06
O95502	O95502				2.20123e+08
O95633;O95633-2	O95633;O95633-2				4.55767e+06
O95841	O95841				3.10713e+06
O95865	O95865				4.15354e+06
O95881	O95881				429740
O95897	O95897				2.89891e+06
O95967	O95967				2.56893e+07
O95970	O95970;O95970-2				620716
O95980	O95980				1.03033e+07
O95998	O95998;O95998-4				7.73052e+06
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				290892
P00338;P00338-3	P00338;P00338-3;P00338-4				2.23171e+07
P00352	O94788;P00352;P05091;P30837;P47895;O94788-2;O94788-3;O94788-4;P05091-2				2.06894e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.27246e+06
P00441	P00441				1.09281e+09
P00450	P00450				3.01617e+08
P00488	P00488				2.87247e+06
P00492	P00492				5.29517e+06
P00505	P00505;P00505-2				1.42658e+07
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				3.18436e+06
P00558	P00558;P00558-2				1.41233e+07
P00568	P00568				1.56824e+06
P00734	P00734				1.07886e+08
P00736	P00736				2.16352e+08
P00738	P00738;P00738-2				3.06592e+08
P00739	P00739;P00739-2				2.70167e+06
P00740;P00740-2	P00740;P00740-2				5.30809e+06
P00742	P00742				3.1538e+07
P00746	P00746				6.70617e+07
P00747	P00747				1.42569e+08
P00748	P00748				1.13016e+08
P00751	P00751;P00751-2				1.60456e+08
P00918	P00918				1.34969e+06
P01008	P01008				1.08e+09
P01009	P01009;P01009-2;P01009-3				5.04014e+09
P01011	P01011				5.06579e+09
P01019	P01019				5.67345e+08
P01023	P01023				7.89864e+08
P01024	P01024				2.04431e+09
P01031	P01031				5.50372e+07
P01033	P01033				2.26695e+08
P01034	P01034				2.06604e+10
P01042	P01042;P01042-2;P01042-3				3.22656e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.26422e+08
P01127;P01127-2	P01127;P01127-2				5.12744e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				834333
P01178	P01178				3.91311e+06
P01210	P01210				1.68456e+08
P01213	P01213				7.96265e+06
P01236	P01236				301603
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.53709e+06
P01282;P01282-2	P01282;P01282-2				1.65136e+06
P01303	P01303				9.14407e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.10045e+08
P01591	P01591				1.89459e+07
P01593;P01594	P01593;P01594				3.2543e+07
P01599	P01599;A0A0C4DH72				3.3904e+06
P01601	P01601				1.78268e+06
P01619	P01619				8.18695e+08
P01700	P01700				6.36066e+07
P01701	P01701				4.25519e+07
P01703	P01703				4.84731e+06
P01705	P01704;P01705				1.64558e+07
P01706	P01706				2.44501e+06
P01709	P01706;P01709;P0DOX8				8.89644e+07
P01714	P01714				6.40688e+06
P01715	P01715;A0A075B6K4				1.33534e+07
P01717	P01717				1.28723e+08
P01721	P01721				1.62169e+06
P01743	P01743				304582
P01772	P01768;P01772;P0DP02;P0DP03				5.04254e+07
P01780	P01780				6.97904e+07
P01814	P01814				5.5578e+06
P01817	P01817				2.64554e+07
P01833	P01833				4.33453e+06
P01834	P01834				3.84491e+07
P01857;P01857-1;P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				7.12604e+09
P01859;P01859-1	P01859;P01859-1				2.17887e+09
P01860;P01860-1	P01860;P01860-1				9.3431e+07
P01861;P01861-1	P01861;P01861-1				1.80986e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				1.2992e+08
P01876;P01876-1	P01876;P01876-1				6.82168e+08
P01889	P01889;P04439;P04439-2				7.37217e+06
P01903	P01903;P01906				3.863e+06
P01911;P04440	P01911;P04440				3.83986e+06
P02144	P02144				2.05117e+06
P02452	P02452				8.32525e+07
P02461	P02461;P02461-2				2.94965e+07
P02462	P02462				545350
P02511	P02511				2.8529e+06
P02647	P02647				7.65903e+09
P02649	P02649				1.01376e+10
P02652	P02652				1.277e+09
P02654	P02654				7.23949e+07
P02655	P02655				1.32607e+07
P02656	P02656				4.88978e+07
P02671;P02671-2	P02671;P02671-2				4.07842e+08
P02675	P02675				4.37574e+08
P02679;P02679-2	P02679;P02679-2				2.14613e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				824433
P02741	P02741				2.28545e+06
P02743	P02743				1.77774e+07
P02745	P02745				2.46967e+08
P02746	P02746				4.46074e+08
P02747	P02747				3.61727e+08
P02748	P02748				1.23258e+08
P02749	P02749				2.23901e+08
P02750	P02750				2.75624e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				6.6225e+08
P02753	P02753				8.89146e+07
P02760	P02760				9.86719e+07
P02763	P02763				2.44929e+09
P02765	P02765				9.74452e+08
P02766	P02766				4.21617e+09
P02768	P02768				2.5696e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				1.54824e+09
P02786	P02786				1.08622e+07
P02787	P02787				1.17935e+10
P02788;P02788-2	P02788;P02788-2				7.81661e+06
P02790	P02790				1.95702e+09
P02792	P02792				6.26114e+06
P02794	P02794				1.30804e+07
P02810	P02810				1.42133e+06
P03950	P03950				7.56872e+06
P03951;P03951-2	P03951;P03951-2				6.62801e+06
P03952	P03952				2.41165e+07
P04003	P04003				7.13871e+06
P04004	P04004				7.15121e+08
P04040	P04040				863025
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				4.85374e+06
P04066	P04066				7.2713e+06
P04070;P04070-2	P04070;P04070-2				8.65101e+06
P04075	P04075;P04075-2				1.60269e+08
P04080	P04080				9.42899e+06
P04083	P04083				59161.9
P04085;P04085-2	P04085;P04085-2				2.00875e+07
P04114	P04114				9.79215e+06
P04156	P04156				5.8901e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				1.6178e+07
P04180	P04180				6.62486e+07
P04196	P04196				1.81115e+08
P04216	P04216				1.25755e+09
P04217	P04217;P04217-2				8.01709e+08
P04217-2	P04217-2				504111
P04264	P04264				4.85282e+06
P04271	P04271				5.0045e+06
P04275	P04275				1.29329e+07
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				7.60241e+06
P04406	P04406;P04406-2				1.12614e+08
P04439;P04439-2	P04439;P04439-2				3.65869e+06
P04629;P04629-2;P04629-3;P04629-4	P04629;P04629-2;P04629-3;P04629-4				615878
P04746-2	P04746;P04746-2				467900
P04792	P04792				2.80354e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				1.46277e+06
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				4.45847e+06
P05026;P05026-2	P05026;P05026-2				1.95642e+06
P05060	P05060				1.03822e+09
