Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E1_82883860.mzML
O43155	O43155				596881
O43157	O43157;O43157-2;O43157-3				5.07932e+06
O43173	O43173				3.21276e+06
O43240	O43240				2.90261e+06
O43278;O43278-2	O43278;O43278-2				3.41579e+06
O43291	O43291				7.85649e+06
O43300	O43300				2.3246e+06
O43405;O43405-2	O43405;O43405-2				1.80901e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				4.18015e+07
O43505	O43505				3.9793e+08
O43508-2	O43508;O43508-2				3.07539e+06
O43529	O43529				4.59075e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.01017e+07
O43567	O43567				4.34064e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				1.06825e+06
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				676562
O43827	O43827				5.78967e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9				799181
O43854;O43854-2	O43854;O43854-2				194545
O43866	O43866				8.91667e+06
O43897;O43897-2	O43897;O43897-2				1.65195e+06
O43909	O43909				947631
O43916	O43916				2.0611e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.04945e+07
O60242	O60242				3.82508e+06
O60243	O60243;O60243-2				3.14401e+06
O60245;O60245-2	O60245;O60245-2				2.19391e+06
O60279	O60279				8.88456e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				180855
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.02295e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				972009
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.334e+06
O60476	O60476				2.47952e+06
O60477	O60477;O60477-2				575077
O60512	O60512				2.73354e+06
O60565	O60565				406163
O60568	O60568				2.13325e+06
O60613	O60613				1.82961e+06
O60741	O60741				221269
O60883	O60883				8.17445e+07
O60888-3	O60888;O60888-2;O60888-3				8.18241e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				444577
O60939	O60939				3.21719e+06
O75019;O75019-2	O75019;O75019-2				2.08287e+06
O75051;O75051-2	O75051;O75051-2				893016
O75063	O75063				3.81079e+06
O75071	O75071				6.20003e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.59248e+06
O75078	O75078;O75078-2				7.15756e+06
O75083	O75083;O75083-3				2.1538e+06
O75084;Q14332	O75084;Q14332				630201
O75093	O75093;O94813;O75093-2;O94813-2;O94813-3				3.29137e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				1.2903e+07
O75173;O75173-2	O75173;O75173-2				1.3048e+07
O75223	O75223				1.03038e+06
O75326	O75326;O75326-2				6.53182e+07
O75339	O75339				1.30559e+06
O75347;O75347-2	O75347;O75347-2				1.9404e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.71902e+06
O75368	O75368				2.21049e+06
O75467;Q6AW86	O75467;Q6AW86				1.11985e+07
O75487;O75487-2	O75487;O75487-2				1.45751e+06
O75493	O75493				5.67496e+06
O75503	O75503				3.25575e+06
O75509	O75509				2.37928e+07
O75629	O75629				580593
O75711	O75711				1.90548e+08
O75752	O75752				1.13845e+07
O75781;O75781-2	O75781;O75781-2				2.3897e+06
O75787;O75787-2	O75787;O75787-2				1.733e+07
O75828	O75828				2.15554e+06
O75874	O75874				702898
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.40535e+07
O75973	O75973				254582
O75976	O75976				2.71925e+06
O76061	O76061				6.46032e+06
O76070	O76070				1.23512e+06
O94760	O94760;O94760-2				1.02023e+07
O94766	O94766;Q9NPZ5				1.28312e+06
O94769	O94769;O94769-2				1.26784e+07
O94772;O94772-2	O94772;O94772-2				3.95677e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				537705
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.89187e+07
O94898	O94898				984345
