Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E4_190225869_repeat2.mzML
O43567	O43567				4.48113e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				869182
O43827	O43827				2.95288e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				739201
O43866	O43866				96588.3
O43897;O43897-2	O43897;O43897-2				1.03116e+06
O43909	O43909				355376
O43916	O43916				503670
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.40603e+06
O60242	O60242				2.7638e+06
O60243	O60243				2.12986e+06
O60245;O60245-2	O60245;O60245-2				2.08834e+06
O60279	O60279				1.02402e+07
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.09389e+06
O60476	O60476				2.58162e+06
O60568	O60568				1.44483e+06
O60613	O60613				789333
O60883	O60883				5.38108e+07
O60888-3	O60888;O60888-2;O60888-3				1.71625e+07
O60939	O60939				1.33605e+06
O75051;O75051-2	O75051;O75051-2				580447
O75063	O75063				1.43048e+06
O75071	O75071				2.98299e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				1.77783e+06
O75078	O75078;O75078-2				2.20115e+06
O75083	O75083;O75083-3				1.25685e+06
O75144;O75144-2	O75144;O75144-2;O75144-3				8.88324e+06
O75173;O75173-2	O75173;O75173-2				9.82255e+06
O75223	O75223				153782
O75326	O75326;O75326-2				5.89465e+07
O75340;O75340-2	O75340;O75340-2				160139
O75347	O75347;O75347-2				630248
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.0971e+06
O75368	O75368				2.60631e+06
O75487	O75487;O75487-2				1.01654e+06
O75493	O75493				5.6438e+06
O75503	O75503				3.55389e+06
O75509	O75509				1.72476e+07
O75636;O75636-2	O75636;O75636-2				589228
O75711	O75711				1.30068e+07
O75752	O75752				1.64343e+06
O75787;O75787-2	O75787;O75787-2				1.30965e+07
O75874	O75874				222845
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.18917e+07
O75973	O75973				741495
O75976	O75976				1.39895e+06
O76061	O76061				3.88187e+06
O76070	O76070				1.47316e+06
O94760	O94760;O94760-2				5.82863e+06
O94766;O94766-2	O94766;O94766-2				2.16441e+06
O94769	O94769;O94769-2				6.6035e+06
O94772;O94772-2	O94772;O94772-2				2.3116e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				194218
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.36236e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.86353e+06
O94910;O94910-2	O94910;O94910-2				7.27696e+06
O94919	O94919				2.03974e+07
O94985	O94985				2.29189e+06
O94985-2	O94985;O94985-2				2.37678e+08
O94991	O94991				4.7109e+06
O95084;O95084-2	O95084;O95084-2				1.56374e+06
O95156	O95156;P58417				1.91055e+06
O95157	O95157				3.83016e+06
O95158	O95158				7.52537e+06
O95159	O95159				804476
O95164	O95164				163405
O95185;O95185-2	O95185;O95185-2				2.2795e+06
O95196;O95196-2	O95196;O95196-2				9.53088e+06
O95206;O95206-2	O95206;O95206-2				3.08386e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				732843
O95390	O95390				1.5381e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				4.19818e+06
O95445	O95445;O95445-2				4.60805e+06
O95450;O95450-2	O95450;O95450-2				1.06948e+06
O95467	O95467				1.13969e+06
O95477	O95477				2.3192e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				95189.1
O95497	O95497				165355
O95502	O95502				5.0629e+07
O95865	O95865				1.13399e+06
O95897	O95897				532890
O95967	O95967				4.77541e+06
O95970;O95970-3	O95970;O95970-3				647463
P00338;P00338-3	P00338;P00338-3;P00338-4				6.42394e+06
P00352	P00352				237959
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.05318e+06
P00441	P00441				2.08003e+08
P00450	P00450				1.43085e+08
P00488	P00488				776272
P00492	P00492				1.87021e+06
P00505	P00505;P00505-2				6.00819e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.07785e+06
P00558;P00558-2	P00558;P00558-2				4.23835e+06
P00734	P00734				1.81839e+07
P00736	P00736				9.59048e+07
P00738	P00738;P00738-2				2.35031e+08
P00739;P00739-2	P00739;P00739-2				2.47042e+06
P00740;P00740-2	P00740;P00740-2				1.7122e+06
P00742	P00742				6.22828e+06
P00746	P00746				1.5322e+07
P00747	P00747				3.72267e+07
P00748	P00748				2.44912e+07
P00751	P00751;P00751-2				6.11595e+07
P00918	P00918				138384
P01008	P01008				3.36809e+08
P01009	P01009;P01009-2;P01009-3				3.5959e+09
P01011	P01011				5.18949e+08
P01019	P01019				7.50392e+08
P01023	P01023;P20742;P20742-2				2.90085e+08
P01024	P01024				4.16551e+08
P01031	P01031				1.09629e+07
P01033	P01033				7.25193e+07
P01034	P01034				4.25929e+09
P01042	P01042;P01042-2;P01042-3				9.76755e+07
P01042-2;P01042-3	P01042-2;P01042-3				1.10076e+08
P01127;P01127-2	P01127;P01127-2				1.62443e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				610715
P01210	P01210				7.23318e+07
P01213	P01213				3.24963e+06
P01258;P01258-2;P06881	P01258;P06881;P01258-2				1.89724e+06
P01303	P01303				4.57967e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				741403
P01591	P01591				1.74744e+07
P01593;P01594	P01593;P01594				1.28966e+07
P01599	P01599;A0A0C4DH72				5.29417e+06
P01619	P01619				2.59296e+08
P01700	P01700				7.49221e+07
P01701	P01701;P01714				6.89922e+07
P01705	P01705				1.07622e+06
P01706	P01706				2.13491e+06
P01709	P01709				2.81495e+06
P01714	P01714				9.24041e+06
P01718	P01717;P01718				2.72243e+07
P01721	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				3.66223e+07
P01742	P01742				4.25578e+07
P01768;P0DP02;P0DP03	P01768;P01772;P0DP02;P0DP03				5.5617e+07
P01780	P01780				9.76627e+07
P01817	P01817				9.63425e+06
P01833	P01833				591639
P01834	P01834				3.89089e+08
P01857-1;P0DOX5	P01857;P01859;P0DOX5;P01857-1;P01859-1				7.05262e+09
P01859	P01859;P01859-1				2.1928e+09
P01860	P01860;P01860-1				9.95508e+06
P01861;P01861-1	P01861;P01861-1				3.59545e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				7.0081e+07
P01876;P01876-1	P01876;P01876-1				2.88277e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				3.07398e+06
P01911;P04440	P01911;P04440				1.99158e+06
P02144	P02144				725348
P02452	P02452				1.63332e+07
P02461	P02461;P02461-2				1.23683e+06
P02647	P02647				2.30972e+09
P02649	P02649				3.47318e+09
P02652	P02652				3.65883e+08
P02654	P02654				4.3242e+07
P02655	P02655				5.41497e+06
P02656	P02656				1.02771e+07
P02671	P02671;P02671-2				5.05035e+07
P02675	P02675				2.49973e+07
P02679;P02679-2	P02679;P02679-2				5.2173e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				148579
P02743	P02743				3.5861e+06
P02745	P02745				4.25648e+07
P02746	P02746				9.93745e+07
P02747	P02747				1.73398e+08
P02748	P02748				2.45123e+07
P02749	P02749				1.97867e+07
P02750	P02750				7.70915e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.54266e+08
P02753	P02753				3.92652e+07
P02760	P02760				3.01188e+07
P02763	P02763				1.49519e+09
P02765	P02765				2.81351e+08
P02766	P02766				4.13112e+09
P02768	P02768				1.96112e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				4.12925e+08
P02786	P02786				824577
P02787	P02787				4.41818e+09
P02790	P02790				1.55509e+09
P02792	P02792				2.76887e+06
P02794	P02794				1.99634e+06
P03950	P03950				2.63426e+06
P03951;P03951-2	P03951;P03951-2				1.21004e+06
P03952	P03952				5.40048e+06
P04003	P04003				1.53626e+06
P04004	P04004				1.62245e+08
P04040	P04040				62615.8
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				4.24296e+06
P04066	P04066				2.40103e+06
P04070;P04070-2	P04070;P04070-2				3.11719e+06
P04075	P04075;P04075-2				3.55094e+07
P04080	P04080				7.50723e+06
P04083	P04083				9041.71
P04085;P04085-2	P04085;P04085-2				4.02066e+06
P04114	P04114				4.63715e+06
P04156	P04156				1.92245e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				5.15268e+06
P04180	P04180				3.35607e+07
P04196	P04196				3.84335e+07
P04211	P04211;A0A075B6I9				1.7871e+07
P04216	P04216				2.20207e+08
P04217	P04217;P04217-2				2.04892e+08
P04264	P04259;P04264				1.08495e+07
P04271	P04271				775711
P04275	P04275				3.74007e+06
P04278	P04278;P04278-5				1.91672e+06
P04350;P07437;P68371	P04350;P07437;P68371				361039
P04406	P04406;P04406-2				5.50543e+07
P04439;P04439-2	P04439;P04439-2				6.4882e+06
P04746;P0DTE7;P0DTE8;P0DUB6;P19961	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				513813
P04792	P04792				351401
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				261237
P05026;P05026-2	P05026;P05026-2				1.31662e+06
P05060	P05060				3.09986e+08
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				5.5845e+08
P05090	P05090				2.81349e+09
P05107	P05107				3.38052e+06
P05121	P05121				571541
P05154	P05154				9.93267e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				3.48028e+08
P05156	P05156				9.55756e+06
P05160	P05160				657230
P05362	P05362				1.26422e+06
P05408;P05408-2	P05408;P05408-2				1.82715e+08
P05413	P05413				4.85848e+06
P05452	P05452				2.7853e+07
P05543	P05543				8.64502e+06
P05546	P05546				6.46716e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				876118
P05937	P05937;P05937-2				8.23493e+06
P05997	P05997				614839
P06276	P06276				5.89926e+06
P06307	P06307				6.51751e+06
P06310	P06310				1.1122e+08
P06312	P06312				1.78462e+08
