Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B3_79113129.mzML
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.13554e+07
O43505	O43505				9.24241e+08
O43508	O43508;O43508-2				2.3893e+06
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				1.8766e+06
O43529	O43529				1.17165e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.149e+07
O43567	O43567				3.17597e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				1.96049e+06
O43736;O43736-2	O43736;O43736-2				270473
O43827	O43827				1.04814e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				3.01182e+06
O43854;O43854-2	O43854;O43854-2				878886
O43866	O43866				1.06496e+07
O43897;O43897-2	O43897;O43897-2				3.95077e+06
O43909	O43909				1.04937e+06
O43916	O43916				3.7169e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.68979e+07
O60242	O60242				5.30989e+06
O60243	O60243				6.02903e+06
O60245;O60245-2	O60245;O60245-2				6.42235e+06
O60279	O60279				5.38829e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.7253e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				9.69721e+06
O60476	O60476				5.61902e+06
O60477;O60477-3	O60477;Q76B58;O60477-3;Q76B58-2				644493
O60512	O60512				4.23388e+06
O60565	O60565				352438
O60568	O60568				5.1311e+06
O60613	O60613				5.23067e+06
O60883	O60883				2.12703e+08
O60888-3	O60888;O60888-2;O60888-3				8.37853e+07
O60939	O60939				1.03631e+07
O75051;O75051-2	O75051;O75051-2				1.51323e+06
O75063	O75063				5.15281e+06
O75071	O75071				1.24205e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				1.27456e+07
O75078	O75078;O75078-2				1.25959e+07
O75083	O75083;O75083-3				3.0779e+06
O75144;O75144-2	O75144;O75144-2;O75144-3				3.03195e+07
O75173;O75173-2	O75173;O75173-2				1.23193e+07
O75223	O75223;O75223-3				472383
O75326	O75326;O75326-2				1.01749e+08
O75339	O75339				1.01894e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				3.19848e+06
O75363;O75363-2	O75363;O75363-2				343929
O75368	O75368				4.917e+06
O75487;O75487-2	O75487;O75487-2				2.63273e+06
O75493	O75493				1.26231e+07
O75503	O75503				1.0949e+07
O75509	O75509				4.05593e+07
O75629	O75629				1.63645e+06
O75636;O75636-2	O75636;O75636-2				1.30069e+06
O75711	O75711				4.35377e+08
O75752	O75752				1.45343e+07
O75781;O75781-2	O75781;O75781-2				6.29998e+06
O75787;O75787-2	O75787;O75787-2				6.25054e+07
O75874	O75874				2.00145e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.47285e+07
O75973	O75973				1.95185e+06
O75976	O75976				2.73002e+06
O76061	O76061				8.11719e+06
O76070	O76070				4.07973e+06
O94760	O94760;O94760-2				2.39436e+07
O94766	O94766;Q9NPZ5				4.01067e+06
O94769	O94769;O94769-2				2.53235e+07
O94772;O94772-2	O94772;O94772-2				2.28605e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				1.57575e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				8.26714e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				5.36872e+06
O94898	O94898				1.92624e+06
O94910;O94910-2	O94910;O94910-2				9.09887e+07
O94919	O94919				6.34197e+07
O94933	O94933				3.22842e+06
O94973;O94973-2	O94973;O94973-2				1.0106e+06
O94985	O94985				3.87124e+06
O94985-2	O94985;O94985-2				4.91812e+08
O94991	O94991;O94991-2				1.19924e+07
O95084;O95084-2	O95084;O95084-2				3.22393e+06
O95157	O95157				3.40349e+06
O95158	O95158				4.48218e+07
O95159	O95159				1.17256e+06
O95164	O95164				703002
O95185;O95185-2	O95185;O95185-2				6.42229e+06
O95196;O95196-2	O95196;O95196-2				1.26402e+07
O95206;O95206-2	O95206;O95206-2				1.50395e+07
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.48152e+06
O95336	O95336				589366
O95390	O95390				5.22805e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				7.36096e+06
O95445	O95445;O95445-2				5.40546e+07
O95450;O95450-2	O95450;O95450-2				3.42257e+06
O95467	O95467				5.25066e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.25844e+06
O95497	O95497				1.71609e+06
O95502	O95502				2.40105e+08
O95633;O95633-2	O95633;O95633-2				3.7428e+06
O95841	O95841				3.08331e+06
O95865	O95865				2.69773e+06
O95881	O95881				444889
O95897	O95897				2.33142e+06
O95967	O95967				2.30865e+07
O95970;O95970-3	O95970;O95970-3				736216
O95980	O95980				1.03164e+07
O95998	O95998;O95998-4				5.41506e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				2.15686e+07
P00352	P00352				2.18573e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				6.26869e+06
P00441	P00441				8.2535e+08
P00450	P00450				3.31314e+08
P00488	P00488				2.887e+06
P00492	P00492				6.36584e+06
P00505	P00505;P00505-2				6.77158e+07
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				3.26756e+06
P00558	P00558;P00558-2				1.55354e+07
P00734	P00734				1.02652e+08
P00736	P00736				1.24659e+08
P00738	P00738;P00738-2				1.02214e+09
P00739	P00739;P00739-2				8.4497e+08
P00740;P00740-2	P00740;P00740-2				8.18134e+06
P00742	P00742				2.24014e+07
P00746	P00746				3.78911e+07
P00747	P00747				1.97253e+08
P00748	P00748				1.05123e+08
P00751	P00751;P00751-2				1.20187e+08
P01008	P01008				7.12966e+08
P01009	P01009;P01009-2;P01009-3				5.95021e+09
P01011	P01011				3.16178e+09
P01019	P01019				1.63239e+09
P01023	P01023				6.85116e+08
P01024	P01024				1.36159e+09
P01031	P01031				4.41837e+07
P01033	P01033				1.51799e+08
P01034	P01034				2.52085e+10
P01042	P01042;P01042-2;P01042-3				4.43732e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.54172e+08
P01127;P01127-2	P01127;P01127-2				5.30269e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				1.46837e+06
P01210	P01210				1.10034e+08
P01213	P01213				1.05491e+07
P01236	P01236				1.81322e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				607950
P01282;P01282-2	P01282;P01282-2				3.10457e+06
P01303	P01303				1.60712e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				2.36991e+07
P01591	P01591				1.96174e+07
P01593;P01594	P01593;P01594				6.62492e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.77348e+07
P01599	P01599;A0A0C4DH72				8.86101e+06
P01602	P01602				780626
P01619	P01619				1.24767e+09
P01700	P01700				6.92421e+07
P01701	P01701				2.46912e+07
P01709	P01709				5.52048e+06
P01714	P01714				1.17789e+07
P01715	P01715				2.10421e+06
P01717	P01717				1.39866e+08
P01721	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				4.77821e+07
P01742	P01742				2.32657e+06
P01772	P01768;P01772;P0DP02;P0DP03				5.94987e+07
P01780	P01780				4.75772e+07
P01814	P01814				1.42249e+07
P01817	P01817				6.30074e+06
P01833	P01833				7.58312e+06
P01834	P01834				1.00463e+09
P01859;P01859-1	P01859;P01859-1				1.52304e+09
P01860;P01860-1	P01860;P01860-1				6.51284e+07
P01861;P01861-1	P01861;P01861-1				8.80682e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				5.76327e+07
P01876;P01876-1	P01876;P01876-1				4.80917e+08
P01889	P01889;P04439;P04439-2				8.16808e+06
P01903;P01906	P01903;P01906				377091
P01911;P04440	P01911;P04440				2.25433e+06
P02144	P02144				2.37829e+06
P02452	P02452				5.50288e+07
P02461	P02461;P02461-2				1.56522e+07
P02533;Q04695	P02533;P08727;P08779;P19012;Q04695;P19012-2				1.85871e+07
P02647	P02647				8.07526e+09
P02649	P02649				7.05505e+09
P02652	P02652				1.0181e+09
P02654	P02654				1.16084e+08
P02655	P02655				1.87209e+07
P02656	P02656				1.03834e+08
P02671	P02671;P02671-2				3.6105e+08
P02675	P02675				2.39034e+08
P02679;P02679-2	P02679;P02679-2				1.83465e+08
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				1.79343e+06
P02741	P02741				1.35132e+06
P02743	P02743				1.23808e+07
P02745	P02745				1.4439e+08
P02746	P02746				3.32218e+08
P02747	P02747				1.06456e+08
P02748	P02748				5.84179e+07
P02749	P02749				9.04556e+07
P02750	P02750				1.90437e+08
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				5.7112e+08
P02753	P02753				1.67699e+08
P02760	P02760				6.40871e+07
P02763	P02763				2.76182e+09
P02765	P02765				1.31653e+09
P02766	P02766				5.05593e+09
P02768	P02768				2.47116e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				9.52687e+08
P02786	P02786				3.37404e+06
P02787	P02787				5.78746e+09
P02788;P02788-2	P02788;P02788-2				1.65077e+07
P02790	P02790				2.00527e+09
P02792	P02792				8.68247e+06
P02794	P02794				1.5007e+07
P03950	P03950				6.93391e+06
P03951	P03951;P03951-2				1.61441e+07
P03952	P03952				2.22171e+07
P04003	P04003				5.87576e+06
P04004	P04004				4.92158e+08
P04040	P04040				621598
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				4.89785e+06
P04066	P04066				3.92667e+07
P04070;P04070-2	P04070;P04070-2				1.66075e+07
P04075	P04075;P04075-2				9.4243e+07
P04080	P04080				7.54411e+06
P04083	P04083				63323.3
P04085;P04085-2	P04085;P04085-2				1.25996e+07
P04114	P04114				1.08454e+07
P04156	P04156				4.48621e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				2.46639e+07
