Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D12_168744796_repeat2.mzML
O43529	O43529				7.39667e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				7.57948e+06
O43567	O43567;O43567-2				2.16898e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				442842
O43827	O43827				4.94564e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				524131
O43854;O43854-2	O43854;O43854-2				132425
O43866	O43866				4.86429e+06
O43897;O43897-2	O43897;O43897-2				1.56454e+06
O43916	O43916				1.07613e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				6.72303e+06
O60242	O60242				2.23506e+06
O60243	O60243				1.58148e+06
O60245;O60245-2	O60245;O60245-2				1.86449e+06
O60279	O60279				9.76071e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				40013.9
O60294	O60294				1.58243e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				512712
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				6.35853e+06
O60476	O60476				7.28208e+06
O60477	O60477;O60477-3				754309
O60565	O60565				316536
O60568	O60568				3.5494e+06
O60613	O60613				1.20964e+06
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				3.48772e+06
O60883	O60883				3.71443e+07
O60888-3	O60888;O60888-2;O60888-3				4.8201e+07
O60939	O60939				3.41269e+06
O75063	O75063				3.1063e+06
O75071	O75071				3.69186e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.05518e+06
O75078	O75078;O75078-2				4.37523e+06
O75083	O75083;O75083-3				2.511e+06
O75084;Q14332	O75084;Q14332				302324
O75144;O75144-2	O75144;O75144-2;O75144-3				1.40725e+07
O75173;O75173-2	O75173;O75173-2				1.03587e+07
O75223	O75223				744834
O75326	O75326;O75326-2				2.93329e+07
O75339	O75339				944618
O75340;O75340-2	O75340;O75340-2				1.08766e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.48057e+06
