Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H1_82881356.mzML
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.11738e+06
O43854;O43854-2	O43854;O43854-2				343877
O43866	O43866				7.58333e+06
O43916	O43916				377779
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.1283e+07
O60242	O60242				606481
O60243	O60243				1.70816e+06
O60245;O60245-2	O60245;O60245-2				2.46848e+06
O60279	O60279				1.69426e+07
O60294	O60294				4.29174e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				7.36963e+06
O60476	O60476				1.78128e+06
O60477;O60477-3	O60477;Q76B58;O60477-3;Q76B58-2				188672
O60565	O60565				308058
O60568	O60568				2.49865e+06
O60613	O60613				2.14032e+06
O60883	O60883				6.54271e+07
O60888-3	O60888;O60888-2;O60888-3				2.98549e+07
O60939	O60939				4.76444e+06
O75063	O75063				1.84395e+06
O75071	O75071				5.64833e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.77723e+06
O75078	O75078;O75078-2				6.46792e+06
O75083	O75083;O75083-3				1.50808e+06
O75084;Q14332	O75084;Q14332				366255
O75144;O75144-2	O75144;O75144-2;O75144-3				1.94422e+07
O75173;O75173-2	O75173;O75173-2				7.07121e+06
O75223	O75223				594965
O75326	O75326;O75326-2				1.52157e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				634478
O75363;O75363-2	O75363;O75363-2				95052.8
O75368	O75368				1.43469e+06
O75493	O75493				1.0135e+07
O75503	O75503				4.06667e+06
O75509	O75509				1.74139e+07
O75594	O75594				478354
O75636;O75636-2	O75636;O75636-2				3.09935e+06
O75711	O75711				1.75475e+08
O75752	O75752				6.89337e+06
O75787;O75787-2	O75787;O75787-2				2.41767e+07
O75828	O75828				3.46029e+06
O75874	O75874				731408
