Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F8_190224717_repeat.mzML
Q86VZ4	Q86VZ4				6.12718e+06
Q86X29;Q86X29-4;Q86X29-5;Q86X29-6	Q86X29;Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6				6.5846e+06
Q86XR7-2;Q9Y3B3;Q9Y3B3-2	Q9Y3B3;Q86XR7-2;Q9Y3B3-2				1.57227e+06
Q86Y38	Q86Y38				1.39689e+07
Q86Y82	Q86Y82				2.4746e+06
Q86YD3;Q86YD3-2;Q86YD3-4;Q86YD3-5	Q86YD3;Q86YD3-2;Q86YD3-3;Q86YD3-4;Q86YD3-5				1.24937e+07
Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4	Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4				1.17024e+06
Q8IUC8	Q10472;Q8IUC8;Q8IUC8-3;Q8IUC8-2				9.76414e+06
Q8IUK5;Q8IUK5-2;Q8IUK5-3	Q8IUK5;Q8IUK5-2;Q8IUK5-3;Q8IUK5-4				1.24849e+07
Q8IUK8	Q8IUK8				1.88926e+07
Q8IUX7	Q8IUX7;Q8IUX7-2				1.27532e+07
Q8IV08	Q8IV08				2.43684e+07
Q8IW52	Q8IW52				1.0472e+07
Q8IWT1	Q8IWT1;Q8IWT1-2				3.20761e+06
Q8IWU5;Q8IWU5-2	Q8IWU5;Q8IWU5-2				5.5907e+07
Q8IWV2	Q8IWV2				5.85032e+06
Q8IWY4	Q8IWY4				3.59585e+06
Q8IWZ6;Q8IWZ6-2	Q8IWZ6;Q8IWZ6-2				1.10207e+06
Q8IXL6	Q8IXL6;Q8IXL6-2				5.78512e+06
Q8IYJ0;Q8IYJ0-2	Q8IYJ0;Q8IYJ0-2				4.22546e+07
Q8IYS5-2;Q8IYS5-3;Q8IYS5-6	Q8IYS5;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5-6;Q8IYS5-7				2.09214e+07
Q8IZA0;Q8IZA0-2	Q8IZA0;Q8IZA0-2				1.05432e+07
