Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E6_129188085.mzML
O43909	O43909				309379
O43916	O43916				948484
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				6.98712e+06
O60242	O60242				1.7982e+06
O60243	O60243				1.14585e+06
O60245;O60245-2	O60245;O60245-2				2.0021e+06
O60279	O60279				3.24135e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				414278
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				3.3821e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				8.65719e+06
O60476	O60476				3.33494e+06
O60512	O60512				3.04955e+06
O60568	O60568				2.08162e+06
O60613	O60613				1.29247e+06
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				6.85724e+06
O60883	O60883				1.92422e+08
O60888-3	O60888;O60888-2;O60888-3				4.75018e+07
O60939	O60939				2.81977e+06
O75063	O75063				3.83556e+06
O75071	O75071				6.68343e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.39118e+06
O75078	O75078;O75078-2				5.52043e+06
O75083	O75083;O75083-3				3.89973e+06
O75084;Q14332	O75084;Q14332				419045
O75093;O75093-2	O75093;O94813;O75093-2;O94813-2;O94813-3				2.77678e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				1.27412e+07
O75173;O75173-2	O75173;O75173-2				8.4037e+06
O75223	O75223				865606
O75326	O75326;O75326-2				2.73268e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.48912e+06
O75368	O75368				1.06396e+06
O75467;Q6AW86	O75467;Q6AW86				6.83336e+06
O75493	O75493				1.00502e+07
O75503	O75503				5.14337e+06
O75509	O75509				2.44399e+07
O75629	O75629				1.54427e+06
O75636;O75636-2	O75636;O75636-2				622620
O75711	O75711				1.4918e+08
O75752	O75752				6.87564e+06
O75781;O75781-2	O75781;O75781-2				1.18552e+06
O75787;O75787-2	O75787;O75787-2				1.95823e+07
O75874	O75874				980774
O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.4472e+07
O75973	O75973				1.01746e+06
O75976	O75976				1.32369e+06
O76061	O76061				7.65792e+06
O76070	O76070				1.37956e+06
O94760	O94760;O94760-2				9.59633e+06
O94766;O94766-2	O94766;O94766-2				1.12044e+06
O94769	O94769;O94769-2				1.35471e+07
O94772;O94772-2	O94772;O94772-2				1.83346e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				1.43361e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.77766e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.29749e+06
O94910;O94910-2	O94910;O94910-2				5.64108e+06
O94919	O94919				2.58002e+07
O94933	O94933				674234
O94985	O94985				1.60433e+06
O94985-2	O94985;O94985-2				2.49821e+08
O94991	O94991;O94991-2				3.0527e+06
O95084;O95084-2	O95084;O95084-2				3.03583e+06
O95157	O95157				779263
O95158	O95158				2.43326e+07
O95185;O95185-2	O95185;O95185-2				4.78804e+06
O95196;O95196-2	O95196;O95196-2				8.61032e+06
O95206;O95206-2	O95206;O95206-2				3.64701e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				803748
O95336	O95336				6.37544e+06
O95390	O95390				4.66514e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				6.63622e+06
O95445	O95445;O95445-2				1.10659e+07
O95450;O95450-2	O95450;O95450-2				1.46194e+06
O95467	O95467				1.2949e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				510385
O95497	O95497				3.15186e+06
O95502	O95502				1.16797e+08
O95633;O95633-2	O95633;O95633-2				4.72375e+06
