Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C7_81790598_repeat2.mzML
P02538	P02538;P04259;P48668				1.71103e+06
P02647	P02647				4.22946e+09
P02649	P02649				3.48342e+09
P02652	P02652				6.59815e+08
P02654	P02654				7.85228e+07
P02655	P02655				7.09105e+06
P02656	P02656				6.60118e+07
P02671	P02671;P02671-2				7.87376e+07
P02675	P02675				5.17272e+07
P02679;P02679-2	P02679;P02679-2				7.30055e+07
P02741	P02741;P02741-2				607452
P02743	P02743				1.37324e+07
P02745	P02745				4.48192e+07
P02746	P02746				7.88395e+07
P02747	P02747				4.195e+07
P02748	P02748				1.66287e+07
P02749	P02749				9.34262e+07
P02750	P02750				6.25612e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				2.14603e+08
P02753	P02753				4.10624e+07
P02760	P02760				2.64071e+07
P02763	P02763				1.74704e+09
P02765	P02765				4.72496e+08
P02766	P02766				4.54105e+09
P02768	P02768				1.69972e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				5.8432e+08
P02786	P02786				1.72734e+06
P02787	P02787				4.98624e+09
P02788;P02788-2	P02788;P02788-2				4.63751e+06
P02790	P02790				1.91216e+09
P02792	P02792				1.15014e+06
P02794	P02794				1.96938e+06
P03950	P03950				3.27788e+06
P03951;P03951-2	P03951;P03951-2				4.63976e+06
P03952	P03952				2.36222e+07
P04003	P04003				3.07627e+06
P04004	P04004				2.96925e+08
P04040	P04040				451167
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-3;P04062-4;P04062-5				2.03522e+06
P04066	P04066				2.62533e+06
P04070;P04070-2	P04070;P04070-2				2.59344e+06
P04075	P04075;P04075-2				2.35285e+07
P04080	P04080				2.9133e+06
P04085;P04085-2	P04085;P04085-2				5.20448e+06
P04114	P04114				2.26553e+06
P04156	P04156				3.30788e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				5.20094e+07
P04180	P04180				1.95349e+07
P04196	P04196				8.7988e+07
P04216	P04216				4.9972e+08
P04217	P04217;P04217-2				3.67184e+08
P04217-2	P04217-2				763180
P04264	P04259;P04264				1.27825e+08
P04271	P04271				864429
P04275	P04275				1.67416e+07
P04278;P04278-5	P04278;P04278-5				881862
P04350;P07437;P68371	P04350;P07437;P68371				272176
P04406	P04406;P04406-2				1.35555e+07
P04439;P04439-2	P01893;P04439;P04439-2				8.97508e+06
P04792	P04792				734019
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				441894
P05026;P05026-2	P05026;P05026-2				618152
P05060	P05060				1.67384e+08
P05062	P05062				729267
P05067;P05067-11;P05067-8	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				3.10965e+08
P05089;P05089-2;P05089-3	P05089;P05089-2;P05089-3				126900
P05090	P05090				1.86864e+09
P05154	P05154				1.01291e+07
P05155;P05155-3	P05155;P05155-2;P05155-3				3.8523e+08
P05156	P05156				1.53827e+07
P05160	P05160				1.00124e+06
P05362	P05362				1.32555e+06
P05408;P05408-2	P05408;P05408-2				1.47935e+08
P05413	P05413				2.92116e+06
P05452	P05452				2.69247e+07
P05543	P05543				1.10164e+07
P05546	P05546				5.37294e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				794403
P05937	P05937;P05937-2				3.38683e+06
