Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H5_82544762_190309202008.mzML
O15232;O15232-2	O15232;O15232-2				2.59852e+06
O15240	O15240				2.78144e+08
O15335	O15335				1.13013e+07
O15354	O15354				5.07275e+07
O15394	O15394;O15394-2				4.46574e+07
O15400;O15400-2	O15400;O15400-2				508043
O15466;O15466-2	O15466;O15466-2				2.65744e+06
O15540;O15540-2	O15540;O15540-2				3.68821e+06
O43155	O43155				1.11821e+06
O43157	O43157;O43157-2;O43157-3				5.40959e+06
O43173	O43173				6.36179e+06
O43240	O43240				2.38282e+06
O43278;O43278-2	O43278;O43278-2				3.45037e+06
O43286	O43286				1.25741e+06
O43291	O43291				1.27491e+07
O43300	O43300				3.4347e+06
O43405	O43405;O43405-2				3.84459e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.7331e+07
O43505	O43505				5.08758e+08
O43508-2	O43508;O43508-2				3.05811e+06
O43529	O43529				5.75143e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.0396e+07
O43567	O43567;O43567-2				4.00042e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				691656
O43827	O43827				6.50764e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				903711
O43854;O43854-2	O43854;O43854-2				349668
O43866	O43866				6.57119e+06
O43897;O43897-2	O43897;O43897-2				981009
O43909	O43909				765469
O43916	O43916				1.13253e+08
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.47659e+07
O60242	O60242				1.70642e+06
O60243	O60243				4.31877e+06
O60245;O60245-2	O60245;O60245-2				4.54528e+06
O60279	O60279				1.5324e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.27848e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				805674
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				8.59668e+06
O60476	O60476				4.02195e+06
O60477	O60477;O60477-3				460963
O60512	O60512				1.4711e+06
O60565	O60565				961982
O60568	O60568				2.77991e+06
O60613	O60613				1.79141e+06
O60883	O60883				1.42976e+08
O60888-3	O60888;O60888-2;O60888-3				6.30994e+07
O60939	O60939				3.52036e+06
O75051;O75051-2	O75051;O75051-2				850542
O75063	O75063				3.98459e+06
O75071	O75071				8.0167e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.47353e+06
O75078	O75078;O75078-2				6.91704e+06
O75083	O75083;O75083-3				4.91495e+06
O75084;Q14332	O75084;Q14332				812683
O75144;O75144-2	O75144;O75144-2;O75144-3				8.02804e+07
O75173;O75173-2	O75173;O75173-2				1.78383e+07
O75326	O75326;O75326-2				2.88269e+07
O75340;O75340-2	O75340;O75340-2				325159
O75347	O75347;O75347-2				1.91917e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.45462e+06
O75368	O75368				8.91688e+06
O75493	O75493				3.77677e+06
O75503	O75503				3.83155e+06
O75509	O75509				3.21072e+07
O75629	O75629				664408
O75711	O75711				2.7167e+08
O75752	O75752				1.13188e+07
O75787;O75787-2	O75787;O75787-2				1.96104e+07
O75828	O75828				3.40248e+06
O75874	O75874				1.3696e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.61916e+07
O75973	O75973				1.2074e+06
O75976	O75976				2.5219e+06
O76061	O76061				7.03429e+06
O76070	O76070				2.97152e+06
O94760	O94760;O94760-2				1.30654e+07
O94766	O94766;Q9NPZ5				3.00078e+06
O94769	O94769;O94769-2				1.71334e+07
O94772;O94772-2	O94772;O94772-2				3.86814e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				430134
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.66458e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.8196e+06
O94910;O94910-2	O94910;O94910-2				4.19675e+07
O94919	O94919				2.83138e+07
O94933	O94933				4.21749e+06
O94973;O94973-2	O94973;O94973-2				1.04282e+06
O94985	O94985				2.1877e+06
O94985-2	O94985;O94985-2				3.51747e+08
O94991	O94991;O94991-2				8.12281e+06
O95084;O95084-2	O95084;O95084-2				3.9111e+06
O95157	O95157				1.10624e+06
O95158	O95158				2.77245e+07
O95159	O95159				1.98256e+06
O95164	O95164				93723.9
O95185;O95185-2	O95185;O95185-2				5.27107e+06
O95196;O95196-2	O95196;O95196-2				1.46276e+07
