Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D10_190224386.mzML
O43405;O43405-2	O43405;O43405-2				7.28834e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.47078e+07
O43505	O43505				8.1692e+08
O43508	O43508;O43508-2				1.15992e+06
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				1.56858e+06
O43529	O43529				7.98371e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.59782e+07
O43567	O43567				9.10108e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				952053
O43736;O43736-2	O43736;O43736-2				1.60017e+06
O43827	O43827				1.05003e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.57674e+06
O43854;O43854-2	O43854;O43854-2				680284
O43866	O43866				6.54906e+06
O43897;O43897-2	O43897;O43897-2				1.5981e+06
O43909	O43909				1.51747e+06
O43916	O43916				1.77471e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.60804e+07
O60242	O60242				2.82317e+06
O60243	O60243				1.38671e+06
O60245;O60245-2	O60245;O60245-2				5.05707e+06
O60279	O60279				3.94935e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.38906e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.1172e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.12788e+07
O60476	O60476				2.60921e+06
O60477;O60477-3;Q76B58;Q76B58-2	O60477;Q76B58;O60477-3;Q76B58-2				121908
O60512	O60512				4.67643e+06
O60565	O60565				165054
O60568	O60568				6.61116e+06
O60613	O60613				3.65141e+06
O60883	O60883				1.18523e+08
O60888-3	O60888;O60888-2;O60888-3				4.58361e+07
O60939	O60939				2.54305e+06
O75051;O75051-2	O75051;O75051-2				1.537e+06
O75063	O75063				4.46981e+06
O75071	O75071				7.51842e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.63245e+06
O75078	O75078;O75078-2				8.7624e+06
O75083	O75083;O75083-3				2.64858e+06
O75084;Q14332	O75084;Q14332				378386
O75144;O75144-2	O75144;O75144-2;O75144-3				5.3872e+07
O75173;O75173-2	O75173;O75173-2				1.32917e+07
O75326	O75326;O75326-2				7.47413e+07
O75339	O75339				1.45429e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.72074e+06
O75363;O75363-2	O75363;O75363-2				311494
O75368	O75368				3.6199e+06
O75487	O75487;O75487-2				3.34738e+06
O75493	O75493				1.01858e+07
O75503	O75503				8.80478e+06
O75509	O75509				2.7182e+07
O75629	O75629				2.23196e+06
O75636;O75636-2	O75636;O75636-2				994932
O75711	O75711				3.437e+08
O75752	O75752				1.03495e+07
O75787;O75787-2	O75787;O75787-2				4.31714e+07
O75874	O75874				1.26554e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.04268e+07
O75973	O75973				2.08958e+06
O75976	O75976				1.10201e+07
O76061	O76061				7.30342e+06
O76070	O76070				3.67184e+06
O94760	O94760;O94760-2				1.35187e+07
O94766	O94766;Q9NPZ5				3.56169e+06
O94769	O94769;O94769-2				3.35909e+07
O94772;O94772-2	O94772;O94772-2				1.41151e+08
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				1.20671e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				6.84605e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				2.24522e+06
O94910;O94910-2	O94910;O94910-2				7.04734e+07
O94919	O94919				7.12013e+07
O94923	O94923				379898
O94933	O94933				1.87264e+06
O94973;O94973-2	O94973;O94973-2				897102
O94985	O94985				1.43138e+06
O94985-2	O94985;O94985-2				4.6693e+08
O94991	O94991;O94991-2				7.4787e+06
O95084;O95084-2	O95084;O95084-2				3.89619e+06
O95157	O95157				2.03703e+06
O95158	O95158				2.09206e+07
O95185;O95185-2	O95185;O95185-2				7.16486e+06
O95196;O95196-2	O95196;O95196-2				3.683e+06
O95206;O95206-2	O95206;O95206-2				4.53969e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.36766e+06
O95336	O95336				445703
O95390	O95390				6.31128e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				1.05253e+07
