Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C12_168743858_repeat.mzML
Q5VSG8	Q5VSG8				6.19098e+06
Q5VU97	Q5VU97				1.05388e+07
Q5VUB5	Q5VUB5				3.12463e+06
Q5VV43;Q5VV43-2;Q5VV43-4	Q5VV43;Q5VV43-2;Q5VV43-4				6.08166e+06
Q5VV63	Q5VV63				1.47921e+06
Q5VWW1;Q5VWW1-2;Q5VWW1-3	Q5VWW1;Q5VWW1-2;Q5VWW1-3				3.73618e+06
Q641Q3;Q641Q3-2	Q641Q3;Q641Q3-2				1.01282e+07
Q658N2	Q658N2				9.04569e+06
Q68BL7;Q68BL7-2;Q68BL7-3	Q68BL7;Q68BL7-2;Q68BL7-3				7.27855e+06
Q68D85	Q68D85				2.21523e+06
Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7	Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7				3.63366e+06
Q6EMK4	Q6EMK4				1.83359e+07
Q6FHJ7	Q6FHJ7				7.67634e+06
Q6GTX8;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;Q6ISS4;Q6ISS4-2	Q6GTX8;Q6ISS4;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;Q6ISS4-2				1.11203e+07
Q6IBS0	Q6IBS0				657297
Q6IEE7	Q6IEE7				793422
Q6IS24	Q6IS24				2.22304e+06
Q6MZW2	Q6MZW2;Q6MZW2-2;Q6MZW2-3				2.84983e+07
Q6NUJ2	Q6NUJ2				4.05064e+06
Q6NW40	Q6NW40				1.52237e+07
Q6P179;Q6P179-2;Q6P179-3;Q6P179-4	Q6P179;Q6P179-2;Q6P179-3;Q6P179-4				1.427e+06
Q6P1N9	Q6P1N9				9.3215e+06
Q6P4E1;Q6P4E1-5	Q6P4E1;Q6P4E1-2;Q6P4E1-5				1.44998e+07
Q6P9A2	Q6P9A2				3.53449e+06
Q6PCB0	Q6PCB0				1.50572e+06
Q6PUV4	Q6PUV4				1.9121e+06
Q6RVD6	Q6RVD6				941888
Q6UVK1	Q6UVK1				5.41214e+06
Q6UVY6;Q6UVY6-2	Q6UVY6;Q6UVY6-2				1.73492e+06
Q6UW01	Q6UW01				3.57559e+07
Q6UWH4;Q6UWH4-2	Q6UWH4;Q6UWH4-2;Q6UWH4-3				2.67777e+06
Q6UWP8	Q6UWP8;Q6UWP8-2				451068
Q6UWR7	Q6UWR7				4.17013e+06
Q6UWY5	Q6UWY5				3.42367e+06
Q6UX15;Q6UX15-2	Q6UX15;Q6UX15-2				2.81271e+06
