Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A7_79061681_repeat.mzML
O14917;O14917-2	O14917;O14917-2				3.91018e+06
O14960	O14960				577701
O15031	O15031				4.54646e+07
O15041;O15041-2	O15041;O15041-2				387609
O15197;O15197-3	O15197;O15197-3				1.28624e+07
O15204;O15204-2	O15204;O15204-2				2.85242e+06
O15230	O15230				2.33227e+06
O15232;O15232-2	O15232;O15232-2				4.6208e+06
O15240	O15240				2.20382e+08
O15335	O15335				4.71459e+06
O15354	O15354				3.00778e+07
O15394	O15394;O15394-2				5.04593e+07
O15466;O15466-2	O15466;O15466-2				1.63027e+06
O43155	O43155				815780
O43157	O43157;O43157-2;O43157-3				1.16587e+07
O43173	O43173				3.23875e+06
O43240	O43240				1.37954e+06
O43278;O43278-2	O43278;O43278-2				3.77365e+06
O43286	O43286				4.64859e+06
O43291	O43291				1.36888e+07
O43300	O43300				4.82355e+06
O43323	O43323				383772
O43405;O43405-2	O43405;O43405-2				2.31733e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				5.36375e+07
O43505	O43505				7.66764e+08
O43508	O43508;O43508-2				2.31221e+06
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				1.68687e+06
O43529	O43529				1.11395e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.55438e+07
O43567	O43567				1.11504e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.35958e+06
O43827	O43827				5.27143e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.53495e+06
O43854;O43854-2	O43854;O43854-2				655948
O43866	O43866				9.93447e+06
O43897;O43897-2	O43897;O43897-2				2.49092e+06
O43916	O43916				2.30724e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.40373e+07
O60242	O60242				1.66473e+06
O60243	O60243				5.31193e+06
O60245;O60245-2	O60245;O60245-2				1.48335e+07
O60279	O60279				4.65333e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				257038
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.60029e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.17374e+07
O60476	O60476				5.09431e+06
O60477;O60477-3;Q76B58;Q76B58-2	O60477;Q76B58;O60477-3;Q76B58-2				110122
O60512	O60512				2.45328e+06
O60565	O60565				2.35853e+06
O60568	O60568				3.70346e+06
O60613	O60613				3.11028e+06
O60883	O60883				1.38238e+08
O60888-3	O60888;O60888-2;O60888-3				9.24145e+06
O60939	O60939				1.63249e+06
O75051;O75051-2	O75051;O75051-2				731392
O75063	O75063				5.02357e+06
O75071	O75071				9.21174e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.46392e+06
O75078	O75078;O75078-2				6.96843e+06
O75083	O75083;O75083-3				3.55821e+06
O75084;Q14332	O75084;Q14332				624491
O75093	O75093				5.35195e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				3.4713e+07
O75173;O75173-2	O75173;O75173-2				1.16054e+07
O75223	O75223				738494
O75326	O75326;O75326-2				5.90047e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.57779e+06
O75368	O75368				2.21267e+06
O75467;Q6AW86	O75467;Q6AW86				4.93233e+06
O75493	O75493				6.77314e+06
O75503	O75503				4.04196e+06
O75509	O75509				1.66831e+07
O75629	O75629				1.60621e+06
O75636;O75636-2	O75636;O75636-2				2.42606e+06
O75711	O75711				5.57184e+08
O75752	O75752				1.29449e+07
O75781;O75781-2	O75781;O75781-2				3.94865e+06
O75787;O75787-2	O75787;O75787-2				3.02702e+07
O75828	O75828				4.42744e+06
O75874	O75874				2.84622e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.45056e+07
O75973	O75973				1.13843e+06
O75976	O75976				2.13846e+06
O76061	O76061				9.34299e+06
O76070	O76070;Q16143				3.37092e+06
O94760	O94760				7.57591e+06
O94766	O94766;Q9NPZ5				1.21505e+07
O94769;O94769-2	O94769;O94769-2				1.89674e+07
O94772;O94772-2	O94772;O94772-2				4.98645e+07
O94779;O94779-2	O94779;O94779-2				970575
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				4.67468e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.60968e+06
O94898	O94898				1.73164e+06
O94910;O94910-2	O94910;O94910-2				1.33646e+07
O94919	O94919				4.78751e+07
O94923	O94923				153614
O94933	O94933				700701
O94985	O94985				2.6988e+06
O94985-2	O94985;O94985-2				3.93081e+08
O94991	O94991;O94991-2				6.86514e+06
O95084;O95084-2	O95084;O95084-2				1.39166e+06
O95157	O95157				1.32925e+06
O95158	O95158				2.32394e+07
O95164	O95164				401212
O95185;O95185-2	O95185;O95185-2				4.74335e+06
O95196;O95196-2	O95196;O95196-2				1.16419e+07
O95206;O95206-2	O95206;O95206-2				4.98077e+06
O95292	O95292				1.3561e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				1.28711e+06
O95390	O95390				4.97824e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				6.51128e+06
O95445	O95445;O95445-2				2.08495e+07
O95450;O95450-2	O95450;O95450-2				3.30419e+06
O95467	O95467				4.62321e+06
O95497	O95497				2.01172e+06
O95502	O95502				1.44568e+08
O95633;O95633-2	O95633;O95633-2				4.05311e+06
O95841	O95841				436227
O95865	O95865				548798
O95881	O95881				440283
O95897	O95897				1.29098e+06
O95967	O95967				1.15508e+07
O95970;O95970-3	O95970;O95970-3				386137
O95998	O95998				664323
P00338;P00338-3	P00338;P00338-3;P00338-4				1.40454e+07
P00352	P00352				497673
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.09403e+06
P00441	P00441				5.22462e+08
P00450	P00450				6.94756e+08
P00488	P00488				946971
P00492	P00492				2.31182e+06
P00505;P00505-2	P00505;P00505-2				1.35874e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				2.23741e+06
P00558	P00558;P07205;P00558-2				1.08532e+07
P00734	P00734				1.46689e+08
P00736	P00736				1.76846e+08
P00738	P00738;P00738-2				8.81517e+08
P00739	P00739;P00739-2				4.86428e+08
P00740;P00740-2	P00740;P00740-2				9.40628e+06
P00742	P00742				2.89639e+07
P00746	P00746				4.06709e+08
P00747	P00747				2.46521e+08
P00748	P00748				2.27939e+08
P00751	P00751;P00751-2				3.17802e+08
P00813	P00813				172952
P00915	P00915				3.30927e+06
P01008	P01008				7.42734e+08
P01009	P01009;P01009-2;P01009-3				9.98718e+09
P01011	P01011				2.00967e+09
P01019	P01019				4.54604e+08
P01023	P01023;P20742;P20742-2				4.91056e+08
P01024	P01024				1.9182e+09
P01031	P01031				5.34999e+07
P01033	P01033				1.0006e+08
P01034	P01034				2.94401e+09
P01036;P01037	P01036;P01037				1.4905e+06
P01042	P01042;P01042-2;P01042-3				5.22392e+08
P01042-2;P01042-3	P01042-2;P01042-3				5.2395e+07
P01127;P01127-2	P01127;P01127-2				4.82111e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				799826
P01210	P01210				1.34369e+08
P01213	P01213				1.05041e+07
P01236	P01236				1.74091e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				2.28469e+06
P01303	P01303				8.885e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				6.59703e+07
P01591	P01591				8.31641e+07
P01593;P01594	P01593;P01594				3.52912e+07
P01602	P01602				9.7536e+06
P01619	P01619				1.12405e+09
P01700	P01700				9.34233e+07
P01701	P01701				3.88946e+07
P01705	P01705				4.95234e+06
P01709	P01706;P01709;P0DOX8				1.14027e+07
P01714	P01714				1.20181e+07
P01717	P01717				1.62393e+08
P01721	P01721				2.78165e+06
P01742	P01742				2.57474e+07
