Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E8_129188551_190304214129.mzML
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.64043e+06
O43827	O43827				7.54726e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.3232e+06
O43854;O43854-2	O43854;O43854-2				610942
O43866	O43866				6.24336e+06
O43897;O43897-2	O43897;O43897-2				1.91265e+06
O43909	O43909				1.83155e+06
O43916	O43916				2.71894e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.38744e+07
O60242	O60242				6.17941e+06
O60243	O60243				8.33635e+06
O60245;O60245-2	O60245;O60245-2				6.82441e+06
O60279	O60279				5.12019e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				8.22505e+06
O60330;O60330-2	O60330;O60330-2				2.37074e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				3.4906e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.31987e+07
O60476	O60476				6.05624e+06
O60477	O60477;O60477-3				1.58619e+06
O60512	O60512				1.36842e+07
O60565	O60565				710766
O60568	O60568				5.05465e+06
O60613	O60613				5.30052e+06
O60883	O60883				2.04178e+08
O60888-3	O60888;O60888-2;O60888-3				5.35947e+07
O60939	O60939				4.96608e+06
O75051;O75051-2	O75051;O75051-2				1.18345e+06
O75063	O75063				8.11658e+06
O75071	O75071				1.79724e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.15885e+07
O75078	O75078;O75078-2				9.19559e+06
O75083	O75083;O75083-3				5.71082e+06
O75084;Q14332	O75084;Q14332				741966
O75093	O75093				4.56022e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				6.13908e+07
O75173;O75173-2	O75173;O75173-2				2.27231e+07
O75326	O75326;O75326-2				9.30304e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				3.05178e+06
O75368	O75368				3.68998e+06
O75493	O75493				1.31642e+07
O75503	O75503				7.22128e+06
O75509	O75509				3.62412e+07
O75629	O75629				4.36565e+06
O75636;O75636-2	O75636;O75636-2				2.99227e+06
O75711	O75711				4.34486e+08
O75752	O75752				1.00753e+07
O75781;O75781-2	O75781;O75781-2				5.45404e+06
O75787;O75787-2	O75787;O75787-2				8.9193e+07
O75874	O75874				1.52237e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				3.37552e+07
O75973	O75973				2.63059e+06
O75976	O75976;O75976-2				1.0959e+07
O76061	O76061				1.36054e+07
O76070	O76070;Q16143				5.49253e+06
O94760	O94760				1.10712e+07
O94766	O94766;Q9NPZ5				1.15747e+07
O94769	O94769;O94769-2				2.5784e+07
O94772;O94772-2	O94772;O94772-2				1.34114e+08
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				909175
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				8.9477e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				4.98462e+06
O94898	O94898				2.90662e+06
O94910	O94910;O94910-2				1.9961e+07
O94919	O94919				9.8252e+07
O94933	O94933				5.55682e+06
O94973;O94973-2	O94973;O94973-2				1.11824e+06
O94985-2	O94985;O94985-2				5.9204e+08
O94991	O94991;O94991-2				1.34545e+07
O95157	O95157				2.10186e+06
O95158	O95158				4.80134e+07
O95159	O95159				2.44239e+06
O95164	O95164				945414
O95185;O95185-2	O95185;O95185-2				1.11876e+07
O95196;O95196-2	O95196;O95196-2				1.27874e+07
O95206;O95206-2	O95206;O95206-2				1.09623e+07
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				2.02175e+06
O95390	O95390				5.57185e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				1.41777e+07
O95445	O95445;O95445-2				1.16636e+08
O95450;O95450-2	O95450;O95450-2				3.53343e+06
O95467	O95467				5.51616e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.66995e+06
O95497	O95497				4.23642e+06
O95502	O95502				3.10777e+08
O95633;O95633-2	O95633;O95633-2				6.99406e+06
O95841	O95841				413512
O95865	O95865				2.24503e+06
O95881	O95881				592328
O95897	O95897				3.54946e+06
O95967	O95967				1.43869e+07
O95980	O95980				7.70818e+06
O95998	O95998;O95998-4				2.73566e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				3.22173e+07
P00352	P00352				1.6615e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				3.66342e+06
P00441	P00441				1.15525e+09
P00450	P00450				4.71689e+08
P00488	P00488				2.4925e+06
P00492	P00492				5.91001e+06
P00505	P00505;P00505-2				2.13427e+07
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				3.47572e+06
P00558	P00558;P00558-2				1.64982e+07
P00568	P00568				1.21446e+06
P00734	P00734				1.44302e+08
P00736	P00736				1.35686e+08
P00738	P00738;P00738-2				1.16819e+09
P00739	P00739;P00739-2				1.20484e+09
P00740;P00740-2	P00740;P00740-2				1.02218e+07
P00742	P00742				3.02012e+07
P00746	P00746				1.84066e+08
P00747	P00747				1.61156e+08
P00748	P00748				8.99764e+07
P00751	P00751;P00751-2				2.67643e+08
P01008	P01008				1.34306e+09
P01009	P01009;P01009-2;P01009-3				9.53366e+09
P01011	P01011				1.96955e+09
P01019	P01019				1.31184e+09
P01023	P01023;P20742;P20742-2				7.56304e+08
P01024	P01024				2.66024e+09
P01031	P01031				7.23756e+07
P01033	P01033				8.96937e+07
P01034	P01034				2.79001e+10
P01036;P01037	P01036;P01037				1.46249e+06
P01042	P01042;P01042-2;P01042-3				3.97634e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.01254e+08
P01127;P01127-2	P01127;P01127-2				7.96642e+07
P01210	P01210				1.68337e+08
P01213	P01213				1.17116e+07
P01236	P01236				1.62811e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.70183e+06
P01282;P01282-2	P01282;P01282-2				2.35672e+06
P01303	P01303				2.20275e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				6.99406e+07
P01591	P01591				1.65084e+07
P01593;P01594	P01593;P01594				3.96067e+07
P01599	P01599				6.89246e+06
P01619	P01619				6.52359e+08
P01700	P01700				5.2048e+07
P01701	P01701				9.65093e+06
P01709	P01706;P01709;P0DOX8				5.66893e+07
P01714	P01714				2.55488e+07
P01717	P01717				1.03708e+08
P01721	P01721				4.79732e+06
P01742	P01742				1.32631e+07
