Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A3_82883165_repeat2.mzML
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.14566e+06
O43827	O43827				6.19389e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				227919
O43854;O43854-2	O43854;O43854-2				320621
O43866	O43866				7.08752e+06
O43897;O43897-2	O43897;O43897-2				1.60904e+06
O43909	O43909				521177
O43916	O43916				1.10448e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				4.06186e+06
O60242	O60242				1.34465e+06
O60243	O60243				3.62452e+06
O60245;O60245-2	O60245;O60245-2				1.59539e+07
O60279	O60279				2.63787e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				525407
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				417817
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				7.56697e+06
O60476	O60476				3.97224e+06
O60512	O60512				2.06365e+06
O60568	O60568				1.84117e+06
O60613	O60613				2.3077e+06
O60883	O60883				8.03671e+07
O60888-3	O60888;O60888-2;O60888-3				6.03033e+07
O60939	O60939				779776
O75063	O75063				4.20244e+06
O75071	O75071				4.08595e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.00206e+06
O75078	O75078;O75078-2				6.33477e+06
O75083	O75083;O75083-3				1.65757e+06
O75084;Q14332	O75084;Q14332				262911
O75093	O75093				1.80892e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				2.4245e+07
O75173;O75173-2	O75173;O75173-2				9.89781e+06
O75326	O75326;O75326-2				5.2855e+07
O75340;O75340-2	O75340;O75340-2				226845
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.08529e+06
O75368	O75368				2.03798e+06
O75493	O75493				4.45946e+06
O75503	O75503				4.55286e+06
O75509	O75509				1.68637e+07
O75636;O75636-2	O75636;O75636-2				1.08714e+06
O75711	O75711				1.70211e+08
O75752	O75752				4.51355e+06
O75787;O75787-2	O75787;O75787-2				3.37992e+07
O75874	O75874				1.11726e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.46623e+07
O75973	O75973				1.39325e+06
O75976	O75976				1.61256e+06
O76061	O76061				4.34127e+06
O76070	O76070				1.55479e+06
O94760	O94760;O94760-2				1.37731e+07
O94766;O94766-2	O94766;O94766-2				1.08519e+06
O94769	O94769;O94769-2				1.75849e+07
O94772;O94772-2	O94772;O94772-2				5.86838e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				650698
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.40509e+06
O94856;O94856-11;O94856-13;O94856-6;O94856-7	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.0309e+07
O94910	O94910;O94910-2				4.65221e+06
O94919	O94919				3.98142e+07
O94933	O94933				498995
O94973;O94973-2	O94973;O94973-2				130235
O94985	O94985				1.59552e+06
O94985-2	O94985;O94985-2				3.23445e+08
O94991	O94991;O94991-2				3.85618e+06
O95084;O95084-2	O95084;O95084-2				1.48812e+06
O95157	O95157				1.22922e+06
O95158	O95158				1.93185e+07
O95159	O95159				631948
O95164	O95164				173197
O95185;O95185-2	O95185;O95185-2				3.46556e+06
O95196;O95196-2	O95196;O95196-2				1.45736e+07
O95206;O95206-2	O95206;O95206-2				2.65808e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				976518
O95390	O95390				7.73839e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				6.57037e+06
O95445	O95445;O95445-2				5.09396e+07
O95445-2	O95445-2				1.3625e+06
O95450;O95450-2	O95450;O95450-2				2.59572e+06
O95467	O95467				2.07045e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				144103
O95497	O95497				912600
O95502	O95502				1.059e+08
O95841	O95841;Q9UKU9				1.78136e+06
O95865	O95865				707478
O95881	O95881				58171.8
O95967	O95967				1.47918e+07
O95980	O95980				9.09762e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				1.25925e+07
P00352	P00352				428109
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.10184e+06
P00441	P00441				2.05677e+08
P00450	P00450				3.69649e+08
P00488	P00488				2.91512e+06
P00492	P00492				2.25925e+06
P00505;P00505-2	P00505;P00505-2				6.85715e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				1.2623e+06
P00558	P00558;P00558-2				2.03687e+07
P00734	P00734				1.62593e+08
P00736	P00736				9.09471e+07
P00738	P00738;P00738-2				1.2e+09
P00739	P00739;P00739-2				2.33776e+09
P00740;P00740-2	P00740;P00740-2				6.97362e+06
P00742	P00742				3.22931e+07
P00746	P00746				7.32599e+07
P00747	P00747				2.81469e+08
P00748	P00748				4.94086e+07
P00751	P00751;P00751-2				3.07631e+08
P01008	P01008				1.57232e+09
P01009	P01009;P01009-2;P01009-3				9.04792e+09
P01011	P01011				1.43932e+09
P01019	P01019				6.69492e+08
P01023	P01023;P20742;P20742-2				6.61574e+08
P01024	P01024				1.73786e+09
P01031	P01031				8.23658e+07
P01033	P01033				4.61057e+07
P01034	P01034				4.19545e+09
P01036;P01037	P01036;P01037				1.16919e+06
P01042	P01042;P01042-2;P01042-3				2.89539e+08
P01042-2;P01042-3	P01042-2;P01042-3				3.78985e+08
P01127;P01127-2	P01127;P01127-2				3.15019e+07
P01210	P01210				7.85558e+07
P01213	P01213				6.95788e+06
P01236	P01236				70833.9
P01258;P01258-2;P06881	P01258;P06881;P01258-2				365386
P01282;P01282-2	P01282;P01282-2				954814
P01303	P01303				4.47399e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.35795e+07
P01591	P01591				2.5526e+07
P01593;P01594	P01593;P01594				2.0897e+07
