Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F9_82880110_190304154132.mzML
Q9H3G5	Q9H3G5				2.5513e+07
Q9H3T2;Q9H3T2-3	Q9H3T2;Q9H3T2-3				914663
Q9H3T3;Q9H3T3-3	Q9H3T3;Q9H3T3-3				3.92383e+06
Q9H492;Q9H492-2	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				2.39628e+06
Q9H4D0	Q9H4D0				7.89414e+06
Q9H4F8;Q9H4F8-2	Q9H4F8;Q9H4F8-2				2.02865e+06
Q9H6B4	Q9H6B4				3.72196e+06
Q9H6X2;Q9H6X2-2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-5;Q9H6X2-6	Q9H6X2;Q9H6X2-2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-5;Q9H6X2-6				1.03598e+07
Q9H741	Q9H741				1.53329e+06
Q9H7Y0	Q9H7Y0;Q9H7Y0-2				1.80714e+06
Q9H8J5	Q9H8J5				7.00314e+06
Q9H8L6	Q9H8L6				3.66283e+06
Q9H8Y8;Q9H8Y8-2;Q9H8Y8-3	Q9H8Y8;Q9H8Y8-2;Q9H8Y8-3				653459
Q9H9S5	Q9H9S5				762010
Q9HAR2;Q9HAR2-2;Q9HAR2-3;Q9HAR2-4	Q9HAR2;Q9HAR2-2;Q9HAR2-3;Q9HAR2-4				6.64972e+06
Q9HAT2;Q9HAT2-2	Q9HAT2;Q9HAT2-2				1.61649e+07
Q9HBR0	Q9HBR0				5.50105e+06
Q9HBT6	Q9HBT6				2.44754e+06
Q9HBW1	Q9HBW1				2.74625e+06
Q9HC38-2	Q9HC38;Q9HC38-2;Q9HC38-3				965156
Q9HC56;Q9HC56-2	Q9HC56;Q9HC56-2				9.28089e+06
Q9HCB6	Q9HCB6				9.07403e+06
Q9HCK4;Q9HCK4-2;Q9HCK4-3	Q9HCK4;Q9HCK4-2;Q9HCK4-3				6.5577e+06
Q9HCU0	Q9HCU0				7.64567e+06
Q9HCU4	Q9HCU4				1.39842e+07
Q9HDB5;Q9HDB5-2;Q9HDB5-4	Q9HDB5;Q9Y4C0;Q9HDB5-2;Q9HDB5-4;Q9Y4C0-3				3.25342e+07
Q9HDC9;Q9HDC9-2	Q9HDC9;Q9HDC9-2				1.08088e+06
Q9NP80;Q9NP80-2;Q9NP80-3	Q9NP80;Q9NP80-2;Q9NP80-3				2.69276e+07
Q9NPC4	Q9NPC4				1.8092e+06
Q9NPD7	Q9NPD7				1.00703e+07
Q9NPG4	Q9NPG4				4.38843e+06
Q9NPH3;Q9NPH3-2;Q9NPH3-5	Q9NPH3;Q9NPH3-2;Q9NPH3-3;Q9NPH3-5				3.89007e+06
Q9NPR2;Q9NPR2-2	Q9NPR2;Q9NPR2-2				1.88702e+08
Q9NQ36;Q9NQ36-2;Q9NQ36-3	Q9NQ36;Q9NQ36-2;Q9NQ36-3				1.33544e+06
Q9NQ79;Q9NQ79-2;Q9NQ79-3	Q9NQ79;Q9NQ79-2;Q9NQ79-3				1.42099e+08
Q9NQS3;Q9NQS3-2;Q9NQS3-3	Q9NQS3;Q9NQS3-2;Q9NQS3-3				4.1397e+06
Q9NQX5	Q9NQX5				2.2028e+06
Q9NQX7	Q9NQX7;Q9NQX7-2				772851
Q9NR34	Q9NR34				9.42284e+06
Q9NRB3	Q9NRB3				787237
Q9NRN5	Q9NRN5;Q9NRN5-2				1.95408e+07
Q9NRR1	Q9NRR1				9.82734e+06
Q9NS00;Q9NS00-2	Q9NS00;Q9NS00-2				1.28568e+06
Q9NS84	Q9NS84				331855
Q9NS85	Q9NS85;Q9NS85-2				2.47463e+06
Q9NS98	Q9NS98				1.89344e+07
Q9NSC7	Q9NSC7				2.88587e+06
Q9NT22;Q9NT22-2	Q9NT22;Q9NT22-2				7.42278e+06
Q9NT99	Q9NT99				3.60517e+07
Q9NTU7	Q9NTU7				8.90962e+06
Q9NUQ9	Q9NUQ9				4.86598e+06
Q9NX62	Q9NX62				5.53873e+07
Q9NY15	Q9NY15				1.0613e+06
Q9NY33;Q9NY33-2;Q9NY33-4	Q9NY33;Q9NY33-2;Q9NY33-4				1.10966e+06
Q9NY47;Q9NY47-2;Q9NY47-3;Q9NY47-4;Q9NY47-5	Q9NY47;Q9NY47-2;Q9NY47-3;Q9NY47-4;Q9NY47-5				5.5192e+06
Q9NY72	Q9NY72				5.21637e+06
Q9NY97;Q9NY97-2	Q9NY97;Q9NY97-2				1.69016e+07
Q9NYQ8	Q9NYQ8				2.34144e+07
Q9NYU2;Q9NYU2-2	Q9NYU2;Q9NYU2-2				62101.5
Q9NYX4	Q9NYX4				1.41678e+07
Q9NZ08;Q9NZ08-2	Q9NZ08;Q9NZ08-2				1.50754e+06
Q9NZ53	Q9NZ53				1.63914e+07
Q9NZ72;Q9NZ72-2	Q9NZ72;Q9NZ72-2				1.24659e+06
Q9NZ94;Q9NZ94-2;Q9NZ94-3	Q9NZ94;Q9NZ94-2;Q9NZ94-3				713804
Q9NZC2;Q9NZC2-2;Q9NZC2-3	Q9NZC2;Q9NZC2-2;Q9NZC2-3				6.86317e+06
Q9NZK5	Q9NZK5				7.40121e+06
Q9NZP8	Q9NZP8				6.30946e+07
Q9NZR2	Q9NZR2				3.68282e+06
Q9NZU1	Q9NZU1				1.14342e+06
Q9P0K1;Q9P0K1-2;Q9P0K1-3;Q9P0K1-4;Q9P0K1-5	Q9P0K1;Q9P0K1-2;Q9P0K1-3;Q9P0K1-4;Q9P0K1-5				5.46696e+07
Q9P0K9	Q9P0K9				1.22845e+07
Q9P0L0;Q9P0L0-2	Q9P0L0;Q9P0L0-2				5.2645e+06
Q9P121-4	Q9P121;Q9P121-3;Q9P121-2;Q9P121-4				1.0306e+08
Q9P232	Q9P232				3.43345e+06
Q9P2E7;Q9P2E7-2	Q9P2E7;Q9P2E7-2				1.06107e+07
Q9P2S2	P58401;Q9P2S2				4.0124e+07
Q9UBG0	Q9UBG0				1.30488e+06
Q9UBP4	Q9UBP4				6.60784e+08
Q9UBQ6	Q9UBQ6				7.44799e+07
Q9UBR2	Q9UBR2				2.74805e+07
