Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D11_129188366_repeat.mzML
O15230	O15230				3.99167e+06
O15232;O15232-2	O15232;O15232-2				3.1938e+06
O15240	O15240				3.18908e+08
O15335	O15335				6.87941e+06
O15354	O15354				3.19341e+07
O15394	O15394;O15394-2				3.87257e+07
O15400;O15400-2	O15400;O15400-2				1.6842e+06
O15466;O15466-2	O15466;O15466-2				2.9719e+06
O15540;O15540-2	O15540;O15540-2				6.12685e+06
O43155	O43155				890409
O43157	O43157;O43157-2;O43157-3				6.30103e+06
O43173	O43173				4.88067e+06
O43240	O43240				1.58942e+06
O43278;O43278-2	O43278;O43278-2				2.99171e+06
O43286	O43286				3.03019e+06
O43291	O43291				1.06178e+07
O43300	O43300				5.63385e+07
O43405	O43405;O43405-2				4.70216e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				4.57358e+07
O43504	O43504				734419
O43505	O43505				9.66201e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.50998e+06
O43529	O43529				1.42467e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.24582e+07
O43567	O43567				6.71932e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.21716e+06
O43707;Q9H254;Q9H254-2;Q9H254-4	O43707;Q9H254;Q9H254-2;Q9H254-4				47255.9
O43736;O43736-2	O43736;O43736-2				1.01458e+06
O43827	O43827				1.95457e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.84397e+06
O43854;O43854-2	O43854;O43854-2				586805
O43866	O43866				6.0855e+06
O43897;O43897-2	O43897;O43897-2				1.43156e+06
O43909	O43909				825329
O43916	O43916				1.2663e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.71113e+07
O60242	O60242				2.35962e+06
O60243	O60243				2.88959e+06
O60245;O60245-2	O60245;O60245-2				4.66513e+06
O60279	O60279				2.93706e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				3.89263e+06
O60361	P22392;O60361;P22392-2				880495
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				2.23504e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.85675e+07
O60476	O60476				4.50105e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				785936
O60512	O60512				3.27368e+06
O60565	O60565				764402
O60568	O60568				1.41981e+07
O60613	O60613				2.85578e+06
O60883	O60883				9.37303e+07
O60888-3	O60888;O60888-2;O60888-3				5.58174e+07
O60939	O60939				4.66586e+06
O75051;O75051-2	O75051;O75051-2				1.41719e+06
O75063	O75063				3.66834e+06
O75071	O75071				1.02831e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				8.28918e+06
O75078	O75078;O75078-2				6.94335e+06
O75083	O75083;O75083-3				1.90291e+06
O75084;Q14332	O75084;Q14332				809463
O75129;O75129-2;O75129-3;O75129-4;O75129-6	O75129;O75129-2;O75129-3;O75129-4;O75129-6				1.25513e+06
O75144;O75144-2	O75144;O75144-2;O75144-3				2.56469e+07
O75173;O75173-2	O75173;O75173-2				9.24445e+06
O75223	O75223				1.64987e+06
O75326	O75326;O75326-2				7.7897e+07
O75347;O75347-2	O75347;O75347-2				2.11748e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.24202e+06
O75368	O75368				3.09783e+06
O75467;Q6AW86	O75467;Q6AW86				5.64399e+06
O75487	O75487;O75487-2				2.14472e+06
O75493	O75493				1.32885e+07
O75503	O75503				5.72787e+06
O75509	O75509				3.04182e+07
O75629	O75629				3.30251e+06
O75636;O75636-2	O75636;O75636-2				1.85431e+06
O75711	O75711				4.67937e+08
O75752	O75752				7.99724e+06
O75781;O75781-2	O75781;O75781-2				4.61754e+06
O75787;O75787-2	O75787;O75787-2				3.56313e+07
O75828	O75828				3.43725e+06
O75874	O75874				2.41373e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.38152e+07
O75973	O75973				932025
O75976	O75976				2.22883e+06
O76061	O76061				5.13818e+06
O76070	O76070				3.40395e+06
O94760	O94760;O94760-2				1.07767e+07
O94766	O94766;Q9NPZ5				2.34761e+06
O94769	O94769;O94769-2				1.78765e+07
O94772;O94772-2	O94772;O94772-2				1.33818e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				1.31705e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.28349e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				2.63458e+06
O94898	O94898				207941
O94910	O94910;O94910-2				1.46451e+07
O94919	O94919				6.15951e+07
O94923	O94923				303439
O94933	O94933				1.92239e+06
O94973;O94973-2	O94973;O94973-2				1.05447e+06
O94985	O94985				2.83898e+06
O94985-2	O94985;O94985-2				4.34443e+08
O94991	O94991;O94991-2				7.62018e+06
O95084;O95084-2	O95084;O95084-2				1.81733e+06
O95157	O95157				4.99951e+06
O95158	O95158				2.61651e+07
O95159	O95159				1.81471e+06
O95185;O95185-2	O95185;O95185-2				4.7727e+06
O95196;O95196-2	O95196;O95196-2				1.1486e+07
O95206;O95206-2	O95206;O95206-2				5.57477e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				435140
O95336	O95336				301028
O95390	O95390				4.07761e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				7.5353e+06
O95445	O95445;O95445-2				6.76382e+07
O95450;O95450-2	O95450;O95450-2				2.42932e+06
O95467	O95467				4.49378e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.6939e+06
O95497	O95497				626856
O95502	O95502				2.06193e+08
O95633;O95633-2	O95633;O95633-2				3.55398e+06
O95841	O95841				1.65027e+06
O95865	O95865				1.18727e+06
O95881	O95881				444332
O95897	O95897				2.33628e+06
O95967	O95967				1.67029e+07
O95970;O95970-3	O95970;O95970-3				1.08822e+06
O95998	O95998;O95998-4				5.69968e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				1.42351e+07
P00352	P00352				937849
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.27937e+06
P00441	P00441				5.53281e+08
P00450	P00450				2.15316e+08
P00488	P00488				1.06864e+06
P00492	P00492				2.90359e+06
P00505	P00505;P00505-2				1.15281e+07
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				2.15833e+06
P00558	P00558;P00558-2				1.26076e+07
P00734	P00734				9.13916e+07
P00736	P00736				1.2595e+08
P00738	P00738;P00738-2				3.13319e+08
P00739	P00739;P00739-2				1.76967e+08
P00740;P00740-2	P00740;P00740-2				3.85392e+06
P00742	P00742				3.79495e+07
P00746	P00746				3.73752e+07
P00747	P00747				1.06123e+08
P00748	P00748				2.28249e+07
P00751	P00751;P00751-2				1.35183e+08
P00813	P00813				389032
P01008	P01008				3.91835e+08
P01009	P01009;P01009-2;P01009-3				3.8539e+09
P01011	P01011				2.05113e+09
P01019	P01019				1.27556e+09
P01023	P01023				6.84537e+08
P01024	P01024				8.79845e+08
P01031	P01031				2.31164e+07
P01033	P01033				6.66567e+07
P01034	P01034				2.7008e+09
P01042	P01042;P01042-2;P01042-3				2.52979e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.06697e+08
P01127;P01127-2	P01127;P01127-2				4.8255e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				1.06131e+06
P01210	P01210				1.9075e+08
P01213	P01213				8.6792e+06
P01236	P01236				1.46292e+06
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				2.35622e+06
P01282;P01282-2	P01282;P01282-2				1.69057e+06
P01303	P01303				1.43649e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				7.45221e+07
P01591	P01591				9.14192e+06
P01593;P01594	P01593;P01594				5.72306e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				5.15036e+07
P01599	P01599;A0A0C4DH72				4.59218e+06
P01602	P01602				9.6252e+06
