Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F12_190100162.mzML
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.14216e+07
O60242	O60242				1.9732e+06
O60243	O60243				5.88988e+06
O60245;O60245-2	O60245;O60245-2				4.64894e+06
O60279	O60279				5.18204e+07
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				7.43528e+06
O60476	O60476				2.76305e+06
O60512	O60512				4.97732e+06
O60565	O60565				487022
O60568	O60568				3.37851e+06
O60613	O60613				2.84247e+06
O60883	O60883				1.17231e+08
O60888-3	O60888;O60888-2;O60888-3				2.74651e+07
O75063	O75063				2.88455e+06
O75071	O75071				1.15017e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.60427e+06
O75078	O75078;O75078-2				7.06728e+06
O75083	O75083;O75083-3				2.6968e+06
O75084;Q14332	O75084;Q14332				764554
O75144;O75144-2	O75144;O75144-2;O75144-3				2.72807e+07
O75173;O75173-2	O75173;O75173-2				1.30327e+07
O75326	O75326;O75326-2				7.02643e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.65891e+06
O75368	O75368				2.45367e+06
O75493	O75493				2.90309e+07
O75503	O75503				5.92291e+06
O75509	O75509				2.04182e+07
O75629	O75629				1.2193e+06
O75636;O75636-2	O75636;O75636-2				1.61894e+07
O75711	O75711				4.61932e+08
O75752	O75752				8.1101e+06
O75787;O75787-2	O75787;O75787-2				6.80295e+07
O75874	O75874				1.24191e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.01809e+07
O75973	O75973				1.9695e+06
O75976	O75976				5.51737e+06
O76061	O76061				1.44894e+07
