Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_C7_CSF_381-14.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.29951e+08
A0A075B6H9	A0A075B6H9				1.58922e+07
A0A075B6I0	A0A075B6I0				2.63666e+07
A0A075B6I1	A0A075B6I1				6.96172e+06
A0A075B6J1	A0A075B6J1				4.10022e+06
A0A075B6J9	A0A075B6J9				3.71773e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.39865e+06
A0A075B6K5	A0A075B6K5				1.28982e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.26808e+08
A0A075B6R2	A0A075B6R2				1.02634e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.966e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.67786e+08
A0A075B6S5	A0A075B6S5				3.00714e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.16156e+06
A0A087WSY6	A0A087WSY6				1.2137e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.8969e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.86691e+08
A0A0A0MS15	A0A0A0MS15				1.4578e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				650023
A0A0A0MT89	A0A0A0MT89				4.71202e+06
A0A0B4J1U7	A0A0B4J1U7				1.21082e+07
A0A0B4J1V0	A0A0B4J1V0				2.28058e+06
A0A0B4J1V2	A0A0B4J1V2				1.46924e+06
A0A0B4J1X5	A0A0B4J1X5				2.52572e+07
A0A0B4J1Y8	A0A0B4J1Y8				8.7676e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.11888e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.9303e+07
A0A0C4DH24	A0A0C4DH24				1.14069e+07
A0A0C4DH25	A0A0C4DH25				1.34599e+07
A0A0C4DH31	A0A0C4DH31				2.75492e+06
A0A0C4DH33	A0A0C4DH33				681824
A0A0C4DH34	A0A0C4DH34				1.15109e+07
A0A0C4DH35	A0A0C4DH35				4.079e+06
A0A0C4DH36	A0A0C4DH36				7.06346e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.31767e+07
A0A0C4DH43	A0A0C4DH43				1.95777e+07
A0A0C4DH67	A0A0C4DH67				4.75386e+07
A0A0J9YX35	A0A0J9YX35				1.27522e+07
A0A0J9YXX1	A0A0J9YXX1				2.87285e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.49346e+08
A1L4H1	A1L4H1				1.47935e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				632028
A6NGN9	A6NGN9				4.35879e+06
