Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B7_CSF_496-15.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.75125e+08
A0A075B6H9	A0A075B6H9				1.00179e+07
A0A075B6I0	A0A075B6I0				2.29223e+07
A0A075B6I1	A0A075B6I1				5.74046e+06
A0A075B6J1	A0A075B6J1				1.5596e+06
A0A075B6J9	A0A075B6J9				1.26058e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				830827
A0A075B6K5	A0A075B6K5				5.02572e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.043e+08
A0A075B6R2	A0A075B6R2				1.22521e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.56901e+07
A0A075B6S2	A0A075B6S2				1.28296e+06
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.9168e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.36206e+07
A0A087WSY6	A0A087WSY6				1.08868e+08
A0A087WW87;P01614	P01614;A0A087WW87				3.98527e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.44707e+08
A0A0A0MS15	A0A0A0MS15				1.94853e+07
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26				6.07491e+06
A0A0A0MT89	A0A0A0MT89				7.03964e+06
A0A0B4J1U7	A0A0B4J1U7				9.34098e+07
A0A0B4J1V0	A0A0B4J1V0				2.61783e+08
A0A0B4J1V2	A0A0B4J1V2				2.67458e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.96325e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.27174e+07
A0A0B4J1Y9	A0A0B4J1Y9				3.8773e+06
A0A0C4DH25	A0A0C4DH25				3.12497e+07
A0A0C4DH30	A0A0C4DH30				351208
A0A0C4DH33	A0A0C4DH33				748181
A0A0C4DH34	A0A0C4DH34				3.62738e+06
