Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A8_CSF_471-12.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.88986e+08
A0A075B6H9	A0A075B6H9				1.79159e+07
A0A075B6I0	A0A075B6I0				3.1726e+07
A0A075B6I1	A0A075B6I1				2.78486e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				361051
A0A075B6J9	A0A075B6J9				2.21163e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.96262e+06
A0A075B6K5	A0A075B6K5				5.81196e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.43991e+08
A0A075B6R2	A0A075B6R2				4.53687e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.69432e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.28122e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.53978e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.79801e+06
A0A087WSY6	A0A087WSY6				9.33238e+07
A0A087WW87;P01614	P01614;A0A087WW87				3.89344e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.65248e+08
A0A0A0MS15	A0A0A0MS15				1.8036e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.55957e+06
A0A0A0MT89	A0A0A0MT89				4.68188e+06
A0A0B4J1U7	A0A0B4J1U7				4.15304e+07
A0A0B4J1V0	A0A0B4J1V0				1.48995e+08
A0A0B4J1V2	A0A0B4J1V2				9.90263e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.4169e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.32562e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.0804e+06
A0A0C4DH24	A0A0C4DH24				4.10534e+06
A0A0C4DH25	A0A0C4DH25				4.02006e+07
A0A0C4DH30	A0A0C4DH30				496444
A0A0C4DH33	A0A0C4DH33				3.13978e+06
A0A0C4DH34	A0A0C4DH34				9.09196e+06
A0A0C4DH36	A0A0C4DH36				4.53411e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				7.04708e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				4.93342e+07
A0A0C4DH67	A0A0C4DH67				3.21156e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				3.12076e+07
A0A0J9YX35	A0A0J9YX35				1.17305e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				8.99977e+08
A1L4H1	A1L4H1				1.69563e+06
A2RU67	A2RU67				192283
A5D6W6	A5D6W6				677760
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				998609
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				597995
A6NGN9	A6NGN9				5.29182e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.36542e+06
A6NL88	A6NL88				1.66429e+06
A6NLU5	A6NLU5				8.44164e+06
A8MTW9	A8MTW9				2.98628e+06
B9A064;P0DOX8	B9A064;P0DOX8				1.46624e+09
C9JVW0	C9JVW0				2.86778e+06
I3L3R5	I3L3R5				712683
O00115;O00115-2	O00115;O00115-2				3.21613e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.04594e+07
O00187;O00187-2	O00187;O00187-2				995816
O00264	O00264;O15173;O15173-2				1.62808e+06
O00299	O00299				715564
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.17014e+06
O00391	O00391;O00391-2				1.09013e+07
O00451	O00451;O00451-2;O00451-3				7.78511e+06
O00461	O00461				2.72823e+06
O00462	O00462				6.2252e+06
O00468-6	O00468-6;O00468-7				8.07323e+06
O00533	O00533;O00533-2				1.00921e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.02167e+06
O00567	O00567				91214.6
O00584	O00584				7.30293e+06
O00754;O00754-2	O00754;O00754-2				1.70724e+06
O14498	O14498				2.66832e+07
O14514	O14514				2.24791e+06
O14522	O14522;O14522-1				1.16094e+06
O14594	O14594				1.37972e+07
O14668;O14668-2	O14668;O14668-2				1.8332e+06
O14672	O14672				2.56054e+06
O14737;O14737-2	O14737;O14737-2				27625
O14745	O14745				80280.4
O14773	O14773				4.95746e+06
O14786	O14786;O14786-2;O14786-3				4.41137e+06
O14791-2	O14791;O14791-2;O14791-3				2.01871e+07
O14793	O14793				1.32222e+06
O14917;O14917-2	O14917;O14917-2				1.51384e+06
O14960	O14960				1.32183e+06
O15031	O15031				7.35079e+06
O15041;O15041-2	O15041;O15041-2				234290
O15197;O15197-3	O15197;O15197-3				2.27126e+06
O15230	O15230				3.26037e+06
O15232;O15232-2	O15232;O15232-2				1.61651e+06
O15240	O15240				1.13785e+08
O15335	O15335				1.28981e+06
O15354	O15354				1.62209e+07
O15394	O15394;O15394-2				2.33896e+07
O15400;O15400-2	O15400;O15400-2				311760
O15466;O15466-2	O15466;O15466-2				1.23497e+06
O15540;O15540-2	O15540;O15540-2				1.23241e+06
O43155	O43155				1.36202e+06
O43157	O43157;O43157-2;O43157-3				1.65104e+06
O43173	O43173				1.73696e+06
O43240	O43240				900310
O43278;O43278-2	O43278;O43278-2				1.09969e+06
O43286	O43286				1.94e+06
O43291	O43291				4.68953e+06
O43300	O43300				987442
O43405;O43405-2	O43405;O43405-2				6.98794e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.576e+07
O43505	O43505				1.66363e+08
O43508	O43508;O43508-2				576937
O43508-2	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				533973
O43529	O43529				4.01936e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.5627e+06
O43567	O43567				3.24958e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.0731e+06
O43827	O43827				3.81392e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				594510
O43854;O43854-2	O43854;O43854-2				162354
O43866	O43866				3.83257e+06
O43897;O43897-2	O43897;O43897-2				1.41127e+06
O43909	O43909				250290
O43916	O43916				106546
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.07813e+07
O60242	O60242				1.21061e+06
O60243	O60243				1.40451e+06
O60245;O60245-2	O60245;O60245-2				1.75362e+06
O60279	O60279				8.50337e+06
O60330;O60330-2	O60330;O60330-2				438483
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				303949
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				2.28697e+06
O60476	O60476				808778
O60477;O60477-3	O60477;Q76B58;O60477-3;Q76B58-2				73566.1
O60565	O60565				321373
O60568	O60568				2.03381e+06
O60613	O60613				1.61759e+06
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;Q5QNW6-2				923570
O60883	O60883				5.25004e+07
O60888-3	O60888;O60888-2;O60888-3				3.12142e+07
O60939	O60939				886538
O75019;O75019-2	O75019;O75019-2				937093
O75063	O75063				1.75241e+06
O75071	O75071				4.11182e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.134e+06
O75078	O75078;O75078-2				2.06054e+06
