Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A2_CSF_248-15.mzML
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.60847e+06
O43529	O43529				3.97486e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.42608e+07
O43567	O43567				4.17538e+06
O43736;O43736-2	O43736;O43736-2				37984.3
O43827	O43827				2.50612e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.07888e+06
O43854;O43854-2	O43854;O43854-2				140966
O43866	O43866				2.00901e+06
O43897;O43897-2	O43897;O43897-2				1.46836e+06
O43909	O43909				474462
O43916	O43916				1.5157e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				6.38938e+06
O60242	O60242				1.68353e+06
O60243	O60243				4.65335e+06
O60245;O60245-2	O60245;O60245-2				4.14126e+06
O60279	O60279				2.22496e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				117109
O60294	O60294				758247
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.00485e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.64968e+06
O60476	O60476				4.01084e+06
O60477	O60477;O60477-3				293677
O60565	O60565				285395
O60568	O60568				3.17659e+06
O60613	O60613				935071
O60883	O60883				9.5399e+07
O60888-3	O60888;O60888-2;O60888-3				5.37853e+07
O60939	O60939				3.43792e+06
O75051;O75051-2	O75051;O75051-2				409661
O75063	O75063				2.61251e+06
O75071	O75071				5.97256e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.55315e+06
O75078	O75078;O75078-2				5.44522e+06
O75083	O75083;O75083-3				2.63362e+06
O75084;Q14332	O75084;Q14332				459096
O75144;O75144-2	O75144;O75144-2;O75144-3				3.54177e+07
O75173;O75173-2	O75173;O75173-2				8.21404e+06
O75223	O75223;O75223-3				1.64905e+06
O75326	O75326;O75326-2				3.46826e+07
O75347;O75347-2	O75347;O75347-2				1.39251e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				665646
O75368	O75368				1.77232e+06
O75487;O75487-2	O75487;O75487-2				972901
O75493	O75493				4.72517e+06
O75503	O75503				2.67717e+06
O75509	O75509				2.46392e+07
O75594	O75594				128472
O75629	O75629				1.50637e+06
O75636;O75636-2	O75636;O75636-2				842482
O75711	O75711				1.64256e+08
O75752	O75752				6.27951e+06
O75781;O75781-2	O75781;O75781-2				3.5131e+06
O75787;O75787-2	O75787;O75787-2				2.348e+07
O75874	O75874				760650
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				9.19417e+06
O75973	O75973				567714
O75976	O75976				1.61715e+06
O76061	O76061				4.86054e+06
O76070	O76070				2.93169e+06
O94760	O94760;O94760-2				9.49725e+06
O94766	O94766;Q9NPZ5				2.2461e+06
O94769;O94769-2	O94769;O94769-2				7.32589e+06
O94772;O94772-2	O94772;O94772-2				9.07464e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				1.07602e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.12606e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				3.20339e+06
O94910	O94910;O94910-2				8.03111e+06
O94919	O94919				2.45237e+07
O94933	O94933				527175
O94973;O94973-2	O94973;O94973-2				191528
O94985	O94985				2.2488e+06
O94985-2	O94985;O94985-2				1.7563e+08
O94991	O94991;O94991-2				4.31579e+06
O95084;O95084-2	O95084;O95084-2				1.43329e+06
O95156	O95156				678341
O95157	O95157				3.305e+06
O95158	O95158				1.7326e+07
O95164	O95164				214174
O95185;O95185-2	O95185;O95185-2				4.43515e+06
O95196;O95196-2	O95196;O95196-2				7.23595e+06
O95206;O95206-2	O95206;O95206-2				6.20071e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.32994e+06
O95390	O95390				2.76081e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				6.82433e+06
O95445	O95445;O95445-2				9.89749e+06
O95450;O95450-2	O95450;O95450-2				1.75428e+06
O95467	O95467				1.71562e+06
O95479;O95479-2	O95479;O95479-2				126302
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				413628
O95497	O95497				905650
O95502	O95502				8.04698e+07
O95633;O95633-2	O95633;O95633-2				3.05215e+06
O95841	O95841				159202
O95865	O95865				1.05808e+06
O95967	O95967				7.87264e+06
O95970;O95970-3	O95970;O95970-3				237802
O95980	O95980				8.3628e+06
O95998	O95998;O95998-4				1.47912e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				1.83783e+07
P00352	P00352				608328
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.85916e+06
P00441	P00441				2.39273e+08
P00450	P00450				1.64088e+08
P00488	P00488				3.04127e+06
P00492	P00492				2.43244e+06
P00505	P00505;P00505-2				5.27976e+06
P00533;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				897384
P00558	P00558;P00558-2				1.3496e+07
P00734	P00734				2.77898e+07
P00736	P00736				1.01431e+08
P00738	P00738;P00738-2				6.08609e+08
P00739	P00739;P00739-2				4.45773e+08
P00740;P00740-2	P00740;P00740-2				7.33185e+06
P00742	P00742				8.82619e+06
P00746	P00746				3.63681e+07
P00747	P00747				1.36869e+08
P00748	P00748				2.76981e+07
P00751	P00751;P00751-2				1.12963e+08
P00915	P00915				2.91726e+06
P01008	P01008				2.86181e+08
P01009	P01009;P01009-2;P01009-3				1.93804e+09
P01011	P01011				7.47593e+08
P01019	P01019				3.08577e+08
P01023	P01023;P20742;P20742-2				3.40698e+08
P01024	P01024				9.6728e+08
P01031	P01031				2.07041e+07
P01033	P01033				5.96456e+07
P01034	P01034				2.73051e+09
P01036;P01037	P01036;P01037				1.62898e+06
P01040	P01040				7.77479e+06
P01042	P01042;P01042-2;P01042-3				1.7936e+08
P01042-2;P01042-3	P01042-2;P01042-3				1.06499e+08
P01127;P01127-2	P01127;P01127-2				3.36402e+07
P01210	P01210				9.34078e+07
P01213	P01213				4.93812e+06
P01236	P01236				260228
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.21899e+06
P01282;P01282-2	P01282;P01282-2				1.1124e+06
P01303	P01303				1.4504e+07
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.33762e+07
P01591	P01591				1.28297e+07
P01593;P01594	P01593;P01594				3.96533e+07
P01602	P01602				1.37292e+07
P01619	P01619				2.68506e+08
P01700	P01700				4.26417e+07
P01701	P01701				2.71276e+07
P01705	P01705				1.01582e+06
P01709	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				1.65104e+07
P01714	P01714				5.6276e+06
P01717	P01717				3.50703e+07
P01721	P01721				2.78373e+06
P01742	P01742				5.81306e+06
P01743	P01743				333165
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				9.92562e+06
P01780	P01780				1.10302e+08
P01817	P01817				4.05791e+06
P01833	P01833				3.55072e+06
P01834	P01834				1.83632e+08
P01859;P01859-1	P01859;P01859-1				6.52613e+08
P01860;P01860-1	P01860;P01860-1				5.39737e+07
P01861;P01861-1	P01861;P01861-1				8.95443e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				2.26572e+07
P01876;P01876-1	P01876;P01876-1				5.87893e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				2.34303e+06
P01903	P01903;P01906				1.07471e+06
P01911	P01911;P04440				1.62741e+06
P02042	P02042				3.38684e+06
P02144	P02144				2.07178e+06
P02452	P02452				2.80102e+07
P02461	P02461;P02461-2				7.42983e+06
P02462	P02462				3.28565e+07
P02533	P02533;P08727;P08779;P19012;Q04695;P19012-2				1.17019e+07
P02538	O95678;P02538;P48668				2.42576e+07
P02647	P02647				2.90099e+09
P02649	P02649				3.14313e+09
P02652	P02652				6.09264e+08
P02654	P02654				9.6038e+07
P02655	P02655				8.98407e+06
P02656	P02656				1.69229e+08
P02671	P02671;P02671-2				1.91092e+08
P02675	P02675				8.12519e+07
P02679;P02679-2	P02679;P02679-2				7.25114e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				296340
P02741	P02741				669755
P02743	P02743				7.54416e+06
P02745	P02745				8.08047e+07
P02746	P02746				1.91563e+08
P02747	P02747				2.35034e+08
P02748	P02748				1.89627e+07
P02749	P02749				2.92478e+07
P02750	P02750				5.42844e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				3.76614e+08
P02753	P02753				3.11249e+08
P02760	P02760				6.27698e+07
P02763	P02763				1.38524e+09
P02765	P02765				4.22434e+08
P02766	P02766				3.94419e+09
P02768	P02768				1.40334e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				4.99899e+08
P02786	P02786				1.09933e+06
P02787	P02787				3.8354e+09
P02788;P02788-2	P02788;P02788-2				4.85072e+06
P02790	P02790				2.07944e+09
P02792	P02792				2.70714e+06
P02794	P02794				2.64712e+06
P03950	P03950				2.36586e+06
P03951;P03951-2	P03951;P03951-2				3.9829e+06
P03952	P03952				8.65341e+06
P04003	P04003				6.3409e+06
P04004	P04004				6.46698e+08
P04040	P04040				814497
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				3.20813e+06
P04066	P04066				1.12569e+07
P04070;P04070-2	P04070;P04070-2				5.22486e+06
P04075	P04075;P04075-2				5.82149e+07
P04080	P04080				3.95446e+06
P04085;P04085-2	P04085;P04085-2				1.2561e+07
P04114	P04114				2.99725e+07
P04156	P04156				3.32148e+08
P04179	P04179;P04179-2;P04179-3;P04179-4				1.31864e+07
P04180	P04180				3.03147e+07
P04196	P04196				7.02435e+07
P04211	P04211;A0A075B6I9				1.82116e+07
P04216	P04216				5.40886e+08
P04217	P04217;P04217-2				3.13225e+08
P04217-2	P04217-2				5.554e+06
P04259	P04259;P48668				608494
P04264	P04259;P04264				3.37038e+08
P04271	P04271				691035
P04275	P04275				3.94204e+06
P04278	P04278;P04278-2;P04278-3;P04278-4;P04278-5				2.10879e+06
P04350;P07437;P68371	P04350;P07437;P68371				199843
P04406	P04406;P04406-2				1.87245e+07
P04424;P04424-2;P04424-3	P04424;P04424-2;P04424-3				461201
P04439;P04439-2	P01893;P04439;P04439-2				1.34714e+06
P04792	P04792				1.29768e+06
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				705516
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				386181
P05026;P05026-2	P05026;P05026-2				1.36889e+06
P05060	P05060				5.30148e+08
