Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E8_CSF_693.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.75087e+08
A0A075B6I0	A0A075B6I0				3.62632e+07
A0A075B6I9	A0A075B6I9				3.43386e+07
A0A075B6J1	A0A075B6J1				3.81453e+06
A0A075B6J9	A0A075B6J9				1.57653e+07
A0A075B6K0;A0A075B6K4	A0A075B6K0;A0A075B6K4				1.01918e+06
A0A075B6K2	A0A075B6K2				2.34585e+06
A0A075B6K5	A0A075B6K5				4.76932e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				6.86155e+07
A0A075B6R2	A0A075B6R2				8.9704e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.93193e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.06525e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.31668e+07
A0A075B6S6	A0A075B6S6				273794
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.10792e+06
A0A087WSY4	A0A087WSY4				1.03065e+07
A0A087WSY6	A0A087WSY6				1.14505e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.0632e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.91229e+08
A0A0A0MS15	A0A0A0MS15				7.94228e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				878400
A0A0A0MT89	A0A0A0MT89				2.44797e+07
A0A0B4J1U7	A0A0B4J1U7				5.90481e+06
A0A0B4J1V0	A0A0B4J1V0				1.38291e+08
A0A0B4J1V2	A0A0B4J1V2				1.96607e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.04644e+08
A0A0B4J1Y8	A0A0B4J1Y8				3.4108e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				3.23547e+07
A0A0C4DH24	A0A0C4DH24				4.30486e+06
A0A0C4DH25	A0A0C4DH25				1.67321e+07
A0A0C4DH31	A0A0C4DH31				1.06156e+06
A0A0C4DH33	A0A0C4DH33				814500
A0A0C4DH34	A0A0C4DH34				6.58688e+06
A0A0C4DH35	A0A0C4DH35				7.97101e+06
A0A0C4DH36	A0A0C4DH36				3.15587e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.27931e+07
A0A0C4DH43	A0A0C4DH43				8.74813e+06
A0A0C4DH67	A0A0C4DH67;A0A0C4DH69				1.89903e+06
A0A0J9YX35	A0A0J9YX35				1.33215e+07
A0A0J9YXX1	A0A0J9YXX1				3.4317e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.28104e+08
A1L4H1	A1L4H1				1.09488e+06
A5D6W6	A5D6W6				502325
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.2704e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				689623
A6NGN9	A6NGN9				4.24683e+06
A6NL88	A6NL88				1.25741e+06
A6NLU5	A6NLU5				6.40605e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				197326
A8MTW9	A8MTW9				1.6214e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				1.63037e+06
C9JVW0	C9JVW0				4.46162e+06
I3L3R5	I3L3R5				628694
O00115;O00115-2	O00115;O00115-2				884724
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.06285e+07
O00187;O00187-2	O00187;O00187-2				1.48366e+06
O00264	O00264;O15173;O15173-2				804964
O00299	O00299				479634
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.24959e+06
O00391	O00391;O00391-2				1.03515e+07
O00451	O00451;O00451-2;O00451-3				7.85647e+06
O00461	O00461				2.09913e+06
O00462	O00462				3.54959e+06
O00468-6	O00468-6;O00468-7				1.16666e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				81798.4
O00533	O00533				3.24477e+06
O00533-2	O00533;O00533-2				1.13598e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				806867
O00567	O00567				130498
O00584	O00584				1.27112e+07
O00754;O00754-2	O00754;O00754-2				1.5395e+06
O14498	O14498				1.82035e+07
O14514	O14514				665765
O14522;O14522-1	O14522;O14522-1				149696
O14594	O14594				5.89761e+07
O14668;O14668-2	O14668;O14668-2				1.0383e+06
O14672	O14672				2.20267e+06
O14773	O14773				4.64304e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				4.25819e+06
O14791-2	O14791;O14791-2;O14791-3				3.64203e+07
O14793	O14793				1.29723e+06
O14917;O14917-2	O14917;O14917-2				1.26036e+06
O14960	O14960				315614
O15031	O15031				4.46799e+06
O15197;O15197-3	O15197;O15197-3				2.3874e+06
O15204;O15204-2	O15204;O15204-2				815616
O15230	O15230				2.72032e+06
O15232;O15232-2	O15232;O15232-2				789081
O15240	O15240				9.02653e+07
O15335	O15335				2.15045e+06
O15354	O15354				1.46014e+07
O15394	O15394;O15394-2				1.65622e+07
O15466;O15466-2	O15466;O15466-2				587303
O15540;O15540-2	O15540;O15540-2				498468
O43157	O43157;O43157-2;O43157-3				2.10722e+06
O43173	O43173				766457
O43240	O43240				175586
O43278;O43278-2	O43278;O43278-2				670476
O43286	O43286				644189
O43291	O43291				4.76121e+06
O43300	O43300				588138
O43405;O43405-2	O43405;O43405-2				1.3441e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				1.19117e+07
O43505	O43505				2.12728e+08
O43508	O43508				463221
O43529	O43529				2.9874e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				4.69388e+06
O43567	O43567;O43567-2				867350
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				359311
O43827	O43827				2.69395e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				503659
O43854;O43854-2	O43854;O43854-2				104198
O43866	O43866				2.39426e+06
O43897;O43897-2	O43897;O43897-2				1.01443e+06
O43916	O43916				76437.6
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				4.70267e+06
O60242	O60242				373763
O60243	O60243				461335
O60245;O60245-2	O60245;O60245-2				1.95108e+06
O60279	O60279				8.33774e+06
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.56033e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				340310
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				2.2971e+06
O60476	O60476				1.51818e+06
O60565	O60565				324191
O60568	O60568				1.61101e+06
O60613	O60613				305300
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;Q5QNW6-2				3.38003e+06
O60883	O60883				8.06126e+07
O60888-3	O60888;O60888-2;O60888-3				3.01729e+07
O60939	O60939				1.60092e+06
O75063	O75063				937059
O75071	O75071				1.82009e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.68047e+06
O75078	O75078;O75078-2				1.74156e+06
O75083;O75083-3	O75083;O75083-3				480123
O75084;Q14332	O75084;Q14332				210020
O75093;O75093-2	O75093;O94813;O75093-2;O94813-2;O94813-3				1.29559e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				7.24918e+06
O75173;O75173-2	O75173;O75173-2				3.86869e+06
O75223	O75223				166245
O75326	O75326;O75326-2				1.29446e+07
O75347	O75347;O75347-2				1.92746e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				874635
O75368	O75368				1.95118e+06
O75493	O75493				2.51802e+06
O75503	O75503				2.54909e+06
O75509	O75509				9.56103e+06
O75594	O75594				162286
O75629	O75629				1.87352e+06
O75636;O75636-2	O75636;O75636-2				671527
O75711	O75711				9.76072e+07
O75752	O75752				2.59729e+06
O75787;O75787-2	O75787;O75787-2				2.61094e+06
O75828	O75828				750150
O75874	O75874				785173
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				7.77816e+06
O75973	O75973				371612
O75976	O75976;O75976-2				399179
O76061	O76061				2.4293e+06
O76070	O76070				546689
O94760	O94760				3.75015e+06
O94766	O94766;Q9NPZ5				6.61643e+06
O94769	O94769;O94769-2				4.77914e+06
O94772;O94772-2	O94772;O94772-2				4.53295e+07
O94779;O94779-2	O94779;O94779-2				266127
O94856;O94856-11;O94856-13;O94856-6;O94856-7	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.30216e+07
O94910;O94910-2	O94910;O94910-2				3.06323e+06
O94919	O94919				1.45444e+07
O94985	O94985				1.5266e+06
O94985-2	O94985;O94985-2				1.31395e+08
O94991	O94991;O94991-2				988903
O95084;O95084-2	O95084;O95084-2				847802
O95157	O95157				349137
O95158	O95158				7.82038e+06
O95185;O95185-2	O95185;O95185-2				1.45191e+06
O95196;O95196-2	O95196;O95196-2				5.34134e+06
O95206;O95206-2	O95206;O95206-2				662844
O95390	O95390				1.23588e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				2.26872e+06
O95445	O95445;O95445-2				2.4284e+07
O95450;O95450-2	O95450;O95450-2				1.11178e+06
O95467	O95467				562512
