Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D2_CSF_398-13.mzML
Q5TAX3;Q5TAX3-2	Q5TAX3;Q5TAX3-2				7.52954e+06
Q5VSG8	Q5VSG8				1.36871e+07
Q5VU97	Q5VU97				7.42826e+06
Q5VUB5	Q5VUB5				2.06649e+06
Q5VV43;Q5VV43-2;Q5VV43-4	Q5VV43;Q5VV43-2;Q5VV43-4				3.28811e+06
Q5VV63	Q5VV63				769393
Q5VWW1;Q5VWW1-2;Q5VWW1-3	Q5VWW1;Q5VWW1-2;Q5VWW1-3				1.92459e+06
Q641Q3;Q641Q3-2	Q641Q3;Q641Q3-2				3.98399e+06
Q658N2	Q658N2				4.96503e+06
Q68BL7;Q68BL7-2;Q68BL7-3	Q68BL7;Q68BL7-2;Q68BL7-3				3.4694e+06
Q68D85	Q68D85				1.08152e+06
Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7	Q6E0U4;Q6E0U4-16;Q6E0U4-2;Q6E0U4-3;Q6E0U4-4;Q6E0U4-5;Q6E0U4-6;Q6E0U4-7				1.35549e+06
Q6EMK4	Q6EMK4				1.23927e+07
Q6FHJ7	Q6FHJ7				9.2464e+06
Q6GTX8;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;Q6ISS4;Q6ISS4-2	Q6GTX8;Q6ISS4;Q6GTX8-2;Q6GTX8-3;Q6GTX8-4;Q6ISS4-2				3.7644e+06
Q6IBS0	Q6IBS0				272087
Q6IEE7	Q6IEE7				1.01549e+06
Q6IS24	Q6IS24				369408
Q6MZW2	Q6MZW2;Q6MZW2-2;Q6MZW2-3				1.18303e+07
Q6NUJ2	Q6NUJ2				1.92985e+06
Q6NW40	Q6NW40				3.4588e+07
Q6P4E1;Q6P4E1-5	Q6P4E1;Q6P4E1-2;Q6P4E1-5				9.57777e+06
Q6P9A2	Q6P9A2				2.80209e+06
Q6PCB0	Q6PCB0				1.2226e+06
Q6PK18	Q6PK18				383480
Q6PUV4	Q6PUV4				1.36517e+06
Q6RVD6	Q6RVD6				1.86355e+06
Q6UVK1	Q6UVK1				4.68591e+06
Q6UVY6;Q6UVY6-2	Q6UVY6;Q6UVY6-2				883733
Q6UW01	Q6UW01				1.57992e+07
Q6UW78	Q6UW78				1.6172e+06
Q6UWH4;Q6UWH4-2	Q6UWH4;Q6UWH4-2;Q6UWH4-3				2.25275e+07
Q6UWP8	Q6UWP8;Q6UWP8-2				598542
Q6UWR7	Q6UWR7				1.41834e+06
Q6UWY5	Q6UWY5				1.3623e+06
Q6UX15;Q6UX15-2	Q6UX15;Q6UX15-2				1.83347e+06
Q6UX71	Q6UX71;Q6UX71-2				4.67746e+07
Q6UX72	Q6UX72				1.36106e+06
Q6UX73;Q6UX73-2	Q6UX73;Q6UX73-2				3.53192e+07
Q6UXB8	Q6UXB8;Q6UXB8-2				1.12839e+07
Q6UXD5-3;Q6UXD5-5	Q6UXD5;Q6UXD5-2;Q6UXD5-3;Q6UXD5-4;Q6UXD5-5;Q6UXD5-6				2.78041e+07
Q6UXF1;Q6UXF1-2	Q6UXF1;Q6UXF1-2				243802
Q6UXH9;Q6UXH9-2	Q6UXH9;Q6UXH9-2;Q6UXH9-3				1.89868e+06
Q6UXI9;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6	Q6UXI9;Q6UXI9-2;Q6UXI9-3;Q6UXI9-4;Q6UXI9-5;Q6UXI9-6				844968
Q6UXK2	Q6UXK2				1.6564e+06
Q6UXK5	Q6UXK5				2.26969e+06
Q6UXZ4;Q6UXZ4-2	Q6UXZ4;Q6UXZ4-2				1.59548e+06
Q6UY14;Q6UY14-2;Q6UY14-3	Q6UY14;Q6UY14-3;Q6UY14-2				420120
Q6YHK3	Q6YHK3;Q6YHK3-2;Q6YHK3-4				4.43849e+06
Q6ZMI3	Q6ZMI3;Q6ZMI3-2				4.98206e+06
Q6ZMP0;Q6ZMP0-2	Q6ZMP0;Q6ZMP0-2;Q6ZMP0-3;Q6ZMP0-4				820982
Q6ZN30;Q6ZN30-2	Q6ZN30;Q6ZN30-2				3.69227e+06
Q6ZN44;Q6ZN44-2	Q6ZN44;Q6ZN44-2				128464
Q6ZRP7	Q6ZRP7				5.83236e+06
Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3	Q6ZSJ9;Q6ZSJ9-2;Q6ZSJ9-3				1.82504e+07
Q6ZVL6	Q6ZVL6;Q6ZVL6-2				5.5231e+06
Q76KP1	Q76KP1				539386
Q7KYR7;Q7KYR7-1;Q7KYR7-4;Q7KYR7-6;Q8WVV5;Q8WVV5-2;Q8WVV5-3	Q7KYR7;Q8WVV5;Q7KYR7-4;Q7KYR7-1;Q7KYR7-5;Q7KYR7-6;Q8WVV5-2;Q8WVV5-3				1.44093e+06
Q7L014	Q7L014				5.31798e+07
Q7L0X0	Q7L0X0				1.76524e+06
Q7L985	Q7L985				7.41552e+06
Q7LFX5	Q7LFX5				4.87369e+06
Q7LGC8	Q7LGC8				1.19135e+06
Q7Z304	Q7Z304				1.06583e+06
Q7Z3B1	Q7Z3B1;Q7Z3B1-2				9.44741e+07
Q7Z3D4	Q7Z3D4				359734
Q7Z553;Q7Z553-3	Q7Z553;Q7Z553-2;Q7Z553-3				2.84552e+06
Q7Z5A7;Q7Z5A7-2	Q7Z5A7;Q7Z5A7-2;Q7Z5A7-3				1.42794e+07
Q7Z5L0	Q7Z5L0				2.8208e+06
Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3	Q7Z5L7;Q7Z5L7-2;Q7Z5L7-3;Q7Z5L7-4				1.33924e+06
Q7Z5N4;Q7Z5N4-3	Q7Z5N4;Q7Z5N4-3				312363
Q7Z794	Q7Z794				1.31082e+06
Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4	Q7Z7G0;Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4				1.93438e+06
Q7Z7H5;Q7Z7H5-3	Q7Z7H5;Q7Z7H5-2;Q7Z7H5-3				1.7051e+06
Q7Z7M0	Q7Z7M0;Q7Z7M0-2				3.37363e+07
Q7Z7M8	Q7Z7M8				56104
Q7Z7M9	Q7Z7M9				5.66423e+06
Q86SF2	Q86SF2				3.843e+06
Q86SJ2	Q86SJ2				291716
Q86SR1	Q86SR1;Q86SR1-2;Q86SR1-3				5.14542e+06
Q86TH1	Q86TH1				272695
Q86TY3;Q86TY3-2	Q86TY3;Q86TY3-2				5.70875e+06
Q86UD1	Q86UD1				7.23062e+06
Q86UN2	Q86UN2				4.63487e+06
Q86UN3	Q86UN3				1.17814e+07
Q86UP0;Q86UP0-2	Q86UP0;Q86UP0-2				5.66193e+06
Q86UW8	Q86UW8				1.25046e+06
Q86UX2	Q86UX2;Q86UX2-2;Q86UX2-3				1.70893e+07
Q86V85	Q86V85				690119
Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4	Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4				8.73628e+06
Q86VR8	Q86VR8				1.71356e+06
Q86VV8;Q86VV8-3	Q86VV8;Q86VV8-2;Q86VV8-4;Q86VV8-3				1.62263e+06
Q86VZ4	Q86VZ4				3.7225e+06
