Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_C3_CSF_974-14.mzML
O43278;O43278-2	O43278;O43278-2				2.21248e+06
O43286	O43286				1.06727e+06
O43291	O43291				6.83786e+06
O43300	O43300				1.48806e+06
O43405;O43405-2	O43405;O43405-2				1.70638e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				2.26543e+07
O43504	O43504				365135
O43505	O43505				3.56898e+08
O43508	O43508;O43508-2				604424
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				760121
O43529	O43529				8.51942e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.16104e+07
O43567	O43567;O43567-2				2.14643e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				608076
O43827	O43827				5.01979e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				365520
O43854;O43854-2	O43854;O43854-2				247790
O43866	O43866				4.14742e+06
O43897;O43897-2	O43897;O43897-2				1.30802e+06
O43909	O43909				247414
O43916	O43916				70493.9
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				4.98418e+06
O60242	O60242				2.88479e+06
O60243	O60243				2.55824e+06
O60245;O60245-2	O60245;O60245-2				2.70009e+06
O60279	O60279				1.4983e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				4.67011e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				474312
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				8.53161e+06
O60476	O60476				2.53635e+06
O60477	O60477;O60477-3				935404
O60512	O60512				443628
O60565	O60565				350551
O60568	O60568				1.96687e+06
O60613	O60613				1.76085e+06
O60883	O60883				8.58875e+07
O60888-3	O60888;O60888-2;O60888-3				4.96603e+07
O60939	O60939				2.3782e+06
O75063	O75063				1.90802e+06
O75071	O75071				4.15922e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.20281e+06
O75078	O75078;O75078-2				2.93833e+06
O75083	O75083;O75083-3				1.48941e+06
O75084;Q14332	O75084;Q14332				677862
O75093	O75093				2.51385e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				1.65572e+07
O75173;O75173-2	O75173;O75173-2				8.3159e+06
O75223	O75223				838820
O75326	O75326;O75326-2				3.30873e+07
O75339	O75339				449127
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				959284
O75368	O75368				4.09457e+06
O75487	O75487;O75487-2				1.48904e+06
O75493	O75493				9.6515e+06
