Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F7_CSF_142.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.36295e+08
A0A075B6H9	A0A075B6H9				1.50813e+07
A0A075B6I0	A0A075B6I0				1.34118e+07
A0A075B6I1	A0A075B6I1				2.51626e+06
A0A075B6I9	A0A075B6I9				1.14197e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.32218e+06
A0A075B6J9	A0A075B6J9				437547
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.40346e+06
A0A075B6K5	A0A075B6K5				3.4039e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				8.33729e+07
A0A075B6R2	A0A075B6R2				4.3903e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.29498e+07
A0A075B6S2	A0A075B6S2;A2NJV5				6.43846e+07
A0A075B6S5	A0A075B6S5				1.91935e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.95843e+06
A0A087WSY4	A0A087WSY4				5.07418e+06
A0A087WSY6	A0A087WSY6				7.75271e+06
A0A087WW87;P01614	P01614;A0A087WW87				946331
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				9.56839e+07
A0A0A0MS15	A0A0A0MS15				3.17063e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				213157
A0A0A0MT89	A0A0A0MT89				4.451e+06
A0A0B4J1U7	A0A0B4J1U7				1.4089e+07
A0A0B4J1V0	A0A0B4J1V0				5.31371e+07
A0A0B4J1V2	A0A0B4J1V2				1.6477e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				5.25759e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.92067e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.54534e+06
