Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D1_CSF_530-13.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.31235e+08
A0A075B6H9	A0A075B6H9				1.12837e+07
A0A075B6I0	A0A075B6I0				2.7245e+07
A0A075B6I1	A0A075B6I1				3.74676e+06
A0A075B6I9	A0A075B6I9				3.40547e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.09122e+06
A0A075B6J9	A0A075B6J9				1.42898e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.08609e+06
A0A075B6K5	A0A075B6K5				5.6894e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.4378e+08
A0A075B6Q5	A0A075B6Q5				3.51996e+06
A0A075B6R2	A0A075B6R2				1.11484e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.26801e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.61098e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.86402e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.24657e+06
A0A087WSY6	A0A087WSY6				2.22277e+08
A0A087WW87;P01614	P01614;A0A087WW87				3.09574e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.12997e+08
A0A0A0MS15	A0A0A0MS15				2.81921e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				923972
A0A0A0MT89	A0A0A0MT89				7.4963e+06
A0A0B4J1U7	A0A0B4J1U7				7.20304e+06
A0A0B4J1V0	A0A0B4J1V0				9.8102e+07
A0A0B4J1V2	A0A0B4J1V2				3.07809e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.11257e+08
A0A0B4J1Y8	A0A0B4J1Y8				8.10003e+06
A0A0B4J1Y9	A0A0B4J1Y9				761331
A0A0C4DH24	A0A0C4DH24				6.65791e+06
A0A0C4DH25	A0A0C4DH25				2.36272e+07
A0A0C4DH33	A0A0C4DH33				902362
A0A0C4DH34	A0A0C4DH34				9.96128e+06
A0A0C4DH36	A0A0C4DH36				4.18448e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.25128e+07
A0A0C4DH43	A0A0C4DH43				1.22682e+07
A0A0C4DH72	P01599;A0A0C4DH72				4.15336e+07
A0A0J9YX35	A0A0J9YX35				8.26764e+06
A0A0J9YXX1	A0A0J9YXX1				4.52064e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.24595e+08
A1L4H1	A1L4H1				2.66836e+06
A2RU67	A2RU67				594728
A5D6W6	A5D6W6				708895
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.01255e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				557864
A6NGN9	A6NGN9				1.01256e+07
A6NL88	A6NL88				3.49671e+06
A6NLU5	A6NLU5				2.25425e+07
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				1.09372e+06
A8MTW9	A8MTW9				930471
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				1.43161e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				594694
C9JVW0	C9JVW0				1.33205e+07
E2RYF7	E2RYF7				2.06621e+06
I3L3R5	I3L3R5				2.0579e+06
O00115;O00115-2	O00115;O00115-2				2.6427e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.4774e+07
O00187;O00187-2	O00187;O00187-2				1.67714e+06
O00244	O00244				953056
O00264	O00264;O15173;O15173-2				2.77651e+06
O00299	O00299				2.05458e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.61056e+06
O00391	O00391;O00391-2				2.77699e+07
O00451	O00451;O00451-2;O00451-3				2.71743e+07
O00461	O00461				7.68814e+06
O00462	O00462				7.28171e+06
O00468-6	O00468-6;O00468-7				3.19557e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				198854
O00533	O00533;O00533-2				4.1879e+08
O00533-2	O00533-2				1.26061e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.18102e+06
O00567	O00567				543326
O00584	O00584				1.17858e+07
O00754;O00754-2	O00754;O00754-2				4.26716e+06
O14498	O14498				3.35958e+07
O14514	O14514				2.21669e+06
O14522	O14522;O14522-1				2.34959e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.5513e+06
O14594	O14594				1.03745e+08
