Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B9_CSF_851-15.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.90428e+08
A0A075B6H9	A0A075B6H9				2.88195e+07
A0A075B6I0	A0A075B6I0				1.28567e+08
A0A075B6I1	A0A075B6I1				1.67986e+06
A0A075B6J9	A0A075B6J9				2.15491e+06
A0A075B6K2	A0A075B6K2				472333
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.46584e+06
A0A075B6K5	A0A075B6K5				6.1388e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				9.7636e+07
A0A075B6Q5	A0A075B6Q5				2.80344e+06
A0A075B6R2	A0A075B6R2				7.60441e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.39034e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.80361e+08
A0A075B6S5	A0A075B6S5				4.3476e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.43883e+06
A0A087WSY6	A0A087WSY6				7.64086e+07
A0A087WW87;P01614	P01614;A0A087WW87				3.29419e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.03227e+08
A0A0A0MS15	A0A0A0MS15				1.99443e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				353484
A0A0A0MT89	A0A0A0MT89				9.38643e+06
A0A0B4J1U7	A0A0B4J1U7				4.26307e+07
A0A0B4J1V0	A0A0B4J1V0				2.30497e+08
A0A0B4J1V2	A0A0B4J1V2				2.54427e+06
A0A0B4J1V6	A0A0B4J1V6				853748
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.06604e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.32396e+06
A0A0B4J1Y9	A0A0B4J1Y9				5.22848e+06
A0A0C4DH24	A0A0C4DH24				6.34222e+06
A0A0C4DH25	A0A0C4DH25				1.44262e+07
A0A0C4DH31	A0A0C4DH31				1.12765e+06
A0A0C4DH33	A0A0C4DH33				770926
A0A0C4DH34	A0A0C4DH34				9.435e+06
A0A0C4DH35	A0A0C4DH35				2.40199e+06
A0A0C4DH36	A0A0C4DH36				1.45227e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.43834e+07
A0A0C4DH67	A0A0C4DH67				3.73778e+07
A0A0J9YX35	A0A0J9YX35				1.16539e+07
A0A0J9YXX1	A0A0J9YXX1				2.19449e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				4.45619e+08
A1L4H1	A1L4H1				2.17364e+06
A5D6W6	A5D6W6				810039
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.11678e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				396994
A6NGN9	A6NGN9				4.8374e+06
A6NL88	A6NL88				1.83984e+06
A6NLU5	A6NLU5				8.3846e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				566023
A8MTW9	A8MTW9				1.25039e+06
C9JVW0	C9JVW0				5.15483e+06
E2RYF7	E2RYF7				1.88379e+06
I3L3R5	I3L3R5				706070
O00115;O00115-2	O00115;O00115-2				2.86978e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.22859e+07
O00187;O00187-2	O00187;O00187-2				1.33137e+06
O00264	O00264;O15173;O15173-2				1.60325e+08
O00299	O00299				533961
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.57407e+06
O00391	O00391;O00391-2				1.29971e+07
O00451	O00451;O00451-2;O00451-3				5.70251e+06
O00461	O00461				3.02228e+06
O00462	O00462				6.24088e+06
O00468-6	O00468-6;O00468-7				1.47508e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				166994
O00533	O00533;O00533-2				1.53092e+08
O00533-2	O00533-2				6.0932e+06
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.03203e+06
O00567	O00567				113721
O00584	O00584				1.29677e+07
O00754;O00754-2	O00754;O00754-2				2.16571e+06
O14498	O14498				2.22441e+07
O14514	O14514				2.03107e+06
O14522	O14522;O14522-1				344822
O14594	O14594				7.18983e+07
O14668;O14668-2	O14668;O14668-2				365783
O14672	O14672				3.6573e+06
O14745	O14745				93219
O14773	O14773				6.54866e+06
O14786	O14786;O14786-2;O14786-3				6.18653e+06
O14791-2	O14791;O14791-2;O14791-3				1.02213e+07
O14793	O14793				1.81522e+06
O14810	O14810;Q6PUV4				169319
O14917;O14917-2	O14917;O14917-2				3.12367e+06
O14960	O14960				475988
O15031	O15031				1.62688e+07
O15041;O15041-2	O15041;O15041-2				104233
O15197;O15197-3	O15197;O15197-3				2.7514e+06
O15204;O15204-2	O15204;O15204-2				1.11518e+06
O15230	O15230				1.27319e+07
O15232;O15232-2	O15232;O15232-2				1.32403e+06
O15240	O15240				5.25083e+07
O15335	O15335				2.81056e+06
O15354	O15354				1.74119e+07
O15394	O15394;O15394-2				2.32602e+07
O15466;O15466-2	O15466;O15466-2				488110
O15540;O15540-2	O15540;O15540-2				1.88473e+06
O43155	O43155				401154
O43157	O43157;O43157-2;O43157-3				1.5548e+06
O43173	O43173				1.6418e+06
O43240	O43240				1.0413e+06
O43278;O43278-2	O43278;O43278-2				1.42041e+06
O43286	O43286				1.38104e+06
O43291;O43291-2	O43291;O43291-2				5.74275e+06
O43300	O43300				1.53106e+06
O43405;O43405-2	O43405;O43405-2				1.8435e+07
O43491;O43491-4	O43491;O43491-4				109327
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.61842e+07
O43505	O43505				2.20491e+08
O43508	O43508;O43508-2				431989
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				1.47634e+06
O43529	O43529				4.34608e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				9.56827e+06
O43567	O43567				4.89757e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				392928
O43827	O43827				3.12171e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				478154
O43854;O43854-2	O43854;O43854-2				157240
O43866	O43866				2.74359e+06
O43897;O43897-2	O43897;O43897-2				951620
O43909	O43909				200258
O43916	O43916				462733
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.76237e+06
O60242	O60242				1.11546e+06
O60243	O60243				1.32524e+06
O60245;O60245-2	O60245;O60245-2				1.72308e+06
O60279	O60279				1.47618e+07
O60294	O60294				2.06019e+06
O60330;O60330-2	O60330;O60330-2				529455
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				230996
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.01651e+06
O60476	O60476				1.17013e+06
O60512	O60512				954259
O60565	O60565				267378
O60568	O60568				1.94312e+06
O60613	O60613				848467
O60883	O60883				9.83744e+07
O60888-3	O60888;O60888-2;O60888-3				3.13769e+07
O60939	O60939				2.70065e+06
O75019;O75019-2	O75019;O75019-2				726546
O75051;O75051-2	O75051;O75051-2				359995
O75063	O75063				1.49765e+06
O75071	O75071				3.59888e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				5.40328e+06
O75078	O75078;O75078-2				1.68176e+06
O75083	O75083;O75083-3				1.17398e+06
O75084;Q14332	O75084;Q14332				410006
O75093	O75093				1.82159e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				2.03531e+07
O75173;O75173-2	O75173;O75173-2				8.84904e+06
O75223	O75223				1.43523e+07
O75326	O75326;O75326-2				1.77609e+07
O75339	O75339				249300
O75340;O75340-2	O75340;O75340-2				209273
O75347;O75347-2	O75347;O75347-2				1.1441e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				666042
O75368	O75368				2.66928e+06
O75487;O75487-2	O75487;O75487-2				850475
O75493	O75493				2.56756e+06
O75503	O75503				2.80466e+06
O75509	O75509				1.39218e+07
O75594	O75594				291439
O75629	O75629				990547
O75636;O75636-2	O75636;O75636-2				956818
O75711	O75711				1.18977e+08
O75752	O75752				6.20736e+06
O75781;O75781-2	O75781;O75781-2				2.08663e+06
O75787;O75787-2	O75787;O75787-2				7.28433e+06
O75828	O75828				1.29446e+06
O75874	O75874				631008
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				9.10633e+06
O75973	O75973				441170
O75976	O75976				854363
O76061	O76061				3.22554e+06
O76070	O76070				714171
O94760	O94760				5.51532e+06
O94766	O94766;Q9NPZ5				5.36446e+06
O94769	O94769;O94769-2				3.2206e+07
O94772;O94772-2	O94772;O94772-2				4.05787e+07
O94779;O94779-2	O94779;O94779-2				348413
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				2.21231e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				2.03274e+06
O94910;O94910-2	O94910;O94910-2				4.32156e+06
O94919	O94919				2.53764e+07
O94973;O94973-2	O94973;O94973-2				149611
O94985	O94985				2.05817e+06
O94985-2	O94985;O94985-2				1.40052e+08
O94991	O94991;O94991-2				1.86124e+06
O95084;O95084-2	O95084;O95084-2				1.65527e+06
O95157	O95157				854648
O95158	O95158				1.08807e+07
O95159	O95159				813765
O95185;O95185-2	O95185;O95185-2				1.31475e+06
O95196;O95196-2	O95196;O95196-2				4.22256e+06
O95206;O95206-2	O95206;O95206-2				1.16566e+06
O95292	O95292				390286
O95390	O95390				1.91832e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				3.37293e+06
O95445	O95445;O95445-2				1.68643e+07
O95450;O95450-2	O95450;O95450-2				1.15372e+06
O95467	O95467				938043
O95477	O95477				3.20861e+06
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				377111
