Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
Q9UFP1	Q9UFP1				402262
Q9UGM5;Q9UGM5-2	Q9UGM5;Q9UGM5-2				7.37533e+06
Q9UHC6	Q9UHC6				6.45869e+06
Q9UHD9	Q9UHD9				62657.3
Q9UHF0;Q9UHF0-2;Q9UHF0-3	Q9UHF0;Q9UHF0-2;Q9UHF0-3				2.85761e+06
Q9UHG2	Q9UHG2				5.93794e+07
Q9UHG3;Q9UHG3-2	Q9UHG3;Q9UHG3-2				1.26103e+06
Q9UHI8	Q9UHI8				3.42022e+06
Q9UHL4	Q9UHL4				9.73546e+06
Q9UHY7	Q9UHY7				129515
Q9UI15	Q9UI15				155051
Q9UI40;Q9UI40-2	Q9UI40;Q9UI40-2				1.36602e+06
Q9UI42;Q9UI42-2	Q9UI42;Q9UI42-2				218371
Q9UIB8;Q9UIB8-2;Q9UIB8-3;Q9UIB8-4;Q9UIB8-5;Q9UIB8-6	Q9UIB8;Q9UIB8-2;Q9UIB8-3;Q9UIB8-4;Q9UIB8-5;Q9UIB8-6				424823
Q9UIW2	P51805;Q9UIW2				937278
Q9UJ14	Q9UJ14				590397
Q9UJ99	Q9UJ99				3.83719e+06
Q9UJA9	Q9UJA9				2.09133e+06
Q9UJH8	Q9UJH8				811932
Q9UJJ9	Q9UJJ9				4.71254e+06
Q9UK55	Q9UK55				977763
Q9UKB5	Q9UKB5				680819
Q9UKJ1-3	Q9UKJ1;Q9UKJ1-2;Q9UKJ1-3;Q9UKJ1-4				834102
Q9UKM7	Q9UKM7				909153
Q9UKU6	Q9UKU6				1.4158e+06
Q9UKU9	Q9UKU9;Q9UKU9-2				2.06166e+06
Q9ULB1-2;Q9ULB1-3	P58400;Q9ULB1-2;Q9ULB1-3				1.36464e+07
Q9ULB4	Q9ULB4				219460
Q9ULB5	Q9ULB5				1.10783e+06
Q9ULF5	Q9ULF5				4.49795e+06
Q9ULH4	Q9ULH4				801453
Q9ULI3;Q9ULI3-2	Q9ULI3;Q9ULI3-2				3.54394e+06
Q9ULI4	Q9ULI4				617429
Q9ULL4;Q9ULL4-2	Q9ULL4;Q9ULL4-2				877905
Q9ULP0-3;Q9ULP0-6	Q9ULP0-3;Q9ULP0-6				855664
Q9ULZ9;Q9ULZ9-2	Q9ULZ9;Q9ULZ9-2				164351
Q9UM21;Q9UM21-2	Q9UM21;Q9UM21-2				242891
Q9UM22	Q9UM22;Q9UM22-3				6.70585e+06
Q9UM47	Q9UM47				204245
Q9UMF0	Q9UMF0				5.61203e+06
Q9UMX5	Q9UMX5				3.42637e+06
Q9UN36-2;Q9UN36-6	Q9UN36;Q9UN36-2;Q9UN36-3;Q9UN36-5;Q9UN36-6				3.43787e+06
Q9UN70;Q9UN70-2	Q9UN70;Q9UN70-2				2.04883e+06
Q9UNN8	Q9UNN8				1.25965e+06
Q9UNW1	Q9UNW1;Q9UNW1-4				1.98307e+06
Q9UP79	Q9UP79				1.44532e+06
Q9UPU3	Q9UPU3				9.69013e+06
Q9UQ52	Q9UQ52				2.8481e+06
Q9UQM7;Q9UQM7-2	Q9UQM7;Q9UQM7-2				5.01579e+06
Q9Y240	Q9Y240				4.15715e+06
Q9Y274	Q9Y274;Q9Y274-2				9.44029e+06
